,题目
0, 
1,一、 单选题（题数：50，共 50.0 分） 
2,1 
3,史学界被称为近代中国第一人的是（）。
4,1.0 分 
5,窗体顶端
6,A、 
7,严复 
8,B、 
9,光绪 
10,C、 
11,林则徐 
12,D、 
13,康有为 
14,窗体底端
15,我的答案：C 
16,2 
17,描述文明特征与内容需要考虑的因素中不包括（）。
18,1.0 分 
19,窗体顶端
20,A、 
21,地理环境 
22,B、 
23,制度设施 
24,C、 
25,生活方式 
26,D、 
27,教育水平 
28,窗体底端
29,我的答案：D 
30,3 
31,“法国革命是一部历史，我要做它的书记”出自（）。
32,1.0 分 
33,窗体顶端
34,A、 
35,恩格斯 
36,B、 
37,歌德 
38,C、 
39,巴尔扎克 
40,D、 
41,雨果 
42,窗体底端
43,我的答案：C 
44,4 
45,美国一个新概念“政治正确”，英文缩写是（）。
46,1.0 分 
47,窗体顶端
48,A、 
49,ZZ 
50,B、 
51,PR 
52,C、 
53,PC 
54,D、 
55,RC 
56,窗体底端
57,我的答案：C 
58,5 
59,信仰犹太教与（）的统称自己为亚伯拉罕的子孙。
60,1.0 分 
61,窗体顶端
62,A、 
63,基督教、东正教 
64,B、 
65,东正教、佛教 
66,C、 
67,基督教、伊斯兰教 
68,D、 
69,伊斯兰教、东正教 
70,窗体底端
71,我的答案：C 
72,6 
73,城邦社会中公民身份意味着（）。
74,1.0 分 
75,窗体顶端
76,A、 
77,城邦政治统治者 
78,B、 
79,城邦土地所有者 
80,C、 
81,城邦的保卫者 
82,D、 
83,以上都对 
84,窗体底端
85,我的答案：D 
86,7 
87,下列可能产生文明差异的因素是（）。
88,1.0 分 
89,窗体顶端
90,A、 
91,历史和空间维度 
92,B、 
93,民族语言 
94,C、 
95,宗教 
96,D、 
97,以上都是 
98,窗体底端
99,我的答案：D 
100,8 
101,耶稣认为自已是圣三位一体，此“三位”不包括（）。
102,1.0 分 
103,窗体顶端
104,A、 
105,圣父 
106,B、 
107,圣灵 
108,C、 
109,圣体 
110,D、 
111,圣子 
112,窗体底端
113,我的答案：C 
114,9 
115,据说世界上看日出、日落最美的地方是（）。
116,1.0 分 
117,窗体顶端
118,A、 
119,波罗斯 
120,B、 
121,克里特 
122,C、 
123,爱奥尼亚 
124,D、 
125,圣托里尼 
126,窗体底端
127,我的答案：D 
128,10 
129,画作《雅典学派》是（）的作品。
130,1.0 分 
131,窗体顶端
132,A、 
133,乔托·迪·邦多纳 
134,B、 
135,达芬奇 
136,C、 
137,拉斐尔 
138,D、 
139,米开朗琪罗 
140,窗体底端
141,我的答案：C 
142,11 
143,西方宪政文明的基本出发点是（）。
144,1.0 分 
145,窗体顶端
146,A、 
147,政府是人性的耻辱 
148,B、 
149,国家是不可避免的祸害 
150,C、 
151,权力导致腐败 
152,D、 
153,人性是自私的 
154,窗体底端
155,我的答案：D 
156,12 
157,美国基本的宗教原则是（）。
158,1.0 分 
159,窗体顶端
160,A、 
161,live 
162,B、 
163,live and let live 
164,C、 
165,to live and let die 
166,D、 
167,to live and live 
168,窗体底端
169,我的答案：B 
170,13 
171,“我爱我师，我更爱真理”出自（）。
172,1.0 分 
173,窗体顶端
174,A、 
175,柏拉图 
176,B、 
177,苏格拉底 
178,C、 
179,亚里士多德 
180,D、 
181,弗洛伊德 
182,窗体底端
183,我的答案：C 
184,14 
185,“共产党人都是特殊材料制成的”是（）的语录。
186,1.0 分 
187,窗体顶端
188,A、 
189,周恩来 
190,B、 
191,毛泽东 
192,C、 
193,温家宝 
194,D、 
195,斯大林 
196,窗体底端
197,我的答案：D 
198,15 
199,新文化运动时期进入中国的除“德赛”二先生外，还有（）。
200,1.0 分 
201,窗体顶端
202,A、 
203,史小姐 
204,B、 
205,德小姐 
206,C、 
207,梁小姐 
208,D、 
209,李小姐 
210,窗体底端
211,我的答案：D 
212,16 
213,儒家的理性是（）。
214,0.0 分 
215,窗体顶端
216,A、 
217,
218,实用理性
219,
220,B、 
221,
222,思辨理性
223,
224,C、 
225,
226,认知理性
227,
228,D、 
229,
230,实践理性
231,
232,窗体底端
233,我的答案：C 正确为B
234,17 
235,西方个人主义认为个人是社会的（）。
236,1.0 分 
