,题目
0,
1,
2,（只有21，40题错了）
3,
4,
5,一、单选题
6,
7,1罗马注重法律和罗马这个民族有关，下列关于这个说法不正确的是（）。
8,A、
9,罗马是一个强制的产物
10,B、
11,罗马从希腊那里继承了法律意识
12,C、
13,罗马是一个注重功利的民族
14,D、
15,罗马要考严刑峻法维系社会
16,我的答案：B
17,2古希腊戏剧的诞生与（）有关。
18,A、
19,宙斯
20,B、
21,智慧女神
22,C、
23,日神
24,D、
25,酒神
26,我的答案：D
27,3欧洲虽然高度分裂，但教会却很统一，教会的首脑在（）。
28,A、
29,君士坦丁堡
30,B、
31,希腊
32,C、
33,罗马
34,D、
35,耶路撒冷
36,我的答案：C
37,4下列关于欧洲文艺复兴时期的人文主义者的说法中，不正确的是（）。
38,A、
39,他们对哲学、科学感兴趣
40,B、
41,他们中的很多都是专业的学者
42,C、
43,他们学习、模仿古代的文法、文风、艺术和文学
44,D、
45,他们充满了对古希腊罗马权威的崇拜
46,我的答案：A
47,5下列不属于基督教从犹太教中继承的内容的是（）。
48,A、
49,圣教历史
50,B、
51,苦难意识和罪孽感
52,C、
53,普适性的宗教
54,D、
55,选民意识
56,我的答案：C
57,6古希腊哲学的集大成者是（）。
58,A、
59,柏拉图
60,B、
61,亚里士多德
62,C、
63,苏格拉底
64,D、
65,泰勒斯
66,我的答案：B
67,7古罗马和古迦太基之间为争夺统治权进行了（）布匿战争。
68,A、
69,1次
70,B、
71,2次
72,C、
73,3次
74,D、
75,4次
76,我的答案：C
77,8下列关于斯多葛主义的说法中，正确的是（）。
78,A、
79,它带有禁欲主义
80,B、
81,它也被叫做道德主义
82,C、
83,它特别推崇德性，认为德性比幸福重要。
84,D、
85,以上都对
86,我的答案：D
87,9希腊的悲剧和近代悲剧相比，一个明显的特点就是希腊悲剧以（）为主题。
88,A、
89,神话传说
90,B、
91,命运
92,C、
93,战争
94,D、
95,爱情
96,我的答案：B
97,10希腊神话的特点是认为（）有血缘关系。
98,A、
99,老百姓和神
100,B、
101,统治者和神
102,C、
103,英雄和神
104,D、
105,士兵和神
106,我的答案：C
107,11罗马人认为罗马起源的传说和（）有关。
108,A、
109,豹
110,B、
111,狗
112,C、
113,狼
114,D、
115,狮子
116,我的答案：C
117,12犹太教历史上著名的《出埃及记》讲述的是（）率领犹太人逃出了埃及。
118,A、
119,耶稣
120,B、
121,摩西
122,C、
123,穆罕默德
124,D、
125,亚伯拉罕
126,我的答案：B
127,13中世纪，平民大学生毕业后会成为（）。
128,A、
129,手艺人
130,B、
131,贵族
132,C、
133,神职人员
134,D、
135,军人
136,我的答案：C
137,14美国《独立宣言》所讲的我们有某种与生俱来的不可剥夺的权利是指（）。
138,A、
139,上帝权利
140,B、
141,道德权利
142,C、
143,翻看权利
144,D、
145,自然权利
146,我的答案：D
147,15下列不是马丁·路德著名的“维独”观点的是（）。
