,题目
0,
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1目前广泛应用的验证码是（）。1.0 分
4,A、
5,CAPTCHA
6,B、
7,DISORDER
8,C、
9,DSLR
10,D、
11,REFER
12,正确答案： A 我的答案：A
13,2公钥基础设施简称为（）。1.0 分
14,A、
15,CKI
16,B、
17,NKI
18,C、
19,PKI
20,D、
21,WKI
22,正确答案： C 我的答案：C
23,3系统管理员放置Web服务器并能对其进行隔离的网络区域称为（）。0.0 分
24,A、
25,蜜罐
26,B、
27,非军事区DMZ
28,C、
29,混合子网
30,D、
31,虚拟局域网VLAN
32,正确答案： B 我的答案：D
33,4信息安全防护手段的第三个发展阶段是（）。1.0 分
34,A、
35,信息保密阶段
36,B、
37,网络信息安全阶段
38,C、
39,信息保障阶段
40,D、
41,空间信息防护阶段
42,正确答案： C 我的答案：C
43,5一个数据包过滤系统被设计成只允许你要求服务的数据包进入，而过滤掉不必要的服务。这属于的基本原则是（）。1.0 分
44,A、
45,失效保护状态
46,B、
47,阻塞点
48,C、
49,最小特权
50,D、
51,防御多样化
52,正确答案： C 我的答案：C
53,6下面关于哈希函数的特点描述不正确的一项是（）。1.0 分
54,A、
55,能够生成固定大小的数据块
56,B、
57,产生的数据块信息的大小与原始信息大小没有关系
58,C、
59,无法通过散列值恢复出元数据
60,D、
61,元数据的变化不影响产生的数据块
62,正确答案： D 我的答案：D
63,7第一次出现“Hacker”这一单词是在（）。1.0 分
64,A、
65,Bell实验室
66,B、
67,麻省理工AI实验室
68,C、
69,AT&A实验室
70,D、
71,美国国家安全局
72,正确答案： B 我的答案：B
73,8下列属于USB Key的是（）。1.0 分
74,A、
75,手机宝令
76,B、
77,动态口令牌
78,C、
79,支付盾
80,D、
81,智能卡
82,正确答案： C 我的答案：C
83,9APT攻击中常采用钓鱼（Phishing），以下叙述不正确的是（）。1.0 分
84,A、
85,这种攻击利用人性的弱点，成功率高
86,B、
87,这种漏洞尚没有补丁或应对措施
88,C、
89,这种漏洞普遍存在
90,D、
91,利用这种漏洞进行攻击的成本低
92,正确答案： B 我的答案：B
93,10把明文信息变换成不能破解或很难破解的密文技术称为（）。1.0 分
94,A、
95,密码学
96,B、
97,现代密码学
98,C、
99,密码编码学
100,D、
101,密码分析学
102,正确答案： C 我的答案：C
103,11不能防止计算机感染恶意代码的措施是（）。0.0 分
104,A、
105,定时备份重要文件
106,B、
107,经常更新操作系统
108,C、
109,除非确切知道附件内容，否则不要打开电子邮件附件
110,D、
111,重要部门的计算机尽量专机专用与外界隔绝
112,正确答案： A 我的答案：D
113,12《第35次互联网络发展统计报告》的数据显示，截止2014年12月，我国的网民数量达到了（）多人。1.0 分
114,A、
115,2亿
116,B、
117,4亿
118,C、
119,6亿
120,D、
121,8亿
122,正确答案： C 我的答案：C
