,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,被后人誉为“一个千古绝伦的大智者”的百科全书式的人物是（）。
3,1.0 分
4,窗体顶端
5,A、
6,狄德罗
7,B、
8,莱布尼兹
9,C、
10,牛顿
11,D、
12,康德
13,窗体底端
14,我的答案：B
15,2
16,马丁·路德宗教改革的核心思想是（）。
17,1.0 分
18,窗体顶端
19,A、
20,爱人如己
21,B、
22,因信得福
23,C、
24,因信称义
25,D、
26,爱邻如己
27,窗体底端
28,我的答案：C
29,3
30,涂尔干是（）著名的社会理论家。
31,1.0 分
32,窗体顶端
33,A、
34,德国
35,B、
36,英国
37,C、
38,法国
39,D、
40,美国
41,窗体底端
42,我的答案：C
43,4
44,关于“百科全书派”，说法错误的是（）。
45,1.0 分
46,窗体顶端
47,A、
48,它产生于法国启蒙运动时期
49,B、
50,它仅仅是一个文学流派
51,C、
52,它的核心和以狄德罗为中心的唯物论者
53,D、
54,它反对天主教会和封建等级制度
55,窗体底端
56,我的答案：B
57,5
58,《九十五条论纲》的作者是（）。
59,1.0 分
60,窗体顶端
61,A、
62,加尔文
63,B、
64,闵采尔
65,C、
66,亨利八世
67,D、
68,马丁·路德
69,窗体底端
70,我的答案：D
71,6
72,《作为意志和表象的世界》的作者是（）。
73,1.0 分
74,窗体顶端
75,A、
76,胡塞尔
77,B、
78,黑格尔
79,C、
80,尼采
81,D、
82,叔本华
83,窗体底端
84,我的答案：D
85,7
86,实证主义的创始人是（）。
87,1.0 分
88,窗体顶端
89,A、
90,孔德
91,B、
92,孔多赛
93,C、
94,达尔文
95,D、
96,培根
97,窗体底端
98,我的答案：A
99,8
100,“己欲立而立人，己欲达而达人”，这句话出自（）。
101,1.0 分
102,窗体顶端
103,A、
104,老子
105,B、
106,庄子
107,C、
108,孔子
109,D、
110,孟子
111,窗体底端
112,我的答案：C
113,9
114,康德认为道德行为的特点是（）。
115,1.0 分
116,窗体顶端
117,A、
118,自觉性
119,B、
120,统一性
121,C、
122,利他
123,D、
124,可普遍化
125,窗体底端
126,我的答案：A
127,10
128,对户粟郁子说法正确的是（）。
129,1.0 分
130,窗体顶端
131,A、
132,出生于东京
