,题目
0,
1,1
2,在空间问题上，舞台环境的确认以什么为依据？
3,1.0 分
4,A、
5,具体角色的活动
6,B、
7,具体角色的性格
8,C、
9,具体角色的唱词
10,D、
11,具体角色的喜好
12,正确答案： A 我的答案：A
13,2
14,《牡丹亭》表现的是哪个朝代的故事？
15,1.0 分
16,A、
17,元代
18,B、
19,明代
20,C、
21,南宋
22,D、
23,北宋
24,正确答案： C 我的答案：C
25,3
26,1960年，文化部明确表示，要提出三种戏曲的并举发展，其中不包括下列哪个剧种？
27,1.0 分
28,A、
29,旧编历史剧
30,B、
31,现代戏
32,C、
33,传统戏
34,D、
35,新编历史剧
36,正确答案： A 我的答案：A
37,4
38,《凰求凤》《玉搔头》是谁的作品？
39,1.0 分
40,A、
41,李玉
42,B、
43,李煜
44,C、
45,李宇
46,D、
47,李渔
48,正确答案： D 我的答案：D
49,5
50,介于诗歌跟一般的白话之间的表现形式称为（）。
51,1.0 分
52,A、
53,舞蹈
54,B、
55,对白
56,C、
57,旁白
58,D、
59,韵白
60,正确答案： D 我的答案：D
61,6
62,把什么时期以后的剧种称为新兴剧种？
63,1.0 分
64,A、
65,建国以后
66,B、
67,清中期
68,C、
69,清末
70,D、
71,民国
72,正确答案： C 我的答案：C
73,7
74,“丝不如竹，竹不如肉”中的丝指代的是戏曲音乐中的哪种音乐？
75,1.0 分
76,A、
77,弦乐
78,B、
79,管乐
80,C、
81,声乐
82,D、
83,打乐
84,正确答案： A 我的答案：A
85,8
86,戏曲中虚拟化的使用，主要是为了调动欣赏戏曲艺术的观众的（）。
87,1.0 分
88,A、
89,喝彩
90,B、
91,好奇
92,C、
93,兴趣
94,D、
95,想象力
96,正确答案： D 我的答案：D
97,9
98,19世纪到20世纪初，英国戏剧家认为什么是戏剧不可缺少的？
99,1.0 分
100,A、
101,议论
102,B、
103,感情
104,C、
105,剧诗
106,D、
107,诗歌
108,正确答案： A 我的答案：A
109,10
110,《牡丹亭》的作者是谁？
111,1.0 分
112,A、
113,施耐庵
114,B、
115,汤显祖
116,C、
117,关汉卿
118,D、
119,王实甫
120,正确答案： B 我的答案：B
121,11
122,哪种戏剧完成了由叙事诗向代言体诗歌的转化过程？（）
123,1.0 分
124,A、
125,南戏
126,B、
127,传奇
128,C、
129,元杂剧
130,D、
131,昆曲
132,正确答案： C 我的答案：C
133,12
134,戏曲的时空可以怎样的超越？
135,1.0 分
136,A、
137,任意的
138,B、
139,有限制的
140,C、
141,无限制的
142,D、
143,极限
144,正确答案： C 我的答案：C
145,13
146,元杂剧吸收了什么艺术的技巧，形成了比较成熟的表演艺术？
147,1.0 分
148,A、
149,滑稽表演
150,B、
151,说唱
152,C、
153,歌舞
154,D、
155,诗歌
156,正确答案： B 我的答案：B
157,14
158,间离效果是谁提出的？（）
159,1.0 分
160,A、
161,斯坦尼斯拉夫司斯基
162,B、
163,黄佐临
164,C、
165,梅兰芳
166,D、
167,布莱希特
168,正确答案： D 我的答案：D
169,15
170,在艺术中要追求虚拟和现实的什么关系？
171,1.0 分
172,A、
173,对立
174,B、
175,对立统一
176,C、
177,统一
178,D、
179,不清楚
180,正确答案： B 我的答案：B
181,16
182,孔尚任是哪个地方的人物？
183,1.0 分
184,A、
185,山东
186,B、
187,河南
188,C、
189,北京
190,D、
191,上海
192,正确答案： A 我的答案：A
193,17
194,写情的话要沁人心脾，写景则在人耳目，这是谁归纳的原则？（）
195,1.0 分
196,A、
197,王国维
198,B、
199,关汉卿
200,C、
201,王实甫
202,D、
203,杜甫
204,正确答案： A 我的答案：A
205,18
206,贵妃醉酒的原有剧本是表现杨贵妃醉酒后什么状态？
207,1.0 分
208,A、
209,美艳
210,B、
211,思春
212,C、
213,搞笑
214,D、
215,悲惨
216,正确答案： B 我的答案：B
217,19
218,演员身穿的衣物叫做什么？
219,1.0 分
220,A、
221,行当
222,B、
223,行头
224,C、
225,服饰
226,D、
227,铠甲
228,正确答案： B 我的答案：B
229,20
230,《桃花扇》是哪个剧种的压轴之作？
231,0.0 分
232,A、
233,南戏
234,B、
235,传奇
236,C、
237,元杂戏
238,D、
239,昆曲
240,正确答案： B 我的答案：D
241,21
242,1985年在（）演出的英语京剧《凤还巢》，被大家认为是具有青春气息跟现代化精神。
243,1.0 分
244,A、
245,美国西北大学
246,B、
247,美国夏威夷大学
248,C、
249,美国马里兰大学
250,D、
251,美国哈佛大学
252,正确答案： B 我的答案：B
253,22
254,世界首批“人类口头和非物质遗产代表作”一共有多少个？
255,1.0 分
256,A、
257,17.0
258,B、
259,18.0
260,C、
261,19.0
262,D、
263,20.0
