,题目
0, 成绩： 97.0分
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1数学中的“茅台换矿泉”指的是：1.0 分
4,A、有贵重到便宜
5,B、由特殊到一般
6,C、由城市到乡村
7,D、由奢侈到节约
8,我的答案：B
9,2抽象只能通过（）来理解。1.0 分
10,A、体会
11,B、实践
12,C、学习
13,D、模仿
14,我的答案：A
15,3无群圆点在与地面垂直平面上的投影是圆，则在无限远处该无群圆点在地面上的投影很可能是（）。1.0 分
16,A、抛物线
17,B、双曲线
18,C、圆
19,D、椭圆
20,我的答案：B
21,"4在mathmatic数学软件中，画图指令plot[sum[sin[k*x]/k,{k,1,9,2}],{x,-2PI,2PI}],这里的2是指（）。1.0 分"
22,A、x的取值
23,B、x的取值方式是隔数取值
24,C、x的取值范围为定义范围的两倍
25,D、x的取值为连续取值
26,我的答案：B
27,5（）对应相等的三角形全等。1.0 分
28,A、两角
29,B、两边
30,C、三角
31,D、三边
32,我的答案：D
33,6以前德国密码中开头都会有千篇一律赞扬希特勒的语句，这相当于告诉密码破译者一段（）。1.0 分
34,A、明文
35,B、密文
36,C、密钥
37,D、所传递的信息
38,我的答案：A
39,7对于二阶行列式其结果等于（）的概率最大。1.0 分
40,A、合数
41,B、素数
42,C、偶数
43,D、奇数
44,我的答案：C
45,8发明对数的目的是（）。1.0 分
46,A、把加法变成乘法
47,B、简化运算
48,C、把乘法变成减法
49,D、提高运算效率
50,我的答案：B
51,9不规则图形的准确的面积计算方法是（）。1.0 分
52,A、微分法
53,B、微积分法
54,C、积分法
55,D、规则图形法
56,我的答案：B
57,10最速降限对物体（）有要求。1.0 分
58,A、所处的高度
59,B、所处的坡度
60,C、质量
61,D、速度           我的答案：A
62,11千千万万的函数中，最简单的函数是（）。1.0 分
63,A、三角函数
64,B、一次函数
65,C、指数函数
66,D、对数函数
67,我的答案：B
68,12y=x+b中，为确保信息x的安全，b值应该（）。1.0 分
69,A、设为某一常数
70,B、设为零
71,C、设为变化值
72,D、设为x的倍数
73,我的答案：C
74,13对信息进行加密，用数学方式可表达为（）。1.0 分
75,A、被加密的字母用其对应的后两个字母代替
76,B、被加密的字母用其对应的前两个字母代替
77,C、把字母用数字代替
78,D、把被加密字母转换成其他语言
79,我的答案：C
80,14（）改变了运算的顺序。1.0 分
81,A、运算规则
82,B、运算符号
83,C、运算律
84,D、云运算方法
85,我的答案：C
86,15（）相等的两条直线不相交。1.0 分
87,A、对顶角
88,B、同位角
89,C、内错角
90,D、临补角
91,我的答案：C
92,16在密码的发展过程中（）起着至关重要的作用。1.0 分
93,A、自然科学
94,B、数学
95,C、社会科学
96,D、几何学
97,我的答案：B
98,17以下（）同时满足模3余0，模5余0，模7余1。1.0 分
99,A、15.0
100,B、30.0
101,C、45.0
102,D、60.0
103,我的答案：A
104,18当今的奥数考察的是（）。1.0 分
105,A、线性代数
106,B、数论
107,C、概率论
108,D、高等数学
109,我的答案：B
110,19若分子分母都不是多项式，则将（）后再约分。1.0 分
111,A、分子分母进行因式分解
112,B、分子分母变成多项式
113,C、分子分母进行因式合并
114,D、以上答案均正确
115,我的答案：B
116,20美术中的数学是指（）。1.0 分
117,A、高等几何
118,B、平面几何
119,C、摄影集合
120,D、立体几何
121,我的答案：C
122,21“斐波那契数列”可以拆分成：1.0 分
123,A、两个等比数列
124,B、两个等差数列
125,C、一个等差数列和一个等比数列
126,D、无法拆分
127,我的答案：A
128,22线性相关的充要条件是方程（）。1.0 分
129,A、无非零解
130,B、有非零解
131,C、无解
132,D、有解
133,我的答案：B
134,23从微分学角度来讲，圆的面积可以被理解为（）的面积和。1.0 分
135,A、三角形
136,B、扇形
137,C、长方形
138,D、不规则几何图形
139,我的答案：C
140,24数学大观本课程强调的是（）。1.0 分
141,A、技巧
142,B、思想
143,C、方法
144,D、文化
145,我的答案：C
146,25用mathematica软件画某函数的图像时，软件要求（）。1.0 分
147,A、规定变量的值只能为整数
148,B、规定函数的值只能为整数
149,C、规定变量的取值范围
150,D、规定函数的取值范围
151,我的答案：C
152,26正方形的对称群有（）变化方法。1.0 分
153,A、两种
154,B、四种
155,C、六种
156,D、八种
157,我的答案：D
158,"27在声音编辑语句sound_277,4中277是指（）。1.0 分"
159,A、发出的声音
160,B、声音的长度
161,C、声音的频率
162,D、声音的周期
163,我的答案：C
164,28“音色”最终由什么所决定？0.0 分
165,A、波形
166,B、波峰
167,C、波谷
168,D、频率
169,我的答案：D
170,29从精确度来讲，以下（）的精确度最高。1.0 分
171,A、极限
172,B、微分
173,C、泰勒函数
174,D、积分
175,我的答案：C
176,30假设某项贷款期限为20年，每月还给银行相同数目的息，则以下（）是固定的。1.0 分
177,A、利息
178,B、贷款中剩余的本金
179,C、每月偿还的本金
180,D、利率
181,我的答案：D
182,31在数学科学的发展中人类最早认识的是（）。1.0 分
183,A、整数
184,B、函数
185,C、数域
186,D、集合
187,我的答案：A
188,32x模3余2，同时模5余3，则在（）中选取x可保证x值一定模3余2。1.0 分
189,A、2k
190,B、2+k，k为整数
191,C、2+2k，k为整数
192,D、2+3k，k为整数
193,我的答案：D
194,33子空间的维数是（）。1.0 分
195,A、零维
196,B、一维
197,C、二维
198,D、三维
199,我的答案：C
200,34独孤求败基本定理可以描述为（）。1.0 分
201,A、高水平=简单
202,B、低水平=简单
203,C、高水平=复杂
204,D、低水平=复杂
205,我的答案：A
206,35在数学问题的解决过程中（）起着至关重要的作用。1.0 分
207,A、运算律
208,B、定理
209,C、性质
210,D、假设        我的答案：A
211,36两个“等差数列”的和组成的数列为：0.0 分
212,A、等比数列
213,B、等差数列
214,C、普通数列
215,D、不一定是等差数列
216,我的答案：D
217,37x模a余r1，模b余r2，模c余r3，若x有解，则abc的关系是（）。1.0 分
218,A、至少有两个互为素数
219,B、至少有一个质数
220,C、两两互素
221,D、至少两个有公约数
