,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,展示所有的素数与所有正整数的关系，对于任大于1的整数a有什么成立？
3,1.0 分
4,窗体顶端
5,A、
6,a=p1p2…pt
7,B、
8,a=p1rp2r…ptr
9,C、
10,a=prp2r…pt
11,D、
12,a=p1r1p2r2…ptrt
13,窗体底端
14,我的答案：D
15,2
16,群具有的性质不包括
17,1.0 分
18,窗体顶端
19,A、
20,结合律
21,B、
22,有单位元
23,C、
24,有逆元
25,D、
26,分配律
27,窗体底端
28,我的答案：D
29,3
30,K[x]到Kpol的映射是
31,1.0 分
32,窗体顶端
33,A、
34,单射
35,B、
36,满射
37,C、
38,双射
39,D、
40,反射
41,窗体底端
42,我的答案：C
43,4
44,当p为素数时候，Zp一定是什么？
45,0.0 分
46,窗体顶端
47,A、
48,域
49,B、
50,等价环
51,C、
52,非交换环
53,D、
54,不可逆环
55,窗体底端
56,我的答案：D
57,5
58,映射f：A→B，若A中任意两个不同元素x1≠x2有f(x1)≠f(x2)，则f是
59,1.0 分
60,窗体顶端
61,A、
62,单射
63,B、
64,满射
65,C、
66,双射
67,D、
68,反射
69,窗体底端
70,我的答案：A
71,6
72,设R是一个环，a∈R，则0·a=
73,1.0 分
74,窗体顶端
75,A、
76,1.0
77,B、
78,a
79,C、
80,1.0
81,D、
82,2.0
83,窗体底端
84,我的答案：A
85,7
86,Z24*的阶为
87,1.0 分
88,窗体顶端
89,A、
90,2.0
91,B、
92,4.0
93,C、
94,6.0
95,D、
96,8.0
97,窗体底端
98,我的答案：D
99,8
100,F[x]中，若f(x)g(x)=2，则f(x^2)g(x^2)=
101,0.0 分
102,窗体顶端
103,A、
104,0.0
105,B、
106,1.0
107,C、
108,2.0
109,D、
110,3.0
111,窗体底端
112,我的答案：D
113,9
114,"在整数环中若c|a,c|b，则c称为a和b的什么？"
115,1.0 分
116,窗体顶端
117,A、
118,素数
119,B、
120,合数
121,C、
122,整除数
123,D、
124,公因数
125,窗体底端
126,我的答案：D
127,10
128,Zm的结构实质是什么？
129,1.0 分
130,窗体顶端
131,A、
132,一个集合
133,B、
134,m个元素
135,C、
136,模m剩余环
137,D、
138,整数环
