,题目
0,一、单选题
1, 
2,1
3, 
4,在复数域C中，属于不可约多项式的是
5,A、
6,x^2-1
7,B、
8,x^4-1
9,C、
10,x^2+1
11,D、
12,x+1
13,我的答案：D
14,2
15, 
16,x∈a的等价类的充分必要条件是什么？
17,A、
18,x>a
19,B、
20,x与a不相交
21,C、
22,x～a
23,D、
24,x=a
25,我的答案：C
26,3
27, 
28,Q[x]中，x^2+x+1可以分解成几个不可约多项式
29,A、
30,0.0
31,B、
32,1.0
33,C、
34,2.0
35,D、
36,3.0
37,我的答案：A
38,4
39, 
40,F[x]中，零次多项式在F中有几个根？
41,A、
42,无数多个
43,B、
44,有且只有1个
45,C、
46,0个
47,D、
48,无法确定
49,我的答案：C
50,5
51, 
52,Z2上拟完美序列a=1001011…的周期是
53,A、
54,2.0
55,B、
56,4.0
57,C、
58,5.0
59,D、
60,7.0
61,我的答案：D
62,6
63, 
64,最小的数域是
65,A、
66,复数域
67,B、
68,实数域
69,C、
70,有理数域
71,D、
72,不存在
73,我的答案：C
74,7
75, 
76,如果一个非空集合R有满足其中任意一个元素和一个元素加和都是R中元素本身，则这个元素称为什么？
77,A、
78,零环
79,B、
80,零数
81,C、
82,零集
83,D、
84,零元
85,我的答案：D
86,8
87, 
88,同余理论的创立者是
89,A、
90,柯西
91,B、
92,牛顿
93,C、
94,高斯
95,D、
96,笛卡尔
97,我的答案：C
98,9
99, 
100,"在F[x]中，g(x),f(x)∈F[x],那么g(x)和f(x)相伴的冲要条件是什么？"
101,A、
102,g(x)=0
103,B、
104,f(x)=0
105,C、
106,f(x)=bg(x)，其中b∈F*
107,D、
108,f(x)=bg(x)
109,我的答案：C
110,10
111, 
112,Z2上周期为7的拟完美序列a=1001011…中a50=
113,A、
114,-1.0
115,B、
116,0.0
117,C、
118,1.0
119,D、
120,2.0
121,我的答案：B
122,11
123, 
124,Zm1*Zm2的笛卡尔积被称作是Zm1和Zm2的什么？
125,A、
126,算术积
127,B、
128,集合
129,C、
130,直和
131,D、
132,平方积
133,我的答案：C
134,12
135, 
136,p是素数，在Zp中单位元的多少倍等于零元
137,A、
138,1.0
139,B、
140,p+1
141,C、
142,p-1
143,D、
144,p
145,我的答案：D
146,13
147, 
148,Φ(6）=
149,A、
150,Φ(1)Φ(5)
151,B、
152,Φ(3)Φ(3)
153,C、
154,Φ(2)Φ(3)
155,D、
