,题目
0,1
1,个人独资企业投资人对本企业财产的有关权利（）。
2,1.0 分
3,窗体顶端
4,A、
5,可以依法转让
6, 
7,B、
8,不可以转让
9, 
10,C、
11,符合条件的转让
12, 
13,D、
14,必须有偿转让
15, 
16,窗体底端
17,正确答案： A 我的答案：A
18,2
19,以下（）不是我国《公司法》第一条规定的合法权益保护对象。
20,1.0 分
21,窗体顶端
22,A、
23,公司
24, 
25,B、
26,股东
27, 
28,C、
29,管理者
30, 
31,D、
32,债权人
33, 
34,窗体底端
35,正确答案： C 我的答案：C
36,3
37,最高人民法院司法解释的作用相当于：（）。
38,1.0 分
39,窗体顶端
40,A、
41,证据
42, 
43,B、
44,法律
45, 
46,C、
47,法律解释
48, 
49,D、
50,法律表述
51, 
52,窗体底端
53,正确答案： C 我的答案：C
54,4
55,我国汽车车损险承保的是汽车在（）地理范围内的损失。
56,1.0 分
57,窗体顶端
58,A、
59,太平洋
60, 
61,B、
62,中华人民共和国境内
63, 
64,C、
65,全世界范围内
66, 
67,D、
68,美国
69, 
70,窗体底端
71,正确答案： B 我的答案：B
72,5
73,以下哪一项不是罗马人用以征服世界的方式：（）。
74,1.0 分
75,窗体顶端
76,A、
77,法律
78, 
79,B、
80,军事
81, 
82,C、
83,宗教
84, 
85,D、
86,医学
87, 
88,窗体底端
89,正确答案： D 我的答案：D
90,6
91,产权理论、国家理论和意识形态理论在内的“制度变迁理论”是由美国著名的经济学家（）提出的。
92,1.0 分
93,窗体顶端
94,A、
95,詹姆斯·赫克曼
96, 
97,B、
98,道格拉斯·诺斯
99, 
100,C、
101,迈克尔·斯宾塞
102, 
103,D、
104,罗杰·梅尔森
105, 
106,窗体底端
107,正确答案： B 我的答案：B
108,7
109,卡尔多-希克斯效率观是对（）的改良。
110,1.0 分
111,窗体顶端
112,A、
113,默多克效率观
114, 
115,B、
116,拉伯雷效率观
117, 
118,C、
119,罗斯福效率观
120, 
121,D、
122,帕累托效率观
123, 
124,窗体底端
125,正确答案： D 我的答案：D
126,8
127,法律的成本与效益分析方法，主要限于：（）。
128,1.0 分
129,窗体顶端
130,A、
131,市场法律制度
132, 
133,B、
134,刑事法律制度
135, 
136,C、
137,物权法律制度
138, 
139,D、
140,知识产权法律制度
141, 
142,窗体底端
143,正确答案： A 我的答案：A
144,9
145,“公序良俗”原则对商业活动的要求包括：（）。
146,1.0 分
147,窗体顶端
148,A、
149,向社会捐款捐物
150, 
151,B、
152,尽可能盈利
153, 
154,C、
155,不得从事反道德的行为
156, 
157,D、
158,不参与任何竞争
159, 
160,窗体底端
161,正确答案： C 我的答案：C
162,10
163,商事活动作为一种经济活动，其商业伦理是：（）。
164,1.0 分
165,窗体顶端
166,A、
167,扶危和济困
168, 
169,B、
