,题目
0,
1, 
2, 
3,一、 单选题（题数：50，共 50.0 分）
4,1
5,《周易》第六十一卦是（）卦。
6,A、
7,中孚
8,B、
9,巽
10,C、
11,巽
12,D、
13,屯
14, 
15,正确答案：A
16,2
17,《周易》的一个特点是（），要解决什么问题，就要找到与这个问题相关的卦。
18,A、
19,便于运用
20,B、
21,不实用
22,C、
23,心理安慰
24,D、
25,概括性
26, 
27,正确答案：A
28,3
29,丰其蔀，日中见斗。蔀字的读音与下列哪个选项相同？（）
30,A、
31,否
32,B、
33,曝
34,C、
35,劈
36,D、
37,部
38, 
39,正确答案：D
40,4
41,《易传》共有十个部分，称为（）。
42,A、
43,十翼
44,B、
45,世爻
46,C、
47,十传
48,D、
49,十易
50, 
51,正确答案：A
52,5
53,生理养生三原则不包括（）。
54,A、
55,饮食有节
56,B、
57,起居有常
58,C、
59,不妄劳作
60,D、
61,省常居则
62, 
63,正确答案：D
64,6
65,六十四卦除了凶卦和吉卦之外还有什么卦？（）
66,A、
67,贞卦
68,B、
69,八纯卦
70,C、
71,厉卦
72,D、
73,元卦
74, 
75,正确答案：D
76,7
77,由（）画组成的卦是八卦的初卦，称为经卦。（）
78,A、
79,四
80,B、
81,三
82,C、
83,二
84,D、
85,一
86, 
87,正确答案：A
88,8
89,岐黄之术的主要内容不包括（）。
90,A、
91,黄帝内经
92,B、
93,本草纲目
94,C、
95,养生术
96,D、
97,太极拳
98, 
99,正确答案：D
100,9
101,咸卦的底线中“咸其拇”中的“咸”指的是（）。
102,A、
103,适宜
104,B、
105,语气词
106,C、
107,心灵的感应
108,D、
109,一种味道
110, 
111,正确答案：C
112,10
113,震卦是六十四卦中的卦（）。
114,A、
115,五十
116,B、
117,五十一
118,C、
119,五十二
120,D、
121,五十三
122, 
123,正确答案：B
124,11
125,将八卦演绎为六十四卦的是（）。
126,A、
127,孔子
128,B、
129,伏羲
130,C、
131,颛顼
132,D、
133,周文王
134, 
135,正确答案：B
136,12
137,蒙卦是童蒙启智之象，（）之意。
138,A、
139,迷蒙摸索
140,B、
141,万象更新
142,C、
143,辞旧迎新
144,D、
145,艰难险阻
146, 
147,正确答案：A
148,13
149,开创政治婚姻先河的是（）。
150,A、
151,伏羲归妹
152,B、
153,文王归妹
154,C、
155,帝辛归妹
156,D、
157,帝乙归妹
158, 
159,正确答案：D
160,14
161,潜龙勿用的典故是（）。
162,A、
163,尧耕历山做潜龙
164,B、
165,尧耕骊山做潜龙
166,C、
167,舜耕历山做潜龙
168,D、
169,舜耕骊山做潜龙
170, 
171,正确答案：C
172,15
173,关于解卦识卦，下列说法错误的是（）。
174,A、
175,卦中的六爻是由下往上推进的
176,B、
177,泰卦君子道长，否卦小人道长
178,C、
179,否卦中的阴爻势力越来越大
180,D、
181,下卦在外，上卦在内
182, 
183,正确答案：D
184,16
