,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1明朝的言官部分隶属于（）1.0 分
2,A、
3,吏部
4,B、
5,刑部
6,C、
7,都察院
8,D、
9,礼部
10,我的答案：C
11,2“威权震主”最早是描述：1.0 分
12,A、
13,周公旦
14,B、
15,卫青
16,C、
17,霍光
18,D、
19,张居正
20,我的答案：C
21,3“三不足”是谁提出来的？1.0 分
22,A、
23,张居正
24,B、
25,商鞅
26,C、
27,王安石
28,D、
29,董仲舒
30,我的答案：C
31,4王直曾经向明政府提出什么建议？1.0 分
32,A、
33,通关纳税
34,B、
35,开港通市
36,C、
37,将广东沿海的做法照搬到浙江沿海
38,D、
39,全部
40,我的答案：D
41,5以下时间，取消海禁的是：1.0 分
42,A、
43,永乐元年
44,B、
45,正德元年
46,C、
47,天顺元年
48,D、
49,隆庆元年
50,我的答案：D
51,6田中健夫认为，“嘉靖大倭寇”主要为：1.0 分
52,A、
53,朝鲜人
54,B、
55,中国人
56,C、
57,日本人
58,D、
59,吕宋人
60,我的答案：B
61,7对明朝废除丞相分析正确的是：1.0 分
62,A、
63,君主专制的需要
64,B、
65,体现分权与制衡原则
66,C、
67,中央加强对地方控制的需要
68,D、
69,宰相制度不适合明朝
70,我的答案：A
71,8《西洋新历法》是谁出版的1.0 分
72,A、
73,利玛窦
74,B、
75,徐光启
76,C、
77,李之藻
78,D、
79,汤若望
80,我的答案：D
81,9下面那一本是刘若愚的著作1.0 分
82,A、
83,《酌中志》
84,B、
85,《梼杌闲评》
86,C、
87,《玉镜新谭》
88,D、
89,《逆臣录》
90,我的答案：A
91,10南宋时期谁曾被批为“伪学逆党”？1.0 分
92,A、
93,王阳明
94,B、
95,韩非子
96,C、
97,朱熹
98,D、
99,阮籍
100,我的答案：C
101,11没有皈依天主教的明朝官员是1.0 分
102,A、
103,瞿太素
104,B、
105,沈一贯
106,C、
107,李之藻
108,D、
109,杨廷筠
110,我的答案：B
111,12朱元璋最初处死胡惟庸的罪名是：1.0 分
112,A、
113,擅权植党
114,B、
115,大不敬
116,C、
117,通倭通虏
118,D、
119,专权枉上
120,我的答案：A
121,13明朝时发生的“争贡”事件的主角是：1.0 分
122,A、
123,日本人
124,B、
125,爪哇人
126,C、
127,西洋红蕃
128,D、
129,回回人
130,我的答案：A
131,14以下不属于唐枢对海禁的看法的有：1.0 分
132,A、
133,海禁只能禁止中国百姓
134,B、
135,嘉靖时期的倭患起于海禁的不合时宜
136,C、
137,所谓的倭寇其实是中国的百姓
138,D、
139,市通则寇转为商
140,我的答案：D
141,15全球化的标志性历史事件是（）1.0 分
142,A、
143,地理大发现
144,B、
145,新大陆的发现
146,C、
147,丝绸之路
148,D、
149,中国加入WTO
150,我的答案：A
151,16张居正按照哪一派的思想进行改革？1.0 分
152,A、
153,法家
154,B、
155,儒家
156,C、
157,道家
158,D、
159,墨家
160,我的答案：A
161,17西方学者将朱熹比作基督教的：1.0 分
162,A、
163,马丁路德
164,B、
165,托马斯·阿奎那
166,C、
167,圣奥古斯丁
168,D、
169,约翰·加尔文
170,我的答案：B
171,18在明初，刘伯温是当时的：1.0 分
172,A、
173,淮西集团
174,B、
175,淮东集团
176,C、
177,浙东集团
178,D、
179,北方集团
180,我的答案：C
181,19张居正在高拱与冯保的斗争中为何站在冯保一边？1.0 分
182,A、
183,高拱擅权专政
184,B、
185,张居正鼠目寸光
186,C、
187,为掌内阁首辅大权
188,D、
189,高拱与张居正不和
190,我的答案：C
191,20明朝开国左丞相是谁1.0 分
192,A、
193,刘基
194,B、
195,徐达
196,C、
197,李善长
198,D、
199,胡惟庸
200,我的答案：C
201,21《剑桥中国隋唐史》是哪国人写的1.0 分
202,A、
203,法
204,B、
205,意大利
206,C、
207,英
208,D、
209,美
210,我的答案：C
211,22天启年间的“阉党”的代表人物是（）1.0 分
212,A、
213,王喜
214,B、
215,魏忠贤
216,C、
217,王振
218,D、
219,冯保
220,我的答案：B
221,23崇祯时期面对内忧外患说法正确的是1.0 分
222,A、
223,同时对付内忧外患
224,B、
225,先外后内
226,C、
227,攘外必先安内
228,D、
229,消极应对两方面
230,我的答案：C
231,24以下哪一个不是朱元璋设立过的机构：1.0 分
232,A、
233,中书省
234,B、
235,检校
236,C、
237,内阁
238,D、
239,锦衣卫
240,我的答案：C
241,25明朝嘉靖时期，与海禁斗争的商人多为：1.0 分
242,A、
243,闽商
244,B、
245,浙商
246,C、
247,徽商
248,D、
249,淮商
250,我的答案：C
251,26张居正改革的过程中曾遭到谁的弹劾？1.0 分
252,A、
253,余懋学
254,B、
255,傅应祯
256,C、
257,刘台
258,D、
259,全部
260,我的答案：D
261,27袁崇焕在北京被收监后，带领军队愤而去山海关，后被追回的部下是：1.0 分
262,A、
263,李永芳
264,B、
265,毛文龙
266,C、
267,祖大寿
268,D、
269,洪承畴
270,我的答案：C
271,28谁策划了行刺万历皇帝的事件？1.0 分
272,A、
273,高拱
274,B、
275,张居正
276,C、
277,冯宝
278,D、
279,王大臣
280,我的答案：C
281,29明朝官僚如死去了父亲或母亲则必须守孝多久？1.0 分
282,A、
283,2年
284,B、
285,3年
286,C、
287,27个月
288,D、
289,18个月
290,我的答案：C
291,30被朱元璋赐蒸鹅，发病而死的是：1.0 分
292,A、
293,朱同
294,B、
295,徐达
296,C、
297,杨宪
298,D、
299,汤和
300,我的答案：B
301,31朱元璋和下面古代皇帝中哪位出身类似1.0 分
302,A、
303,秦始皇
304,B、
305,刘邦
306,C、
307,李世民
308,D、
309,赵匡胤
310,我的答案：B
311,32提出“不必以孔子之是非为是非”的是：1.0 分
312,A、
313,陈献章
314,B、
315,李贽
316,C、
317,方以智
318,D、
319,王阳明
320,我的答案：D
321,33明朝初期那一种学说比较盛行1.0 分
322,A、
323,朱熹理学
324,B、
325,阳明心学
326,C、
327,二程理学
328,D、
329,全部是
330,我的答案：A
331,34（）推行了焚书坑儒。1.0 分
332,A、
333,汉高祖
