,题目
0,一、单选题
1, 
2,1 
3,明朝功臣李善长位居：
4,A、 
5,左丞相 
6,B、 
7,右丞相 
8,C、 
9,兵部尚书 
10,D、 
11,大将军 
12,我的答案：A 
13,2 
14,明朝时欧洲对中国很多物品都有需求，下列不属于需求商品的是
15,A、 
16,丝绸 
17,B、 
18,茶叶 
19,C、 
20,黄金 
21,D、 
22,瓷器 
23,我的答案：C 
24,3 
25,晚明时期，中国到葡萄牙的航线一般不经过：
26,A、 
27,里斯本 
28,B、 
29,马六甲 
30,C、 
31,果阿 
32,D、 
33,霍尔木兹 
34,我的答案：D 
35,4 
36,下列那一条不属于杨继盛弹劾严嵩父子的罪状？
37,A、 
38,怀天下之法度 
39,B、 
40,吴国家之军机 
41,C、 
42,窃人主之大权 
43,D、 
44,冒朝廷之军功 
45,我的答案：B 
46,5 
47,明朝的传教士在哪里学习汉语的
48,A、 
49,香港 
50,B、 
51,澳门 
52,C、 
53,台湾 
54,D、 
55,南京 
56,我的答案：B 
57,6 
58,魏忠贤负责哪里的职务
59,A、 
60,西厂 
61,B、 
62,东厂 
63,C、 
64,军事 
65,D、 
66,政务 
67,我的答案：B 
68,7 
69,魏忠贤同党对其的称呼中不包括
70,A、 
71,上公 
72,B、 
73,千岁 
74,C、 
75,九千岁 
76,D、 
77,首辅 
78,我的答案：D 
79,8 
80,明朝开国皇帝是
81,A、 
82,刘邦 
83,B、 
84,项羽 
85,C、 
86,朱元璋 
87,D、 
88,朱棣 
89,我的答案：C 
90,9 
91,四书集注的作者是（）
92,A、 
93,王阳明 
94,B、 
95,孟子 
96,C、 
97,朱熹 
98,D、 
99,庄子 
100,我的答案：C 
101,10 
102,东林书院位于：
103,A、 
104,苏州 
105,B、 
106,无锡 
107,C、 
108,湖州 
109,D、 
110,东瓯 
111,我的答案：B 
112,11 
113,（）弹劾严嵩，严嵩下台。
114,A、 
115,邹应龙 
116,B、 
117,徐阶 
118,C、 
119,寇准 
120,D、 
121,张居正 
122,我的答案：A 
123,12 
124,牛李党争是什么时候的事情
125,A、 
126,秦汉 
127,B、 
128,汉 
129,C、 
130,隋唐 
131,D、 
132,明 
133,我的答案：C 
134,13 
135,荷兰的贸易总公司建立在（）
136,A、 
137,巴达维亚 
138,B、 
139,印度 
140,C、 
141,澳门 
142,D、 
143,香港 
144,我的答案：A 
145,14 
146,不属于经济史家全汉升先生的文章有
