,题目
0,一、单选题
1,
2,1
3,
4,（）确立了辩证论治原则，是中医临床的基本原则以及中医的灵魂所在的著作。
5,A、
6,《王祯农书》
7,
8,B、
9,《伤寒杂病论》
10,
11,C、
12,《齐民要术》
13,
14,D、
15,《本草纲目》
16,
17,我的答案：D
18,2
19,
20,（）发明了第一辆实用火车，用于拉煤。
21,A、
22,瓦特
23,
24,B、
25,斯蒂芬逊
26,
27,C、
28,特里维西克
29,
30,D、
31,福特
32,
33,我的答案：B
34,3
35,
36,产业革命的特点是（）。
37,A、
38,机器取代人类
39,
40,B、
41,大规模工厂生产取代个体手工生产
42,
43,C、
44,技术革新为契机，经济无限增长
45,
46,D、
47,以上都对
48,
49,我的答案：D
50,4
51,
52,欧洲早期的大学，其本质是（）。
53,A、
54,学术机构
55,
56,B、
57,国家机器
58,
59,C、
60,公益组织
61,
62,D、
63,行会组织
64,
65,我的答案：D
66,5
67,
68,希腊天文学的一个基本动机就来自于柏拉图给他学生提出的一个任务，叫（）。
69,A、
70,拯救现象
71,
72,B、
73,逆行现象
74,
75,C、
76,规则现象
77,
78,D、
79,整理现象
80,
81,我的答案：A
82,6
83,
84,（）被是认为化学革命的英雄，化学界中的牛顿。
85,A、
86,舍勒
87,
88,B、
89,拉瓦锡
90,
91,C、
92,迪费
93,
94,D、
95,普利斯特列
96,
97,我的答案：B
98,7
99,
100,（）引发了第二次工业革命。
101,A、
102,热力学的发展
103,
104,B、
105,机械动力学的发展
106,
107,C、
108,电磁学的发展
109,
110,D、
111,生物工程学的发展
112,
113,我的答案：C
114,8
115,
116,（）上首先体现出希腊人科学的自由性。
117,A、
118,物质文明
119,
120,B、
121,哲学理念
122,
123,C、
124,精神文明
125,
126,D、
127,科学形态
128,
129,我的答案：D
130,9
131,
132,古希腊数学著作《几何原本》的作者是（）。
133,A、
134,泰勒斯
135,
136,B、
137,巴门尼德
138,
139,C、
140,柏拉图
141,
142,D、
143,欧几里得
144,
145,我的答案：D
146,10
147,
148,（）中，三大舰队之一的北洋舰队最终全军覆没。
149,A、
150,甲午战争
151,
152,B、
153,中俄战争
154,
155,C、
156,第一次鸦片战争
157,
158,D、
159,第二次鸦片战争
160,
161,我的答案：A
162,11
163,
164,近代科学中，实验传统的来源是（）。
165,A、
166,数理传统
167,
168,B、
169,炼金术传统
170,
171,C、
172,培根传统
173,
174,D、
175,以上都对
176,
