,题目
0,
1,一、 单选题（题数：60，共 60.0 分）
2,1
3,2014年的世界气候大会是在（）举行的。
4,1.0 分
5,A、
6,多哈
7,B、
8,哥本哈根
9,C、
10,中国
11,D、
12,秘鲁
13,正确答案： D 我的答案：D
14,2
15,做同位素实验需要穿（）作为防护
16,1.0 分
17,A、
18,白大褂
19,B、
20,防毒面罩
21,C、
22,铅衣
23,D、
24,铁衣
25,正确答案： C 我的答案：C
26,3
27,杭州市大气颗粒污染物的最主要来源是（）。
28,1.0 分
29,A、
30,建筑物尘埃
31,B、
32,农业秸秆焚烧产物
33,C、
34,周边污染物飘入
35,D、
36,汽车尾气排放
37,正确答案： D 我的答案：D
38,4
39,在胚胎期，人的含水量是（）。
40,1.0 分
41,A、
42,60%
43,B、
44,77%
45,C、
46,85%
47,D、
48,98%
49,正确答案： D 我的答案：D
50,5
51,美拉德反应是发生在羰基化合物与（）之间的复杂反应。
52,1.0 分
53,A、
54,氢氧化合物
55,B、
56,有机氟化合物
57,C、
58,氨基化合物
59,D、
60,银化合物
61,正确答案： C 我的答案：C
62,6
63,导致杭州自来水异味事件的化学成分是什么
64,1.0 分
65,A、
66,天然丙酮酸乙酯
67,B、
68,邻叔丁基苯酚
69,C、
70,甲基
71,D、
72,咖啡酸苯乙酯
73,正确答案： B 我的答案：B
74,7
75,钙片和以下哪种维生素一起吃才最容易吸收？
76,1.0 分
77,A、
78,维生素D
79,B、
80,维生素B
81,C、
82,维生素E
83,D、
84,维生素A
85,正确答案： C 我的答案：C
86,8
87,以下不属于海水淡化方法的是（）。
88,1.0 分
89,A、
90,蒸馏法
91,B、
92,电渗析法
93,C、
94,合成法
95,D、
96,反渗透法
97,正确答案： C 我的答案：C
98,9
99,以下哪个版块不属于浙江大学学报的版块？
100,1.0 分
101,A、
102,工业版
103,B、
104,人文社会科学版
105,C、
106,哲学版
107,D、
108,医学版
109,正确答案： C 我的答案：C
110,10
111,以下不属于人体所需七大类营养素的是（）。
112,0.0 分
113,A、
114,蛋白质
115,B、
116,维生素
117,C、
118,糖
119,D、
120,氨基酸
121,正确答案： C 我的答案：D
122,11
123,“巴厘路线图”是在（）年的世界气候大会上通过的。
124,1.0 分
125,A、
126,2007
127,B、
128,2008
129,C、
130,2009
131,D、
132,2010
133,正确答案： A 我的答案：A
134,12
135,磺胺类药物具有阻断（）合成的功效，能有效抑制细菌生长。
136,1.0 分
137,A、
138,维生素C
139,B、
140,谷氨酸
141,C、
142,叶酸
143,D、
144,氨基酸
145,正确答案： C 我的答案：C
146,13
147,核苷是由戊糖和（）组成的。
148,1.0 分
149,A、
150,磷酸
151,B、
152,碱基
153,C、
154,核苷酸
155,D、
156,核糖
157,正确答案： B 我的答案：B
158,14
159,创制出青蒿素的药学家是（）
160,1.0 分
161,A、
162,裘法祖
163,B、
164,屠呦呦
165,C、
166,蒲辅周
167,D、
168,王永炎
169,正确答案： B 我的答案：B
170,15
171,（）指出了沃森画的碱基构型属于烯醇式，应该改为酮体异构式
172,1.0 分
173,A、
174,鲍林
175,B、
176,富兰克林
177,C、
178,克里克
179,D、
180,多诺休
181,正确答案： D 我的答案：D
182,16
183,联合国环境计划署的数据显示，臭氧层每减少1%，具有生理破坏力的紫外线就增加（）
184,1.0 分
185,A、
186,5%
187,B、
188,4.2%
189,C、
190,3.1%
191,D、
192,1.3%
193,正确答案： D 我的答案：D
194,17
195,在酿酒过程中，酒香的产生是因为酒中的酸和醇发生了（）反应。
196,1.0 分
197,A、
198,皂化
199,B、
200,硝烟
201,C、
202,酯化
203,D、
204,中和
205,正确答案： C 我的答案：C
206,18
207,“今又生”是一种用于（）的药物。
208,1.0 分
209,A、
210,疟疾治疗
211,B、
212,止痛消炎
213,C、
214,促进神经损伤恢复
215,D、
216,肿瘤基因治疗
217,正确答案： D 我的答案：D
218,19
219,反渗透淡化法使用的薄膜叫（）。
220,1.0 分
221,A、
222,渗水膜
223,B、
224,吸附膜
225,C、
226,排盐膜
227,D、
228,半透膜
229,正确答案： D 我的答案：D
230,20
231,我国现在的人均二氧化碳排放量是（）。
232,1.0 分
233,A、
234,0.4吨
235,B、
236,0.8吨
237,C、
238,1.4吨
239,D、
240,2.4吨
241,正确答案： C 我的答案：C
242,21
243,以下不属于川药药材的是（）
244,1.0 分
245,A、
246,川贝
247,B、
248,红景天
249,C、
250,冬虫夏草
251,D、
252,雪莲花
253,正确答案： D 我的答案：D
254,22
255,为了尽量减少燃煤所产生的二氧化硫，需要加入（）。
256,0.0 分
257,A、
258,苏打
259,B、
260,脱硫剂
