,题目
0,一、 单选题（题数：50，共 50）
1,1
2,下列不属于在法国五次革命期间创作的芭蕾舞剧的是（）。
3, 
4,窗体顶端
5,A、
6,《关不住的女儿》
7,B、
8,《吉赛尔》
9,C、
10,《天鹅湖》
11,D、
12,《海盗》
13,窗体底端
14,正确答案： C 我的答案：C
15,2
16,中国古典舞与现代舞的界线是（）。
17, 
18,窗体顶端
19,A、
20,唐代
21,B、
22,鸦片战争
23,C、
24,新中国成立
25,D、
26,五四运动
27,窗体底端
28,正确答案： D 我的答案：D
29,3
30,关注“粗身”中“粗身”涉及下列哪类学科内容。
31, 
32,窗体顶端
33,A、
34,运动学
35,B、
36,人种学
37,C、
38,社会学
39,D、
40,语言学
41,窗体底端
42,正确答案： B 我的答案：B
43,4
44,下列不属于当代中国民间舞的身份群体的是（）。
45, 
46,窗体顶端
47,A、
48,舞蹈爱好者
49,B、
50,民间艺人
51,C、
52,二老艺人
53,D、
54,职业舞者
55,窗体底端
56,正确答案： A 我的答案：A
57,5
58,傣族孔雀舞中手掌掌形的含义是（）。
59, 
60,窗体顶端
61,A、
62,孔雀息枝
63,B、
64,孔雀攻击
65,C、
66,孔雀嬉戏
67,D、
68,没有特殊含义
69,窗体底端
70,正确答案： A 我的答案：A
71,6
72,现代舞身体语料的三个语源不包括（）。
73, 
74,窗体顶端
75,A、
76,历史
77,B、
78,异域
79,C、
80,生活
81,D、
82,想象
83,窗体底端
84,正确答案： D 我的答案：D
85,7
86,舞蹈《雀之灵》属于（）。
87, 
88,窗体顶端
89,A、
90,民间舞
91,B、
92,古典舞
93,C、
94,现代舞
95,D、
96,当代舞
97,窗体底端
98,正确答案： D 我的答案：D
99,8
100,影响非洲舞蹈多样性形成的最主要因素是（）。
101, 
102,窗体顶端
103,A、
104,国家
105,B、
106,地缘
107,C、
108,族群
109,D、
110,文化
111,窗体底端
112,正确答案： B 我的答案：B
113,9
114,印度古典舞是（）的代表。
115, 
116,窗体顶端
117,A、
118,印度主流文化
119,B、
120,印度不同民族风格
121,C、
122,印度宝莱坞娱乐
123,D、
124,印度民间艺术
125,窗体底端
126,正确答案： A 
127,10
128,“细身”是指舞蹈进入了（）。
129, 
130,窗体顶端
131,A、
132,有感世界
133,B、
134,有话世界
135,C、
136,有知世界
137,D、
138,有情世界
139,窗体底端
140,正确答案： D 我的答案：D
141,11
142,《天鹅湖》讲的是下面哪一个国家的童话：（）
143, 
144,窗体顶端
145,A、
146,俄罗斯
147,B、
148,奥地利
149,C、
150,法国
151,D、
152,日本
153,窗体底端
154,正确答案： A 我的答案：A
155,12
156,《天鹅湖·二幕》中罗特巴特囚禁了下面哪一位：（）
157, 
158,窗体顶端
159,A、
160,爱莎公主
161,B、
162,奥杰塔公主
163,C、
164,妮莎王后
165,D、
166,迪亚王子
167,窗体底端
168,正确答案： B 我的答案：B
169,13
170,《秦王点兵》中棱角型的舞台调度是为了展现唐代武舞的（）主题。
171, 
172,窗体顶端
173,A、
174,尚武性
175,B、
176,矛盾性
177,C、
178,和谐性
179,D、
180,攻击性
181,窗体底端
182,正确答案： D 我的答案：D
183,14
184,现代舞最重要的“审丑”方式是（）。
185, 
186,窗体顶端
187,A、
188,变形
189,B、
190,诙谐
191,C、
192,和谐
193,D、
194,狞厉
195,窗体底端
196,正确答案： A 我的答案：A
197,15
198,舞蹈的表演形式不包括下面哪一项：（）
199, 
200,窗体顶端
201,A、
202,狂舞
203,B、
204,独舞
205,C、
206,群舞
207,D、
208,三人舞
209,窗体底端
210,正确答案： A 
211,16
212,现代舞是在对传统芭蕾舞的（）中发展而来的。
213, 
214,窗体顶端
215,A、
216,反叛
217,B、
218,重构
219,C、
220,继承
221,D、
222,创新
223,窗体底端
224,正确答案： A 我的答案：A
225,17
226,欣赏舞蹈需要把握的三要素中，不包括下列哪项：（）。
227, 
228,窗体顶端
229,A、
230,思维
231,B、
232,语意
233,C、
234,思想
235,D、
236,形式
237,窗体底端
238,正确答案： B 我的答案：B
239,18
240,从佛教道义上讲，舞蹈《千手观音》的缺陷在于（）。
241, 
242,窗体顶端
243,A、
244,观音坐莲花台
245,B、
246,观音下莲花台
247,C、
248,音乐不符合
249,D、
250,动作表现力不够
251,窗体底端
252,正确答案： B 我的答案：B
253,19
254,下列不属于中国高雅舞蹈的是（）。
255, 
256,窗体顶端
257,A、
258,芭蕾舞
259,B、
260,中国古典舞
261,C、
262,军旅舞蹈
263,D、
264,中国民间舞
265,窗体底端
266,正确答案： D 我的答案：D
267,20
268,下面哪一项是“有话世界”：（）
269, 
270,窗体顶端
271,A、
272,业身
273,B、
274,粗身
275,C、
276,细身
277,D、
278,身段
279,窗体底端
280,正确答案： A 我的答案：A
281,21
282,云南彝族的“跳菜”舞目的在于（）。
283, 
284,窗体顶端
285,A、
286,祭祀祖先
287,B、
288,庆祝喜事
289,C、
290,祈求丰收
291,D、
292,反抗压迫
293,窗体底端
294,正确答案： B 我的答案：B
295,22
296,《海棠依旧》中女主人的女儿生产的地点是在下面哪国的一个公寓的地下室：（）
297, 
298,窗体顶端
299,A、
300,美国
301,B、
302,英国
303,C、
304,意大利
305,D、
306,法国
307,窗体底端
308,正确答案： D
309,23
310,俄罗斯舞蹈《白桦树》是一个体现俄罗斯（）的舞蹈。
311, 
312,窗体顶端
313,A、
314,民间信仰生活
315,B、
316,民间世俗生活
317,C、
318,宫廷生活
319,D、
320,宗庙生活
321,窗体底端
322,正确答案： A 我的答案：A
323,24
324,舞蹈《海棠依旧》是下面哪一项芭蕾：（）
325, 
326,窗体顶端
327,A、
328,当代芭蕾
329,B、
330,现代芭蕾
331,C、
332,古代芭蕾
333,D、
334,民间芭蕾
335,窗体底端
336,正确答案： A 
337,25
338,下列不属于飞天舞的是（）。
339, 
340,窗体顶端
341,A、
342,闻法飞天
343,B、
344,赞法飞天
345,C、
346,涅槃飞天
347,D、
348,颂法飞天
349,窗体底端
350,正确答案： D 我的答案：D
351,26
352,下列不属于“丑学”的意义的是（）。
353, 
354,窗体顶端
355,A、
356,补充美学的疏漏
357,B、
358,平衡美学的偏颇
359,C、
360,匡正人类在感性学方面的失误
361,D、
362,扩大艺术的审视角度
363,窗体底端
364,正确答案： D 我的答案：D
365,27
366,欣赏舞蹈的重点是欣赏舞蹈作品中语言符号所表达的意义及其深度与广度，这是指从（）角度来欣赏舞蹈。
367, 
368,窗体顶端
369,A、
370,舞蹈身体语言学
371,B、
372,舞蹈运动学
373,C、
374,解剖学
375,D、
376,社会学
377,窗体底端
378,正确答案： A 我的答案：A
379,28
380,舞蹈评论理论是一个关于（）的评价系统。
381, 
382,窗体顶端
383,A、
384,动作细节
385,B、
386,形式内容
387,C、
388,人际意义
389,D、
390,种类归属
391,窗体底端
392,正确答案： C 
393,29
394,欣赏舞蹈时往往通过舞蹈的（）来析其外部语境。
395, 
396,窗体顶端
397,A、
398,外部表现
399,B、
400,内部形式
401,C、
402,内部对话
403,D、
404,外部道具
405,窗体底端
406,正确答案： C 我的答案：C
407,30
408,舞蹈《挽扇仕女》的创作具有（）特点。
409, 
410,窗体顶端
411,A、
412,原型复现
413,B、
414,融合性
415,C、
416,回溯性
417,D、
418,模仿性
419,窗体底端
420,正确答案： B 我的答案：B
421,31
422,下列不属于古典舞欣赏原则的是（）。
423, 
424,窗体顶端
425,A、
426,时间及延伸原则
427,B、
428,附属主流社会及动作语汇原则
429,C、
430,古典美及价值判断原则
431,D、
432,时代性及价值批判原则
433,窗体底端
434,正确答案： D 我的答案：D
435,32
436,舞蹈教育早期职业化的弊端在于（）。
437, 
438,窗体顶端
439,A、
440,舞蹈知识储备不足
441,B、
442,舞蹈内容同质化
443,C、
444,舞蹈理论理解不深刻
445,D、
446,舞蹈技能单一化
447,窗体底端
448,正确答案： B 我的答案：B
449,33
450,下列属于古典舞的舞蹈场的是（）。
451, 
452,窗体顶端
453,A、
454,剧场
455,B、
456,舞台
457,C、
458,宗庙
459,D、
460,田间
461,窗体底端
462,正确答案： C 我的答案：C
463,34
464,现代舞的关注中心是（）。
465, 
466,窗体顶端
467,A、
468,表情
469,B、
470,手臂
471,C、
472,脚
473,D、
474,躯干
475,窗体底端
476,正确答案： D 我的答案：D
477,35
478,印度宝莱坞舞蹈能够成熟发展的主要原因是（）。
479, 
480,窗体顶端
481,A、
482,借鉴外来舞蹈的优势
483,B、
484,印度古典舞与民间舞的发达
485,C、
486,媒体的大力宣传
487,D、
488,宝莱坞舞蹈的历史悠久
489,窗体底端
490,正确答案： B 我的答案：B
491,36
492,舞蹈《济公》主要表达的内容是（）。
493, 
494,窗体顶端
495,A、
496,普度众生
497,B、
498,天地仁和
499,C、
500,吉祥如意
501,D、
502,万物均等
503,窗体底端
504,正确答案： A 我的答案：A
505,37
506,“昆舞”是由京昆戏曲中的（）发展而来的。
507, 
508,窗体顶端
509,A、
510,京剧
511,B、
512,南昆
513,C、
514,北昆
515,D、
516,京韵
517,窗体底端
518,正确答案： B 我的答案：B
519,38
520,了解舞蹈内容的第一媒介是（）。
521, 
522,窗体顶端
523,A、
524,舞蹈的时间长度
525,B、
526,舞蹈的辅助性文字说明
527,C、
528,舞蹈动作
529,D、
530,舞蹈标题
531,窗体底端
532,正确答案： D 我的答案：D
533,39
534,下列不属于舞蹈叙事向度的是（）。
535, 
536,窗体顶端
537,A、
538,戏说叙事
539,B、
540,宏大叙事
541,C、
542,私人叙事
543,D、
544,述说乡土
545,窗体底端
546,正确答案： A 
547,40
548,以下哪项不属于《天鹅湖二幕》的舞蹈形式：（）。
549, 
550,窗体顶端
551,A、
552,群舞
553,B、
554,双人舞
555,C、
556,独舞
557,D、
558,组舞
559,窗体底端
560,正确答案： D
561,41
562,戏曲舞蹈成熟于（）时期。
563, 
564,窗体顶端
565,A、
566,秦汉
567,B、
568,唐宋
569,C、
570,明清
571,D、
572,民国
573,窗体底端
574,正确答案： C 我的答案：C
575,42
576,三人舞的舞蹈形式主要是为了展现（）。
577, 
578,窗体顶端
579,A、
580,和谐
581,B、
582,冲突对抗
583,C、
584,自我展示
585,D、
586,平衡对称
587,窗体底端
588,正确答案： B 我的答案：B
589,43
590,舞蹈欣赏中（）是第一位的。
591, 
592,窗体顶端
593,A、
594,时间因素
595,B、
596,空间因素
597,C、
598,舞者的专业性
599,D、
600,舞台效果
601,窗体底端
602,正确答案： A 
603,44
604,通过舞蹈中的动作、表情、姿势等具体形象来表达舞蹈所蕴含的意念，这是指舞蹈的（）。
605, 
606,窗体顶端
607,A、
608,情境
609,B、
610,意象
611,C、
612,意境
613,D、
614,语境
615,窗体底端
616,正确答案： B 我的答案：B
617,45
618,民间艺人跳的舞蹈《济公》中使用的动作模态是（）。
619, 
620,窗体顶端
621,A、
622,京剧的“丑”角
623,B、
624,京剧的“旦”角
625,C、
626,河北地秧歌的“妞”角
627,D、
628,河北地秧歌的“丑”角
629,窗体底端
630,正确答案： D 我的答案：D
631,46
632,欣赏作品形态舞蹈的最主要原则是（）。
633, 
634,窗体顶端
635,A、
636,舞者的好坏
637,B、
638,编者的好坏
639,C、
640,作品的好坏
641,D、
642,场地的好坏
643,窗体底端
644,正确答案： C 我的答案：C
645,47
646,现代舞必须表现出的基本观念是（）。
647, 
648,窗体顶端
649,A、
650,对美好生活的向往
651,B、
652,对社会矛盾的抨击
653,C、
654,对人生存态度的反思
655,D、
656,对人性的批判
657,窗体底端
658,正确答案： C 
659,48
660,日喀则地区林区舞蹈最独特的代表是（）。
661, 
662,窗体顶端
663,A、
664,同甲
665,B、
666,堆谢
667,C、
668,谐
669,D、
670,囊玛
671,窗体底端
672,正确答案： A 我的答案：A
673,49
674,下列属于中国传统舞蹈范畴的是（）。
675, 
676,窗体顶端
677,A、
678,中国古典舞和中国民族民间舞
679,B、
680,中国民间舞和中国当代舞
681,C、
682,中国古典舞、中国民间舞和中国当代舞
683,D、
684,中国古典舞和中国民间舞
685,窗体底端
686,正确答案： D
687,50
688,下列不属于舞台民间舞种类的是（）。
689, 
690,窗体顶端
691,A、
692,直接从民间来，稍加整理的舞蹈
693,B、
694,几个民间舞集中起来编成一个新型舞蹈
695,C、
696,根据民间音乐、文学、绘画等材料创作而来的舞蹈
697,D、
698,根据舞蹈家对民间生活的想象创作而来的舞蹈
699,窗体底端
700,正确答案： D 我的答案：D
701,二、 判断题（题数：50，共 5 ）
702,1
703,藏舞中表演性组合的三种形式包括卓表演性组合、弦子表演性组合和依表演性组合。
704, 
705,窗体顶端
706,正确答案： √ 我的答案： √
707,窗体底端
708,2
709,《天鹅湖》这个故事是柴可夫斯基一人独创的童话。
710, 
711,窗体顶端
712,正确答案： × 我的答案： ×
713,窗体底端
714,3
715,宏大叙事舞蹈都是直接阐述国家主题的。
716, 
717,窗体顶端
718,正确答案： × 我的答案： ×
719,窗体底端
720,4
721,舞台民间舞整体在向典雅方向发展。
722, 
723,窗体顶端
724,正确答案： × 
725,窗体底端
726,5
727,舞台民间舞重返民间时首先要了解的是舞蹈形式。
728, 
729,窗体顶端
730,正确答案： × 我的答案： ×
731,窗体底端
732,6
733,印度古典舞大约发源于十七世纪。
734, 
735,窗体顶端
736,正确答案： × 我的答案： ×
737,窗体底端
738,7
739,私人叙事舞蹈是指用民间舞蹈的素材和形式来表达舞者自己的感受。
740, 
741,窗体顶端
742,正确答案： √ 我的答案： √
743,窗体底端
744,8
745,舞蹈《也许我要飞翔》阐释了一种在物欲满足下人对精神的追求。
746, 
747,窗体顶端
748,正确答案： √ 我的答案： √
749,窗体底端
750,9
751,赞法飞天舞重在表达凡是身体力行贯彻佛法的人，飞天都要加以赞颂。
752, 
753,窗体顶端
754,正确答案： √ 
755,窗体底端
756,10
757,古典舞来源于民间。
758, 
759,窗体顶端
760,正确答案： √ 我的答案： √
761,窗体底端
762,11
763,不同受众群体对经典舞蹈的理解程度都是相同的。
764, 
765,窗体顶端
766,正确答案： × 我的答案： ×
767,窗体底端
768,12
769,芭蕾舞的动作可为播撒式和收获式两种。
770, 
771,窗体顶端
772,正确答案： √ 我的答案： √
773,窗体底端
774,13
775,全身一体动作是通过身体语言来言说舞蹈内容的唯一方式。
776, 
777,窗体顶端
778,正确答案： × 我的答案： ×
779,窗体底端
780,14
781,杂技式舞蹈是舞蹈由“业身”形态到“细身”形态的一种退化。
782, 
783,窗体顶端
784,正确答案： √ 我的答案： √
785,窗体底端
786,15
787,舞蹈中的空间变化是通过时间变化来展现的。
788, 
789,窗体顶端
790,正确答案： × 我的答案： ×
791,窗体底端
792,16
793,现代舞完全都在审丑范围内。
794, 
795,窗体顶端
796,正确答案： × 我的答案： ×
797,窗体底端
798,17
799,舞剧《稻禾》的编导是左青。
800, 
801,窗体顶端
802,正确答案： × 我的答案： ×
803,窗体底端
804,18
805,“二老艺人”是指再生民间舞的重构者。
806, 
807,窗体顶端
808,正确答案： × 我的答案： ×
809,窗体底端
810,19
811,《秦王点兵》从时间上划属于先秦舞蹈。
812, 
813,窗体顶端
814,正确答案： × 
815,窗体底端
816,20
817,欣赏舞台民间舞，可以获得深刻的思想，但无法感受民间的乐趣。
818, 
819,窗体顶端
820,正确答案： × 我的答案： ×
821,窗体底端
822,21
823,作品形态的舞蹈绝不属于剧场舞蹈和舞台舞蹈。
824, 
825,窗体顶端
826,正确答案： √
827,窗体底端
828,22
829,只有理清中国传统舞蹈的内在逻辑关系，才能将中国民间舞恢复到本元。
830, 
831,窗体顶端
832,正确答案： √ 我的答案： √
833,窗体底端
834,23
835,舞蹈《醉狐》显示了人们对自由的追求。
836, 
837,窗体顶端
838,正确答案： √ 我的答案： √
839,窗体底端
840,24
841,当代舞融合了古典芭蕾和现代舞各自的优势。
842, 
843,窗体顶端
844,正确答案： √ 我的答案： √
845,窗体底端
846,25
847,中国民间舞三个身份群体的关系应为平行关系。
848, 
849,窗体顶端
850,正确答案： √ 我的答案： √
851,窗体底端
852,26
853,舞蹈的身体语言包括肢体语言和灵魂语言。
854, 
855,窗体顶端
856,正确答案： √ 我的答案： √
857,窗体底端
858,27
859,印度的七个古典舞流派存在同质异构性，即舞蹈内容相同、形式不同。
860, 
861,窗体顶端
862,正确答案： √ 我的答案： √
863,窗体底端
864,28
865,舞蹈的形式本身就是舞蹈的内容。
866, 
867,窗体顶端
868,正确答案： √ 我的答案： ×
869,窗体底端
870,29
871,解剖学是舞蹈的基础。
872, 
873,窗体顶端
874,正确答案： √ 我的答案： √
875,窗体底端
876,30
877,欧洲的宫廷舞现在已在生活场中消失。
878, 
879,窗体顶端
880,正确答案： × 我的答案： ×
881,窗体底端
882,31
883,徐志摩是一个古典人物形象。
884, 
885,窗体顶端
886,正确答案： × 我的答案： ×
887,窗体底端
888,32
889,舞台民间舞都是由传统成型的民间舞改编而来的。
890, 
891,窗体顶端
892,正确答案： × 我的答案： ×
893,窗体底端
894,33
895,《秦王点兵》是一个显示了汉代宫廷状态的、表现了儒家奋进精神的唐代舞蹈。
896, 
897,窗体顶端
898,正确答案： √ 我的答案： √
899,窗体底端
900,34
901,舞蹈的身体语言必须与舞种严格匹配。
902, 
903,窗体顶端
904,正确答案： √ 我的答案： √
905,窗体底端
906,35
907,“果谐舞”意为“圆圈舞蹈”，是康巴地区的一种群体表演艺术形式。
908, 
909,窗体顶端
910,正确答案： × 我的答案： ×
911,窗体底端
912,36
913,职业舞者将民间舞蹈搬上舞台时，往往会通过消解民间舞道具的方式来实现舞蹈形式的精致化。
914, 
915,窗体顶端
916,正确答案： √ 我的答案： √
917,窗体底端
918,37
919,宫廷舞是在生活形态下的大传统舞蹈，属于作品形态的舞蹈。
920, 
921,窗体顶端
922,正确答案： × 我的答案： ×
923,窗体底端
924,38
925,人们通过“裂面”舞来表达自身的仇恨之情。
926, 
927,窗体顶端
928,正确答案： × 
929,窗体底端
930,39
931,古典舞的动作应来源于自身国家的古代历史和文化。
932, 
933,窗体顶端
934,正确答案： √ 我的答案： √
935,窗体底端
936,40
937,在思维、思想和形式三个方面定位不清，就会导致各类舞蹈走向混乱状态。
938, 
939,窗体顶端
940,正确答案： √ 我的答案： √
941,窗体底端
942,41
943,超长的历史和超大的民族使中国古典舞形成了各种不同的形式和风格。
944, 
945,窗体顶端
946,正确答案： √ 我的答案： √
947,窗体底端
948,42
949,舞蹈《孔雀飞来》展示的是民间的信仰生活。
950, 
951,窗体顶端
952,正确答案： × 我的答案： ×
953,窗体底端
954,43
955,各民族的民间舞蹈只能以职业舞者的舞蹈作为其代表。
956, 
957,窗体顶端
958,正确答案： × 我的答案： ×
959,窗体底端
960,44
961,经典的有价值的舞蹈作品都是具有理论析性的。
962, 
963,窗体顶端
964,正确答案： √ 我的答案： √
965,窗体底端
966,45
967,《海棠依旧》是讲述两个女人的一生。
968, 
969,窗体顶端
970,正确答案： √ 我的答案： √
971,窗体底端
972,46
973,规训形态的舞蹈与生活形态的舞蹈相比，其形式更加精致，但内容却更加模糊。
974, 
975,窗体顶端
976,正确答案： √ 我的答案： √
977,窗体底端
978,47
979,假晶现象是指中国古典舞在身体语言的建构中照抄照搬芭蕾的动作而丧失自我的现象。
980, 
981,窗体顶端
982,正确答案： √ 我的答案： √
983,窗体底端
984,48
985,作品形态的舞蹈只能在剧场和舞台上表演。
986, 
987,窗体顶端
988,正确答案： × 我的答案： ×
989,窗体底端
990,49
991,当过多的奢华的身体行为出现在舞蹈上时，必然会压缩观念展现的时间。
992, 
993,窗体顶端
994,正确答案： √ 我的答案： √
995,窗体底端
996,50
997,古典舞的最高境界是其在技艺方面的追求。
998, 
999,窗体顶端
1000,正确答案： ×
1001,窗体底端
1002, 
1003,           微信公众号：琢磨俗僧
1004,      Copyright  © 2016~2020 超星尔雅题库 版权所有　
1005,本站所有资源均来自互联网，本站只负责收集和整理，均不承担任何法律责任，如有侵权等其它行为
1006,请发邮件至：cxeytk@foxmail.com
1007,
