,题目
0,1 
1,咏蝉三绝不包括
2,1.0 分 
3,窗体顶端
4,
5,A、 
6,虞世南的《蝉》 
7,B、 
8,骆宾王的《咏蝉》 
9,C、 
10,杜牧的《咏蝉》 
11,D、 
12,李商隐的《蝉》 
13,正确答案： C 我的答案：C 
14,窗体底端
15,2 
16,明代高棅将唐诗划分为几个时期
17,1.0 分 
18,窗体顶端
19,
20,A、 
21,四 
22,B、 
23,三 
24,C、 
25,二 
26,D、 
27,一 
28,正确答案： A 我的答案：A 
29,窗体底端
30,3 
31,现今可考的最早的韵书是
32,1.0 分 
33,窗体顶端
34,
35,A、 
36,《切韵》 
37,B、 
38,《韵律》 
39,C、 
40,《音韵》 
41,D、 
42,《韵书》 
43,正确答案： A 我的答案：A 
44,窗体底端
45,4 
46,能够充分表达李白愤世嫉俗的心理的诗作是
47,1.0 分 
48,窗体顶端
49,
50,A、 
51,《蜀道难》 
52,B、 
53,《静夜思》 
54,C、 
55,《月下独酌》 
56,D、 
57,《答三十二寒夜独酌有怀》 
58,正确答案： D 我的答案：D 
59,窗体底端
60,5 
61,南方汉人生活在安逸富裕的生活环境中，他们的文化以什么为主
62,1.0 分 
63,窗体顶端
64,
65,A、 
66,贵族化 
67,B、 
68,民族化 
69,C、 
70,平民化 
71,D、 
72,农庄化 
73,正确答案： A 我的答案：A 
74,窗体底端
75,6 
76,与李白等人相比，王维的诗歌里多了一定的
77,1.0 分 
78,窗体顶端
79,
80,A、 
81,洒脱 
82,B、 
83,气势 
84,C、 
85,胸怀 
86,D、 
87,禅趣 
88,正确答案： D 我的答案：D 
89,窗体底端
90,7 
91,《将进酒》作者是谁？（）
92,1.0 分 
93,窗体顶端
94,
95,A、 
96,白居易 
97,B、 
98,杜甫 
99,C、 
100,李白 
101,D、 
102,张若虚 
103,正确答案： C 我的答案：C 
104,窗体底端
105,8 
106,古人用什么来比喻监察官的威严
107,1.0 分 
108,窗体顶端
109,
110,A、 
111,天平 
112,B、 
113,柏台 
114,C、 
115,尺子 
116,D、 
117,秤锤 
118,正确答案： B 我的答案：B 
119,窗体底端
120,9 
121,占据唐代文学三分之一的是
122,1.0 分 
123,窗体顶端
124,
125,A、 
126,唐代小说 
127,B、 
128,唐代诗歌 
129,C、 
130,唐代小史 
131,D、 
132,唐代碑帖 
133,正确答案： A 我的答案：A 
134,窗体底端
135,10 
136,卢照邻拜的老师不包括
137,1.0 分 
138,窗体顶端
139,
140,A、 
141,张芳龄 
142,B、 
143,王义方 
144,C、 
145,曹宪 
146,D、 
147,孙思邈 
148,正确答案： A 我的答案：A 
149,窗体底端
150,11 
151,“苍梧云”是什么之乡
152,1.0 分 
153,窗体顶端
154,
155,A、 
156,鬼魂 
157,B、 
158,农民 
159,C、 
160,达官 
161,D、 
162,贵人 
163,正确答案： A 我的答案：A 
164,窗体底端
165,12 
166,一般的唐诗选本里，是以谁作为唐代的第一个诗人
167,1.0 分 
168,窗体顶端
169,
170,A、 
171,李白 
172,B、 
173,王绩 
174,C、 
175,杜甫 
176,D、 
177,王安石 
178,正确答案： B 我的答案：B 
179,窗体底端
180,13 
181,南北朝南北分割，学术异流，当时人认为北学
182,1.0 分 
183,窗体顶端
184,
185,A、 
186,精细 
187,B、 
188,粗朴 
189,C、 
190,简约 
191,D、 
192,清逸 
193,正确答案： B 我的答案：B 
194,窗体底端
195,14 
196,对四杰风格的定性是
197,1.0 分 
198,窗体顶端
199,
200,A、 
201,少年 
202,B、 
203,晚年 
204,C、 
205,壮年 
206,D、 
207,青年 
208,正确答案： D 我的答案：D 
209,窗体底端
210,15 
211,《将进酒》中的“陈王昔时宴平乐”的“陈王”指的是
212,1.0 分 
213,窗体顶端
214,
215,A、 
216,曹丕 
217,B、 
218,曹植 
219,C、 
220,曹操 
221,D、 
222,曹逵 
223,正确答案： B 我的答案：B 
224,窗体底端
225,16 
226,声律包括两个部分，一个是韵律，另一个是（）
227,1.0 分 
228,窗体顶端
229,
230,A、 
231,词律 
232,B、 
233,段律 
234,C、 
235,句律 
236,D、 
237,尾律 
238,正确答案： C 我的答案：C 
239,窗体底端
240,17 
241,开元中诗人，下面哪一个不与其他三个齐名
242,1.0 分 
243,窗体顶端
244,
245,A、 
246,岑参 
247,B、 
