,题目
0,
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,关于国有控股企业，说法不正确的是（）。
5,1.0 分
6,窗体顶端
7,A、
8,国有控股企业是由国家实际控制的企业
9,B、
10,在企业的全部资本中，国家资本股本占较高比例
11,C、
12,包括绝对控股企业和相对控股企业
13,D、
14,不属于国有企业
15,窗体底端
16,我的答案：D
17,2
18,俄国在1893年到1917年间，社会形态是（）。
19,0.0 分
20,窗体顶端
21,A、
22,封建主义
23,B、
24,土地公有制还未解体
25,C、
26,资本主义
27,D、
28,自由社会
29,窗体底端
30,我的答案：A
31,3
32,关于全民所有制，说法不正确的是（）。
33,1.0 分
34,窗体顶端
35,A、
36,是特定历史条件下形成的一种具体理性模式
37,B、
38,是全体人民共同占有生产资料
39,C、
40,它的产权具有可分性
41,D、
42,现阶段其具体实现形式由国家代表全体人民行使全民财产产权
43,窗体底端
44,我的答案：C
45,4
46,一号文件《中央关于农村工作的意见》始于（）年。
47,0.0 分
48,窗体顶端
49,A、
50,1982
51,B、
52,1983
53,C、
54,1984
55,D、
56,1985
57,窗体底端
58,我的答案：A
59,5
60,1876年的企业制度革命，出现了三大问题，不包括。（）
61,1.0 分
62,窗体顶端
63,A、
64,科学管理问题
65,B、
66,服务优劣问题
67,C、
68,法人治理问题
69,D、
70,职业经理人问题
71,窗体底端
72,我的答案：B
73,6
74,公共品由（）提供。
75,1.0 分
76,窗体顶端
77,A、
78,公共部门
79,B、
80,准公共部门
81,C、
82,私人部门
83,D、
84,A和B均是
85,窗体底端
86,我的答案：D
87,7
88,关于人民公社化，说法不正确的是（）。
89,1.0 分
90,窗体顶端
91,A、
92,是一个经济合作组织
93,B、
94,它其实是原来的高级合作社
95,C、
96,具有政治化色彩的组织
97,D、
98,出现在1952年互助组时期
99,窗体底端
100,我的答案：D
101,8
102,一个组织内部人际关系糟糕，其背后的经济学基础是（）。
103,1.0 分
104,窗体顶端
105,A、
106,缺乏专业化分工
107,B、
108,缺乏信号显示机制
109,C、
110,缺乏技术创新
111,D、
112,缺乏对成功与失败的鉴别机制
113,窗体底端
114,我的答案：D
115,9
116,关于资源的优化配置 ，说法不正确的是（）。
117,1.0 分
118,窗体顶端
119,A、
120,是指在市场经济条件下，由市场机制通过自动调节对资源实现的配置
121,B、
122,资源优化配置指的是能够带来高效率的资源使用
123,C、
124,市场经济是实现资源优化配置的有效形式
125,D、
126,在市场经济条件下，用“看得见的手”进行优胜劣汰
127,窗体底端
128,我的答案：D
129,10
130,集权计划体制下面资源配置的理念后来被称为（）。
131,0.0 分
132,窗体顶端
133,A、
134,父爱主义
135,B、
136,亲缘主义
137,C、
138,母爱主义
139,D、
140,A和C
141,窗体底端
142,我的答案：A
143,11
144,“十二年一大饥，六年一小饥”这个说法出自（）。
145,1.0 分
146,窗体顶端
147,A、
148,《战国策》
149,B、
