,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1看中国两千年的历史要看（）。1.0 分
2,A、西安
3,B、上海
4,C、北京
5,D、南京
6,我的答案：A
7,2江南古镇建筑物的特色是（）。1.0 分
8,A、高大雄伟
9,B、土楼居多
10,C、外表破旧
11,D、粉墙黛瓦
12,我的答案：D
13,3上海的优势集中在（）。1.0 分
14,A、海港
15,B、市中心
16,C、郊区
17,D、周边城市
18,我的答案：A
19,4上海四座历史文化名镇不包含（）。1.0 分
20,A、安亭镇
21,B、松江镇
22,C、南翔镇
23,D、嘉定镇
24,我的答案：D
25,5对已破坏的旅游资源应当进行（）。1.0 分
26,A、重建
27,B、修复
28,C、废弃
29,D、选项A和选项B
30,我的答案：D
31,6在上海的发展历史上，原本在（）的商业贸易移到了上海镇后上海获得了飞速的发展。前提条件1.0 分
32,A、青浦镇
33,B、青龙镇
34,C、安亭镇
35,D、南翔镇
36,我的答案：B
37,7以下（）是所有的古镇都具备的要素。1.0 分
38,A、桥梁
39,B、石狮子
40,C、古街
41,D、河流
42,我的答案：C
43,8发展旅游资源的前提条件是（）。1.0 分
44,A、旅游商业配套
45,B、旅游餐饮
46,C、旅游交通
47,D、旅游住宿
48,我的答案：C
49,9从建筑风格来讲，山西的（）建筑比较多。1.0 分
50,A、钟楼
51,B、四合院
52,C、大院
53,D、石塔
54,我的答案：C
55,10市场形成的必要条件是（）。1.0 分
56,A、人流
57,B、物流
58,C、信息流
59,D、以上答案都正确
60,我的答案：D
61,11下列选项中，不属于新市镇作用是（）。1.0 分
62,A、加速城镇化建设
63,B、转移剩余劳动力
64,C、推进城乡一体化
65,D、加强农村文明建设
66,我的答案：A
67,12民俗艺术来自（）。1.0 分
68,A、民间
69,B、贵族阶层
70,C、政治体系
71,D、外来文化
72,我的答案：A
73,13北京的文化产业实质上与上海的（）相同。1.0 分
74,A、民俗产业
75,B、创业产业
76,C、创意产业
77,D、创新产业
78,我的答案：C
79,14以下（）不是民间艺术“花”的分布地。1.0 分
80,A、宁夏
81,B、青海
82,C、陕西
83,D、甘肃
84,我的答案：C
85,15（）以后“松江”成为府名。1.0 分
86,A、元代
87,B、唐代
88,C、宋代
89,D、明代
90,我的答案：A
91,1620世纪20年代后期到30年代初（）一度成为远东闻名的经济中心。1.0 分
92,A、南京
93,B、广州
94,C、上海
95,D、北京
96,我的答案：C
97,17市镇个性化的重要的因素不包括（）。1.0 分
98,A、历史
99,B、民俗
100,C、建筑
101,D、文化
102,我的答案：C
103,18大多数艺术研究者对艺术的最终解释是（）。1.0 分
104,A、人性的美好
105,B、人类的发展
106,C、人类的生殖
107,D、人类的生命
108,我的答案：C
109,19以下（）不属于上海市亟待保护的城市风俗文化资源。1.0 分
110,A、地方风味
111,B、建筑民俗
112,C、乡村风光
113,D、民俗收藏
114,我的答案：C
