,题目
0,1 
1,藏象理论中，把（）称为仓廪之官，负责人体营养的的供给。
2,1.0 分 
3,窗体顶端
4, 
5,A、 
6,脾胃 
7, 
8,B、 
9,膻中 
10, 
11,C、 
12,大肠 
13, 
14,D、 
15,小肠 
16, 
17,窗体底端
18,正确答案： A 我的答案：A 
19,2 
20,其生五，其气（），数犯此者，则邪气伤人。
21,1.0 分 
22,窗体顶端
23, 
24,A、 
25,一 
26, 
27,B、 
28,三 
29, 
30,C、 
31,五 
32, 
33,D、 
34,七 
35, 
36,窗体底端
37,正确答案： B 我的答案：B 
38,3 
39,五行中（）为白色。
40,1.0 分 
41,窗体顶端
42, 
43,A、 
44,金 
45, 
46,B、 
47,水 
48, 
49,C、 
50,木 
51, 
52,D、 
53,火 
54, 
55,窗体底端
56,正确答案： A 我的答案：A 
57,4 
58,（）写的《针灸甲乙经》。
59,1.0 分 
60,窗体顶端
61, 
62,A、 
63,张仲景 
64, 
65,B、 
66,华佗 
67, 
68,C、 
69,皇甫谧 
70, 
71,D、 
72,刘向 
73, 
74,窗体底端
75,正确答案： C 我的答案：C 
76,5 
77,男子的生命表现是以（）为一周期。
78,1.0 分 
79,窗体顶端
80, 
81,A、 
82,6年 
83, 
84,B、 
85,7年 
86, 
87,C、 
88,8年 
89, 
90,D、 
91,9年 
92, 
93,窗体底端
94,正确答案： C 我的答案：C 
95,6 
96,银翘散中淡竹叶的作用是（）。
97,1.0 分 
98,窗体顶端
99, 
100,A、 
101,利尿 
102, 
103,B、 
104,除湿 
105, 
106,C、 
107,发汗 
108, 
109,D、 
110,排毒 
111, 
112,窗体底端
113,正确答案： A 我的答案：A 
114,7 
115,1.0 分 
116,窗体顶端
117, 
118,A、 
119,各从其欲 
120, 
121,B、 
122,心安而不惧 
123, 
124,C、 
125,避之有时 
126, 
127,D、 
128,气从以顺 
129, 
130,窗体底端
131,正确答案： C 我的答案：C 
132,8 
133,拿五脏和五行象类比，（）象木。
134,0.0 分 
135,窗体顶端
136, 
137,A、 
138,心 
139, 
140,B、 
141,肝 
142, 
143,C、 
144,肺 
145, 
146,D、 
147,脾 
148, 
149,窗体底端
150,正确答案： B 我的答案：D 
151,9 
152,阳气代表（）。
153,1.0 分 
154,窗体顶端
155, 
156,A、 
157,人体的功能、热量 
158, 
159,B、 
160,身体强壮 
161, 
162,C、 
163,呼吸之气 
164, 
165,D、 
166,美丽 
167, 
168,窗体底端
169,正确答案： A 我的答案：A 
170,10 
171,“疟”多发生于（）。
172,1.0 分 
173,窗体顶端
174, 
175,A、 
176,春季 
177, 
178,B、 
179,夏季 
180, 
181,C、 
182,秋季 
183, 
184,D、 
185,冬季 
186, 
187,窗体底端
188,正确答案： B 我的答案：B 
189,11 
190,（）是统帅八纲辩证中其他六纲的最基本的依据和基础。
191,1.0 分 
192,窗体顶端
193, 
194,A、 
195,表里 
196, 
197,B、 
198,阴阳 
199, 
200,C、 
201,寒热 
202, 
203,D、 
204,虚实 
205, 
206,窗体底端
207,正确答案： B 我的答案：B 
208,12 
209,第一部冠以黄帝之名的医学著作是（）。
210,1.0 分 
211,窗体顶端
212, 
213,A、 
214,《神农本草经》 
215, 
216,B、 
217,《黄帝内经》 
218, 
219,C、 
220,《伤寒杂病论》 
221, 
222,D、 
223,《八十一难经》 
224, 
225,窗体底端
226,正确答案： B 我的答案：B 
227,13 
228,（）写的《中国医学思想风土·黄帝内经》。
229,1.0 分 
230,窗体顶端
231, 
232,A、 
233,夏目漱石 
234, 
235,B、 
236,村上春树 
237, 
238,C、 
239,山田庆儿 
240, 
241,D、 
242,渡边淳一 
243, 
244,窗体底端
245,正确答案： C 我的答案：C 
246,14 
247,（）时期强调阳气的重要作用。
248,1.0 分 
249,窗体顶端
250, 
251,A、 
