,题目
0, 
1,单选题（题数：50，共 50.0 分）
2,1 皇太极几次进关行动1.0 分 
3,A、3.0
4,B、4.0
5,C、5.0
6,D、6.0
7, 正确答案： C  我的答案：C 
8,2清太祖是谁？0.0 分
9,A、康熙
10,B、乾隆 C、努尔哈赤
11,D、皇太极
12,  正确答案： C  我的答案：A 
13,3明朝的陪都是：
14,A、洛阳
15,B、开封
16,C、南京
17,D、昆明
18,  正确答案： C  我的答案：C
19,4松锦之战中，洪承畴：
20,A、被俘
21,B、逃亡
22,C、投降
23,D、立功
24,  正确答案： A  我的答案：A 
25,5清世宗指谁？
26,A、顺治
27,B、康熙
28,C、雍正
29,D、乾隆
30,  正确答案： C  我的答案：C 
31,6康熙时，最初被册立为太子的是：
32,A、允礽
33,B、承祜
34,C、胤祉
35,D、承瑞
36,  正确答案： A  我的答案：A  
37,7明人称为“形胜之取”、全辽根本的辽西城邑是：
38,A、广宁
39,B、辽阳
40,C、开元
41,D、山海关
42,  正确答案： A  我的答案：A  
43,8努尔哈赤能够成功，其主要的客观原因不包括：
44,A、明朝衰弱
45,B、辽东大乱
46,C、朝鲜投降
47,D、女真内部对手少
48,  正确答案： C  我的答案：C  
49,9林丹汗在谁统治时期被完全征服？
50,A、顺治
51,B、皇太极
52,C、多尔衮
53,D、努尔哈赤
54,  正确答案： B  我的答案：B  
55,10 清军是在哪一年入关的？
56,A、1644年
57,B、1645年
58,C、1646年
59,D、1647年
60,  正确答案： A  我的答案：A  
61,11被明朝称为形胜之取的是
62,A、开原
63,B、沈阳
64,C、广定
65,D、辽阳
66,  正确答案： C  我的答案：C  
67,12清政府收复台湾是在：
68,A、1661年
69,B、1673年
70,C、1683年
71,D、1856年
72,  正确答案： C  我的答案：C  
73,13袁崇焕被凌迟处死是在：
74,A、天启年间
75,B、天命年间
76,C、崇德年间
77,D、崇祯年间
78,  正确答案： D  我的答案：D  
79,14居住在辽东山区北东部的是：
80,A、建州女真
81,B、海西女真
82,C、熟女真
83,D、野人女真
84,  正确答案： A  我的答案：A  
85,15南明政权中存在时间最短的是：
86,A、弘光政权
