,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,标准宇宙模型是指哪种宇宙模型？
4,1.0 分
5,A、
6,地心宇宙说
7,B、
8,宇宙大爆炸
9,C、
10,宇宙永恒论
11,D、
12,宇宙热寂说
13,我的答案：B
14,2
15,二体引力问题应用的定律有：
16,1.0 分
17,A、
18,牛顿第一定律
19,B、
20,万有引力定律
21,C、
22,A和B
23,D、
24,以上均不是
25,我的答案：C
26,3
27,宇宙的临界密度是多少？
28,1.0 分
29,A、
30,5个质子/m³
31,B、
32,50个质子/m³
33,C、
34,500个质子/m³
35,D、
36,5000个质子/m³
37,我的答案：A
38,4
39,太阳的质量占太阳系总质量的百分比是：
40,1.0 分
41,A、
42,0.9786
43,B、
44,0.9886
45,C、
46,0.9986
47,D、
48,0.9988
49,我的答案：C
50,5
51,人类第一次登上月球是哪一年：
52,1.0 分
53,A、
54,1959年
55,B、
56,1969年
57,C、
58,1979年
59,D、
60,1968年
61,我的答案：B
62,6
63,第一个现代空间望远镜是由哪个国家送上太空的：
64,1.0 分
65,A、
66,苏联
67,B、
68,中国
69,C、
70,荷兰
71,D、
72,美国
73,我的答案：D
74,7
75,“爱因斯坦十字”形成的原因是（）
76,1.0 分
77,A、
78,红移
79,B、
80,蓝移
81,C、
82,引力透镜
83,D、
84,以上都不对
85,我的答案：C
86,8
87,太阳诞生到现在已经（）年。
88,1.0 分
89,A、
90,46亿
91,B、
92,50亿
93,C、
94,100亿
95,D、
96,150亿
97,我的答案：B
98,9
99,经典的作用力包括（）
100,1.0 分
101,A、
102,万有引力和强相互作用
103,B、
104,电磁力和万有引力
105,C、
106,电磁力和弱相互作用
107,D、
108,强相互作用和弱相互作用
109,我的答案：B
110,10
111,1964年宇宙背景辐射被发现是多少K？
112,1.0 分
113,A、
114,3K
115,B、
116,4K
117,C、
118,5K
119,D、
120,6K
121,我的答案：A
122,11
123,乌鲁木齐天文台的直径有（）
124,1.0 分
125,A、
126,70米
127,B、
128,50米
129,C、
130,20米
131,D、
132,25米
133,我的答案：D
134,12
135,长周期变星占脉动变星的多少：
136,1.0 分
137,A、
138,0.5
139,B、
140,0.333333333333333
141,C、
142,0.25
143,D、
144,0.2
145,我的答案：B
146,13
147,引力透镜是（）引起的。
148,1.0 分
149,A、
150,质量
151,B、
152,速度
153,C、
154,距离
155,D、
156,电磁场
157,我的答案：A
158,14
159,超新星的质量最小要达到太阳质量的（）倍。
160,1.0 分
161,A、
162,2.0
163,B、
164,3.0
165,C、
166,4.0
167,D、
168,10.0
169,我的答案：C
170,15
171,三体问题有几个积分：
172,1.0 分
173,A、
174,6.0
175,B、
176,12.0
177,C、
178,18.0
179,D、
180,20.0
181,我的答案：C
182,16
183,拉格朗日点共有几个（）。
184,1.0 分
185,A、
186,2.0
187,B、
188,7.0
189,C、
190,5.0
191,D、
192,9.0
193,我的答案：C
194,17
195,二十世纪最重大的科学理论，有几项是物理学基本理论：
196,1.0 分
197,A、
198,1.0
199,B、
200,2.0
201,C、
202,3.0
203,D、
204,4.0
205,我的答案：B
206,18
207,质量为2.3-8.5太阳质量的恒星死亡是发生超爆会形成什么？
208,1.0 分
209,A、
210,白矮星
211,B、
212,中子星
213,C、
214,化为乌有
215,D、
216,黑洞
217,我的答案：C
218,19
219,可以测量距离的技术是（）
220,1.0 分
221,A、
222,光学望远镜
223,B、
224,雷达
225,C、
226,多普勒效应
227,D、
228,以上都不对
229,我的答案：B
230,20
231,中国近代天文学落后的一个重要原因是什么？
232,1.0 分
233,A、
234,人才外流
235,B、
236,闭关锁国
237,C、
238,社会制度落后
239,D、
240,望远镜落后
241,我的答案：D
242,21
243,一半太阳质量的恒星在主序阶段停留的时间：
244,1.0 分
245,A、
246,100亿年
247,B、
248,15000亿年
249,C、
250,2000亿年
251,D、
252,200亿年
253,我的答案：C
254,22
255,10的15次方克的微型黑洞的寿命是：
256,1.0 分
257,A、
258,100万年
259,B、
260,100亿年
261,C、
262,200亿年
263,D、
264,1000万年
265,我的答案：B
266,23
267,定轨道根数最少的观测次数是：
268,1.0 分
269,A、
270,9.0
271,B、
272,6.0
273,C、
274,3.0
