,题目
0,  满分98分
1,一、单选题
2,1
3,对于政策制定来说，（）是最核心的环节。
4,A、
5,政策执行
6,B、
7,议程设置
8,C、
9,政策分析
10,D、
11,政策决策
12,我的答案：D
13,2
14,银行降息以后，对社会产生的影响不包括（）。
15,A、
16,抑制了经济过热
17,B、
18,企业投资愿望加强
19,C、
20,刺激住房交易
21,D、
22,生活消费更加活跃
23,我的答案：A
24,3
25,对“自上而下”研究视角的批评，不包括以下哪点？（）
26,A、
27,忽视了基层官员的目标适应策略
28,B、
29,政策执行与政策制定过程难以简单地加以区分
30,C、
31,强调地方基层执行者的自主政策执行空间
32,D、
33,忽视了政策行动结果的不确定性
34,我的答案：C
35,4
36,在广西青少年生殖健康政策共同体中，政策过程中的权威最高的参与方是（）。
37,A、
38,地方青年代表
39,B、
40,市教育部门
41,C、
42,市项目领导小组
43,D、
44,市计生协
45,我的答案：C
46,5
47,在立宪民主体制下，政府政策的主要行动者不包括（）。
48,A、
49,利益集团
50,B、
51,分管政策的部门
52,C、
53,社会组织
54,D、
55,起草和表决政策的专门委员会
56,我的答案：C
57,6
58,萨科齐当选总统后，他对《首次就业合同法》的态度是（）。
59,A、
60,十分支持
61,B、
62,强烈反对
63,C、
64,有保留地支持
65,D、
66,未明确表态，但将此法案交由总理重新修改
67,我的答案：D
68,7
69,以下哪种补贴形式属于需方补贴？（）
70,A、
71,企业治理污染物所获得的补贴
72,B、
73,石油企业生产石油获得的补贴
74,C、
75,生产企业节能减排所获得的补贴
76,D、
77,农民购买家电获得的补贴
78,我的答案：D
79,8
80,中国医改政策制定的共同体是（）。
81,A、
82,中国医师协会
83,B、
84,中国红十字会
85,C、
86,中共中央医改领导小组
87,D、
88,国家民政部
89,我的答案：C
90,9
91,按照政策的规模和地域范围，可粗略地将政策分为国家政策、地方政策和（）。
92,A、
93,个人政策
94,B、
95,微观政策
96,C、
97,基层社区政策
98,D、
99,集团政策
100,我的答案：C
101,10
102,公共政策的本体和灵魂是（）。
103,A、
104,制度
105,B、
106,领袖
107,C、
108,政府行为
109,D、
110,资源配置模式
111,我的答案：A
112,11
113,在信息不对称的情况下，市场失灵多体现在（）领域。
114,A、
115,尖端科技
116,B、
117,公共关系
118,C、
119,社会服务
120,D、
121,国际市场
122,我的答案：C
123,12
124,提出制度是“约束人的行为规则”的人是（）。
125,A、
126,米尔顿·弗里德曼
127,B、
128,赫伯特·西蒙
129,C、
130,西奥多.舒尔茨
131,D、
132,弗里德里奇·哈耶克
133,我的答案：C
134,13
135,国家层面的政策资金投入，主要依靠（）的支持。
136,A、
137,银行借贷
138,B、
139,中央财政预算
140,C、
141,民间借贷
142,D、
143,地方拨款
144,我的答案：B
145,14
146,促使我国的收容遣送制度废止的危机事件是（）。
147,A、
148,张鼓峰事件
149,B、
150,卢刚事件
151,C、
152,孙志刚事件
153,D、
154,梅根事件
155,我的答案：C
156,15
157,80年代末90年代初，前苏联的经济结构以（）为主。
158,A、
159,第三产业
160,B、
161,轻工业
162,C、
163,农业
164,D、
165,重工业
166,我的答案：D
167,16
168,以下哪种政策工具的强制性程度最低？（）
169,A、
170,信息劝诫
171,B、
172,直接供给
173,C、
174,规制
175,D、
176,税收
177,我的答案：A
178,17
179,以下属于外部不经济行为的是（）。
180,A、
181,工厂排污
182,B、
183,修筑公路
184,C、
185,清扫门外积雪
186,D、
187,设置路灯
188,我的答案：A
189,18
190,官方的政策制定者不包括以下哪个机构？（）
191,A、
192,立法机关
193,B、
194,司法机关
195,C、
196,社会组织
197,D、
198,执政党
199,我的答案：C
200,19
201,能反映组织体制中的结构性特征的是以下哪种政府权力分割方式？（）
202,A、
203,水平分割
204,B、
205,树状分割
206,C、
207,纵向分割
208,D、
209,平均分割
210,我的答案：C
211,20
212,将两个不同地方的政策项目核心要素综合起来推行的政策学习机制属于以下哪种类型？（）
213,A、
214,拷贝
215,B、
216,鼓动
217,C、
218,改良
219,D、
220,杂交
221,我的答案：D
222,21
223,提出“首次就业合同法”法案的人是（）。
224,A、
225,利昂内尔·若斯潘
226,B、
227,戴维·卡梅伦
228,C、
