,题目
0,
1, 
2,一、 单选题（题数：30，共 60.0 分）
3,单选题开始
4,1
5,关于语言信息和非语言信息，下列说法错误的是（）。
6,2.0 分
7,A、 需要同时关注语言信息和非语言信息 
8,B、 语言信息和非语言信息可能是不一致的 
9,C、 非语言信息一般比语言信息更加真实 
10,D、 离大脑越近的器官越能够表达出真实的非语言信息 
11,
12,我的答案：D
13,单选题结束 单选题开始
14,2
15,研究表明人们的表情交流至少可以表达高兴、悲伤等（）种情感。
16,2.0 分
17,A、 六 
18,B、 七 
19,C、 八 
20,D、 九 
21,
22,我的答案：C
23,单选题结束 单选题开始
24,3
25,通过（）可以提高沟通技巧。
26,2.0 分
27,A、 表演和学习 
28,B、 演讲和训练 
29,C、 训练和实践 
30,D、 学习和实践 
31,
32,我的答案：D
33,单选题结束 单选题开始
34,4
35,在沟通漏斗中提到，一个人虽然心里想的是100%，但用语言说出来的只有（）。
36,2.0 分
37,A、 50% 
38,B、 60% 
39,C、 70% 
40,D、 80% 
41,
42,我的答案：D
43,单选题结束 单选题开始
44,5
45,通过眼神的接触，可以（）。
46,2.0 分
47,A、 观察反馈 
48,B、 吸引注意 
49,C、 调控讲话 
50,D、 以上都对 
51,
52,我的答案：D
53,单选题结束 单选题开始
54,6
55,《潜在的劝说者》中提出频繁应用于产品销售中的迫切需要有（）种。
56,2.0 分
57,A、 五 
58,B、 六 
59,C、 七 
60,D、 八 
61,
62,我的答案：D
63,单选题结束 单选题开始
64,7
65,听别人说话，重点不在理解，而在专门挑错反击的是（）。
66,2.0 分
67,A、 移情倾听 
68,B、 客观倾听 
69,C、 冒犯性倾听 
70,D、 期待性倾听 
71,
72,我的答案：C
73,单选题结束 单选题开始
74,8
75,为了在倾听中理解说话人的真实意思，可以（）。
76,2.0 分
77,A、 有选择地倾听 
78,B、 提问来印证自己的理解 
79,C、 发表个人见解 
80,D、 不断称赞对方 
81,
82,我的答案：B
83,单选题结束 单选题开始
84,9
85,谈话可分为五个层次，其中第三层次是指（）。
86,2.0 分
87,A、 事实性陈述 
88,B、 评价性陈述 
89,C、 内在性陈述 
90,D、 顶峰性陈述 
91,
92,我的答案：B
93,单选题结束 单选题开始
94,10
95,沟通能力在现代社会被称为宝贵的（）。
96,2.0 分
97,A、 高学历 
98,B、 判断力 
99,C、 软实力 
100,D、 控制力 
101,
102,我的答案：C
103,单选题结束 单选题开始
104,11
105,为了尊重客观事实，明辨是非，应当采用的方式是（）。
106,2.0 分
107,A、 移情倾听 
108,B、 客观倾听 
109,C、 冒犯性倾听 
110,D、 期待性倾听 
111,
112,我的答案：B
113,单选题结束 单选题开始
114,12
115,关于听和倾听的区别，下列说法正确的是（）。
116,2.0 分
117,A、 听是主动的接受 
118,B、 听需要更强的专注力 
119,C、 倾听是心理上的投入 
120,D、 倾听是一个生理过程 
121,
122,我的答案：C
