,题目
0,1
1,与文化的关系特别密切的地理环境要素不包括（）。
2,1.0 分
3,窗体顶端
4,A、
5,地形
6, 
7,B、
8,地质
9, 
10,C、
11,气候
12, 
13,D、
14,资源
15, 
16,窗体底端
17,正确答案： B 我的答案：B
18,2
19,西方国家的民主政治其实是（）。
20,1.0 分
21,窗体顶端
22,A、
23,人民政治
24, 
25,B、
26,精英政治
27, 
28,C、
29,帮主政治
30, 
31,D、
32,阶级政治
33, 
34,窗体底端
35,正确答案： C 我的答案：C
36,3
37,在（）时期，国人对于国粹和西化同时持有排斥态度。
38,1.0 分
39,窗体顶端
40,A、
41,五四时期
42, 
43,B、
44,改革开放时期
45, 
46,C、
47,新生活运动时期
48, 
49,D、
50,文革时期
51, 
52,窗体底端
53,正确答案： D 我的答案：D
54,4
55,印欧语系的语言不可能引导文化向（）发展。
56,1.0 分
57,窗体顶端
58,A、
59,逻辑型
60, 
61,B、
62,抽象型
63, 
64,C、
65,理智型
66, 
67,D、
68,理论型
69, 
70,窗体底端
71,正确答案： D 我的答案：D
72,5
73,下列人物中，对于汉字持肯定态度的是（）。
74,1.0 分
75,窗体顶端
76,A、
77,郝尔德
78, 
79,B、
80,鲁迅
81, 
82,C、
83,钱玄同
84, 
85,D、
86,德里达
87, 
88,窗体底端
89,正确答案： D 我的答案：D
90,6
91,西方哲学倡导（）。
92,1.0 分
93,窗体顶端
94,A、
95,气一元论
96, 
97,B、
98,精神论
99, 
100,C、
101,原子论
102, 
103,D、
104,客观论
105, 
106,窗体底端
107,正确答案： C 我的答案：C
108,7
109,中国产生了专制皇权，从某种程度上来说是为了制约传统中国太强的（）。
110,1.0 分
111,窗体顶端
112,A、
113,自由自治意识
114, 
115,B、
116,人生哲学思考
117, 
118,C、
119,平等民主心态
120, 
121,D、
122,官本位思想
123, 
124,窗体底端
125,正确答案： C 我的答案：C
126,8
127,1.0 分
128,窗体顶端
129,A、
130,描写局限性
131, 
132,B、
133,描写及时性
134, 
135,C、
136,描写主观性
137, 
138,D、
139,描写无止境
140, 
141,窗体底端
142,正确答案： D 我的答案：D
143,9
144,关于催眠术，说法正确的是（）。
145,1.0 分
146,窗体顶端
147,A、
148,实际上是并不存在的
149, 
150,B、
151,被控制的人做出行为时是可以感觉到被控制的
152, 
153,C、
154,催眠性的语句只有被充分相信了才能起到相应的作用
155, 
156,D、
157,任何人都有自由使用催眠性语言的权力
158, 
159,窗体底端
160,正确答案： C 我的答案：C
161,10
162,中国古代对于官员着装、行为的规定主要是为了（）。
163,0.0 分
164,窗体顶端
165,A、
166,彰显朝廷气度
167, 
168,B、
169,区分官员品级
170, 
171,C、
172,做出表率作用
173, 
174,D、
175,约束官员行为
176, 
177,窗体底端
178,正确答案： C 我的答案：B
179,11
180,影响印欧语系语言押韵的音节是（）。
181,0.0 分
182,窗体顶端
183,A、
184,单音节
185, 
186,B、
187,开音节
188, 
189,C、
190,多音节
191, 
192,D、
193,闭音节
194, 
195,窗体底端
196,正确答案： C 我的答案：B
197,12
198,（）认为，劳心者治人，劳力者治于人。
199,1.0 分
200,窗体顶端
201,A、
202,亚里士多德
203, 
204,B、
205,苏格拉底
206, 
207,C、
208,柏拉图
209, 
210,D、
211,安提西尼
212, 
213,窗体底端
214,正确答案： A 我的答案：A
215,13
216,黑格尔提出的唯心主义提倡的是（）。
217,0.0 分
218,窗体顶端
219,A、
220,思维
221, 
222,B、
223,原型
224, 
225,C、
226,理论
227, 
228,D、
229,精神
230, 
231,窗体底端
232,正确答案： D 我的答案：B
233,14
234,佛教认为，唯心所现的（）。
235,1.0 分
236,窗体顶端
237,A、
238,有生有灭
239, 
240,B、
241,有生无灭
242, 
243,C、
244,无生有灭
245, 
246,D、
247,无生无灭
248, 
249,窗体底端
250,正确答案： D 我的答案：D
251,15
252,中国古代政治社会三大制约机制不包括（）。
253,1.0 分
254,窗体顶端
255,A、
256,暴力制约机制
257, 
258,B、
259,法律制约机制
260, 
261,C、
262,血缘制约机制
263, 
264,D、
265,道德制约机制
266, 
267,窗体底端
268,正确答案： C 我的答案：C
269,16
270,针对于西方来说，分析地形对文化的影响时应该选取的区域是（）的产生区域。
271,1.0 分
272,窗体顶端
273,A、
274,古希腊罗马文化
275, 
276,B、
277,日耳曼文化
278, 
279,C、
280,希伯来文化
281, 
282,D、
283,基督教文化
284, 
285,窗体底端
286,正确答案： A 我的答案：A
287,17
288,合乎当代的自由竞争模式的真正的民主应该是用（）的方式遴选社会的绝大多数官员。
289,1.0 分
290,窗体顶端
291,A、
292,提携
293, 
294,B、
295,考试
296, 
297,C、
298,竞选
299, 
300,D、
301,推举
302, 
303,窗体底端
304,正确答案： B 我的答案：B
305,18
306,释迦摩尼提出的五蕴是（）。
307,1.0 分
308,窗体顶端
309,A、
310,色、受、想、行、智
311, 
312,B、
313,色、受、智、行、识
314, 
315,C、
