,题目
0,
1, 
2,一、 单选题（题数：50，共 5）
3, 
4, 
5,1中华文化中的“爱”的根源来源是（）之中。
6,A、
7,忠
8,B、
9,孝
10,C、
11,仁
12,D、
13,义
14,正确答案： B 
15,2
16,关于西方民族特性的特点，说法不正确的是：
17, 
18,A、
19,流动性
20,B、
21,家族性
22,C、
23,冒险性
24,D、
25,好战性
26,正确答案： B 
27,3西方文化中倾向将象形文字符号化是因为符号化后（）。
28,A、
29,视觉上更为美观
30,B、
31,交流上便于沟通
32,C、
33,政治上统治需要
34,D、
35,书写上节约时间
36,正确答案： D 
37,4人从动物中分化出来是因为有了（）。
38,A、
39,伦理
40,B、
41,智慧
42,C、
43,力量
44,D、
45,合作
46,正确答案： A 
47,5中国古代的乡校除了办学以外，另外一个作用是（）。
48,A、
49,行医
50,B、
51,论政
52,C、
53,征兵
54,D、
55,行商
56,正确答案： B 
57,6如果一个汉字没有声母，在反切中声母用（）代替。
58,A、
59,无
60,B、
61,课
62,C、
63,乌
64,D、
65,略
66,正确答案： C 
67,7由于特定的历史地理资源，哪种文化形式成了中华民族必然的选择：
68,A、
69,农耕文化
70,B、
71,工业文化
72,C、
73,商业文化
74,D、
75,产业文化
76,正确答案： A 
77,8相较于中国哲学，西方哲学更强调（）的研究。
78,A、
79,客观世界
80,B、
81,人生哲学
82,C、
83,主观能动性
84,D、
85,天人合一
86,正确答案： A 
87,9相较于中国的唯心主义，柏拉图的唯心主义强调的是（）。
88,A、
89,思维
90,B、
91,原型
92,C、
93,理论
94,D、
95,精神
96,正确答案： B 
97,10释迦摩尼提出的五蕴是（）。
98,A、
99,色、受、想、行、智
100,B、
101,色、受、智、行、识
102,C、
103,色、受、想、行、识
104,D、
105,色、智、想、行、识
106,正确答案： C 
107,11解释文化的三把主要钥匙不包括：
108,A、
109,环境
110,B、
111,语言文字
112,C、
113,社会
114,D、
115,人口
116,正确答案： D 
117,12下列哪一项是关于中原文化取向的：
118,A、
119,大帮择主
120,B、
121,强化王权
122,C、
123,帮派主义
124,D、
125,契约分权
126,正确答案： B 
127,13日本“和魂汉才”中居于核心的是（）。
128,A、
129,民族血统
130,B、
131,地域特征
132,C、
133,民族精神
134,D、
135,国家领土
136,正确答案： C 
137,14受到语法的影响，印欧语系语言具有（）的特点。
138,A、
139,活用功能，词达理清
140,B、
141,直观综合，一语中的
142,C、
143,定位功能，比类条分
144,D、
145,用词严谨，使用灵活
146,正确答案： C 
147,15世界各地的文化从大体上看都是（）。
148,A、
149,不断循环的
150,B、
151,横向发展的
152,C、
153,纵向发展的
154,D、
155,相互融合的
156,正确答案： A 
157,16关于托克维尔的民主思想说法错误的是（）。
158,A、
159,三权分立也不能完全维护社会正义
160,B、
161,认为民主制度的假设前提是多数派总是对的
162,C、
163,少数派在民主中无法保障自己的自由
164,D、
165,民主制度有利于遏制中央集权
