,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,对于爱国主义说法有误的是下列哪一项？（）
3,1.0 分
4,窗体顶端
5,A、
6,支持弱势群体，正义行为
7,B、
8,支持有利于国民政策的决定
9,C、
10,接受别国对别国的任何批评
11,D、
12,对历史的辉煌和成保持赞颂的态度
13,窗体底端
14,我的答案：C
15,2
16,政府诚信的要义问题上，以下说法不正确的是（）。
17,1.0 分
18,窗体顶端
19,A、
20,与法制、服务、责任政府紧密相连
21,B、
22,从内在看，诚信意味着政府对公众的善良之动机
23,C、
24,从外在看，诚信意味着政府对公众的行动可以选择性忠诚
25,D、
26,政府的行政行为不可以随意改变和撤销
27,窗体底端
28,我的答案：C
29,3
30,以农耕为主的中国古代，（）和（）的矛盾是主要的内部矛盾。
31,1.0 分
32,窗体顶端
33,A、
34,生活资料、生产资料
35,B、
36,中央、地方
37,C、
38,土地、人口
39,D、
40,农民、皇权
41,窗体底端
42,我的答案：C
43,4
44,科举制度是（）建立的。
45,1.0 分
46,窗体顶端
47,A、
48,秦朝
49,B、
50,汉朝
51,C、
52,隋朝
53,D、
54,唐朝
55,窗体底端
56,我的答案：C
57,5
58,决定各民族之间差异的是（）。
59,1.0 分
60,窗体顶端
61,A、
62,风俗习惯
63,B、
64,人种特征
65,C、
66,国籍
67,D、
68,民族精神
69,窗体底端
70,我的答案：D
71,6
72,下列哪一项不是文化的三个层面？（）
73,1.0 分
74,窗体顶端
75,A、
76,物质文化
77,B、
78,精神文化
79,C、
80,制度文化
81,D、
82,主流文化
83,窗体底端
84,我的答案：D
85,7
86,民族认同有多种层面，其中不包括（）。
87,1.0 分
88,窗体顶端
89,A、
90,历史
91,B、
92,语言
93,C、
94,宗教
95,D、
96,文字
97,窗体底端
98,我的答案：D
99,8
100,一个民族独立于世界民族之林的内在身份标识是（）。
101,1.0 分
102,窗体顶端
103,A、
104,民族情感
105,B、
106,民族意识
107,C、
108,民族性格
109,D、
110,民族心理
111,窗体底端
112,我的答案：C
113,9
114,下面哪一项是《赵氏孤儿》的主题：（）
115,1.0 分
116,窗体顶端
117,A、
118,爱情
119,B、
120,复仇
121,C、
122,报恩
123,D、
