,题目
0,
1, 
2, 
3, 
4,一、 单选题（题数：50，共 50.0 分）
5, 
6,1
7, 
8,癫痫的典型发作可以分为下面哪几个临床阶段？（）
9, 
10, A、
11, 
12,先兆期--阵挛期--强直期--恢复期
13, 
14, B、
15, 
16,先兆期--强直期--阵挛期--恢复期
17, 
18, C、
19,生命安全与救援答案
20, 
21,先兆期--强直期--恢复期--阵挛期
22, 
23, D、
24, 
25,强直期--先兆期--恢复期--阵挛期
26, 
27,我的答案：B
28, 
29,2
30, 
31,下面关于内出血的判断方法描述不正确的一项是？（）
32, 
33, A、
34, 
35,吐血、咳血
36, 
37, B、
38, 
39,便血、尿血
40, 
41,
42, 
43,食量增减 C、
44, 
45, D、
46, 
47,肤色及个人感受
48, 
49,我的答案：C
50, 
51,3
52, 
53,下面关于三角巾包扎法描述不正确的一项是（）。
54, 
55, A、
56, 
57,依据伤口不同部位，采用不同的三角巾包扎方法
58, 
59, B、
60, 
61,头顶部伤口可采用帽式包扎法
62, 
63, C、
64, 
65,头顶部伤口可采用面具式包扎法
66, 
67, D、
68, 
69,三角巾可用于手、足部包扎
70, 
71,我的答案：C
72, 
73,4
74, 
75,下面哪一个不是小手挂加宽带的固定要领？（）
76, 
77, A、
78, 
79,保护好骨折部分
80, 
81, B、
82, 
83,敷料上撒满生理盐水
84, 
85, C、
86, 
87,在平结的下面放两个棉垫或毛巾
88, 
89, D、
90, 
91,用宽带将肢体和身体绑紧
92, 
93,我的答案：B
94, 
95,5
96, 
97,下面哪一个是救助突然摔倒的患者的第一步？（）
98, 
99, A、
100, 
101,确认现场是否安全
102, 
103,
104, 
105,拨打120 B、
106, 
107, C、
108, 
109,确认其身份
110, 
111,
112, 
113,心肺复苏 D、
114, 
115,我的答案：A
116, 
117,6
118, 
119,属于西方哲学观点的为：
120, 
121,
122, 
123,天人合一 A、
124, 
125,
126, 
127,心物一体 B、
128, 
129,
130, 
131,阴阳互根 C、
132, 
133,
134, 
135,宾主分明 D、
136, 
137,我的答案：D
138, 
139,7
140, 
141,为患者打开气道的两种方式分别是（）。
142, 
143, A、
144, 
145,压颚抬颌法；上颚突出法
146, 
147, B、
148, 
149,抬颚抬颌法；上颚突出法
150, 
151, C、
152, 
153,压颚抬颌法；下颚突出法
154, 
155, D、
156, 
157,抬颚抬颌法；下颚突出法
158, 
159,我的答案：C
160, 
161,8
162, 
163,现场急救的第一步是下面哪一个？（）
164, 
165,
166, 
167,心肺复苏 A、
168, 
169,
170, 
171,确认身份 B、
172, 
173, C、
174, 
175,现场评估，确保安全
176, 
177, D、
178, 
179,判断伤病程度，紧急呼叫
180, 
181,我的答案：C
182, 
183,9
184, 
185,杜蕾斯官方微博粉丝量，从零到二十七万仅仅用了：
186, 
187,
188, 
189,9天 A、
190, 
191,
192, 
193,90天 B、
194, 
195,
196, 
197,9个月 C、
