,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,按照时间进程划分民族，划分的结果不包括（）。
4,  
5,窗体顶端
6,A、古代民族
7,B、近代民族
8,C、现代民族
9,D、原始先民
10,窗体底端
11,我的答案：D
12,2
13,佛教四圣谛不包括（）。
14,  
15,窗体顶端
16,A、苦
17,B、集
18,C、果
19,D、灭
20,窗体底端
21,我的答案：C
22,3
23,下列选项中，不属于民间文化的是（）。
24,  
25,窗体顶端
26,A、《梁山伯与祝英台》
27,B、《白蛇传》
28,C、《牛郎织女》
29,D、《史记》
30,窗体底端
31,我的答案：D
32,4
33,下列作品不属于文化大革命时代的是（）。
34,  
35,窗体顶端
36,A、收租院群雕
37,B、大豆过江
38,C、毛主席去安源
39,D、八个样板戏
40,窗体底端
41,我的答案：B
42,5
43,在文化积累的过程中，（）的增加代表着文化发展的新阶段。
44,  
45,窗体顶端
46,A、同质文化
47,B、异质文化
48,C、外来文化
49,D、传统文化
50,窗体底端
51,我的答案：B
52,6
53,具有排他性特征的宗教不包括（）。
54,  
55,窗体顶端
56,A、天主教
57,B、伊斯兰教
58,C、东正教
59,D、佛教
60,窗体底端
61,我的答案：D
62,7
63,下列不属于徽州的地域文化景观的是（）。
64,  
65,窗体顶端
66,A、贞孝牌坊
67,B、徽州古道
68,C、西递宏村
69,D、亭台楼阁
70,窗体底端
71,我的答案：D
72,8
73,汉族与少数民族的差异有（）。
74,  
75,窗体顶端
76,A、人种的差异
77,B、语言的差异
78,C、宗教信仰的差异
79,D、以上都有
80,窗体底端
81,我的答案：D
82,9
83,中国的五十六个民族之中，最晚出现的民族是（）。
84,  
85,窗体顶端
86,A、傣族
87,B、独龙族
88,C、基诺族
89,D、侗族
90,窗体底端
91,我的答案：C
92,10
93,诺曼底公爵率领军队占领大不列颠岛之后带来的语种是（）。
94,  
95,窗体顶端
96,A、英语
97,B、德语
98,C、法语
99,D、意大利语
100,窗体底端
101,我的答案：C
102,11
103,下列选项中，不属于天主教神职人员的是（）。
104,  
105,窗体顶端
106,A、教皇
107,B、主教
108,C、神父
109,D、教父
110,窗体底端
111,我的答案：D
112,12
113,关于民间文化的特点，下列选项错误的是（）。
114,  
115,窗体顶端
116,A、自发性
117,B、传承性
118,C、政治性
119,D、俗化和程式化
120,窗体底端
121,我的答案：C
122,13
123,肚皮舞可以视为（）的代表。
124,  
125,窗体顶端
126,A、古罗马文化
127,B、古希腊文化
128,C、阿拉伯文化
129,D、俄罗斯文化
130,窗体底端
131,我的答案：C
132,14
133,源于希腊人的“文化”所代表的内容是（）。
134,  
135,窗体顶端
136,A、耕作、教养、风俗
137,B、教育、教养、风俗
138,C、耕作、教育、教养
139,D、耕作、风俗、民族
140,窗体底端
141,我的答案：C
142,15
143,麦客指的是特别人收割麦子的人，麦客是（）的地域文化人群。
144,  
145,窗体顶端
146,A、浙江
147,B、云南
148,C、陕西
149,D、湖南
150,窗体底端
151,我的答案：C
152,16
153,伊斯兰教的经典是（）。
154,  
155,窗体顶端
156,A、《盂兰盆经》
157,B、《般若经》
158,C、《古兰经》
159,D、《阿含经》
160,窗体底端
161,我的答案：C
162,17
163,（）指的是在营造文化景观的过程中，人作为文化之中的一个核心与周围环境之间的一种关系。
164,  
165,窗体顶端
166,A、文化心理
167,B、文化景观
168,C、文化生态
169,D、文化地理
170,窗体底端
171,我的答案：C
172,18
173,复活节的彩蛋象征的是（）。
174,  
175,窗体顶端
176,A、牺牲的祭品
177,B、祈祷大丰收
178,C、祈祷风调雨顺
179,D、生命的诞生
180,窗体底端
181,我的答案：D
182,19
183,犹太教的圣地是（）。
184,  
185,窗体顶端
186,A、麦加
187,B、麦地那
188,C、耶路撒冷
189,D、卡萨布兰卡
190,窗体底端
191,我的答案：C
192,20
193,十五到十六世纪，随着地理大发现，地理学以（）为核心。
194,  
195,窗体顶端
196,A、丝绸之路
197,B、海洋航行
198,C、宇宙探索
199,D、物种发现
200,窗体底端
201,我的答案：B
202,21
203,改地名的原则之一是言不雅驯则改雅，下列不能反映这一原则的选项是（）。
204,  
205,窗体顶端
206,A、“打劫巷”改为“大吉巷”
