,题目
0,蒙元帝国史期末考试 新
1, 
2, 
3,一、 单选题（题数：50，共 50.0 分） 
4,1 
5,元朝官场上的文字不包括
6,1.0 分 
7,窗体顶端
8, 
9,A、 
10,波斯文 
11,B、 
12,蒙古语 
13,C、 
14,汉语 
15,D、 
16,维吾尔语 
17,窗体底端
18,正确答案： D 我的答案：D 
19,2 
20,与“白色”对应的蒙古语是：
21,1.0 分 
22,窗体顶端
23, 
24,A、 
25,哈剌 
26,B、 
27,察汉 
28,C、 
29,希拉 
30,D、 
31,乌兰 
32,窗体底端
33,正确答案： B 我的答案：B 
34,3 
35,金莲川幕府侍臣中不属于理学家群的是：
36,1.0 分 
37,窗体顶端
38, 
39,A、 
40,许衡 
41,B、 
42,窦默 
43,C、 
44,姚枢 
45,D、 
46,郭守敬 
47,窗体底端
48,正确答案： D 我的答案：D 
49,4 
50,巡行两都是谁开创的？
51,1.0 分 
52,窗体顶端
53, 
54,A、 
55,成吉思汗 
56,B、 
57,贵由 
58,C、 
59,窝阔台 
60,D、 
61,忽必烈 
62,窗体底端
63,正确答案： D 我的答案：D 
64,5 
65,大安阁位于：
66,1.0 分 
67,窗体顶端
68, 
69,A、 
70,开平 
71,B、 
72,大都 
73,C、 
74,京兆 
75,D、 
76,燕京 
77,窗体底端
78,正确答案： A 我的答案：A 
79,6 
80,中止远征日本、安南的对外战争是（）所做。
81,1.0 分 
82,窗体顶端
83, 
84,A、 
85,元成宗 
86,B、 
87,元英宗 
88,C、 
89,元文宗 
90,D、 
91,元仁宗 
92,窗体底端
93,正确答案： A 我的答案：A 
94,7 
95,谁禁止抹杀羊
96,1.0 分 
97,窗体顶端
98, 
99,A、 
100,阿里不哥 
101,B、 
102,成吉思汗 
103,C、 
104,努尔哈赤 
105,D、 
106,忽必烈 
107,窗体底端
108,正确答案： D 我的答案：D 
109,8 
110,罗马教廷派驻中国元朝的第一任大主教是：
111,1.0 分 
112,窗体顶端
113, 
114,A、 
115,马可·波罗 
116,B、 
117,孟特·戈维诺 
118,C、 
119,马礼逊 
120,D、 
121,利玛窦 
122,窗体底端
123,正确答案： B 我的答案：B 
124,9 
125,崇福司是元朝在哪一年设立的？
126,1.0 分 
127,窗体顶端
128, 
129,A、 
130,至元十三年 
131,B、 
132,至元十八年 
133,C、 
134,至元二十二年 
135,D、 
136,至元二十六年 
137,窗体底端
138,正确答案： D 我的答案：D 
139,10 
140,官营手工业在元朝分为几个系统
141,1.0 分 
142,窗体顶端
143, 
144,A、 
145,1.0 
146,B、 
147,2.0 
148,C、 
149,3.0 
150,D、 
151,4.0 
152,窗体底端
153,正确答案： D 我的答案：D 
154,11 
155,谁杀死了桑哥
156,1.0 分 
157,窗体顶端
158, 
159,A、 
160,成吉思汗 
161,B、 
162,贵由 
163,C、 
164,窝阔台 
165,D、 
166,忽必烈 
167,窗体底端
168,正确答案： D 我的答案：D 
169,12 
170,南宋的海外贸易中心是：
171,1.0 分 
172,窗体顶端
173, 
174,A、 
175,临安 
176,B、 
177,广州 
178,C、 
179,松江 
180,D、 
181,泉州 
182,窗体底端
183,正确答案： D 我的答案：D 
184,13 
185,忽必烈时期宗教发展错误的是
186,1.0 分 
187,窗体顶端
188, 
189,A、 
190,藏传佛教有所发展 
191,B、 
192,伊斯兰教发展较好 
193,C、 
194,排斥其他教派 
195,D、 
196,有天主教徒 
197,窗体底端
198,正确答案： C 我的答案：C 
199,14 
200,札马鲁丁是哪个民族的
201,1.0 分 
202,窗体顶端
203, 
204,A、 
205,藏 
206,B、 
207,蒙 
208,C、 
209,回 
210,D、 
211,汉族 
212,窗体底端
213,正确答案： C 我的答案：C 
214,15 
215,忽必烈重视农业的措施包括
216,1.0 分 
217,窗体顶端
218, 
219,A、 
220,设司农司 
221,B、 
