,题目
0,  成绩： 100.0分 
1, 
2,一、 单选题（题数：50，共 50.0 分） 
3,1 
4,下列关于猪链球菌的说法中，不正确的是（）。
5,1.0 分 
6,
7,A、 
8,它是一个条件致病菌 
9,B、 
10,侵染猪时它要求高温高湿的环境 
11,C、 
12,它只在猪之间传染，不会感染人 
13,D、 
14,猪群对于猪链球菌的带菌率高，但不一定发病 
15,我的答案：C 
16,2 
17,每个国家所面临的食品安全的问题或关注点不一样，主要是因为（）。
18,1.0 分 
19,
20,A、 
21,食品安全法律和饮食组成不一样 
22,B、 
23,饮食组成、国家经济水平不一样 
24,C、 
25,食品安全法律和国家经济水平不一样 
26,D、 
27,环境污染情况和食品安全法律 
28,我的答案：B 
29,3 
30,腌菜时，一般在（）内出现亚硝峰，我们应避开这个亚硝酸盐高峰期再吃。
31,1.0 分 
32,
33,A、 
34,1至3天 
35,B、 
36,2至5天 
37,C、 
38,3至7天 
39,D、 
40,5至9天 
41,我的答案：C 
42,4 
43,风险管理的内容不包括（）。
44,1.0 分 
45,
46,A、 
47,风险评价 
48,B、 
49,风险管理选择评估 
50,C、 
51,进行风险测试 
52,D、 
53,监控和审查 
54,我的答案：C 
55,5 
56,微生物（）容易感染鱼、虾、蟹、贝、藻等水产品类的食品原料。
57,1.0 分 
58,
59,A、 
60,肉毒梭状芽孢杆菌 
61,B、 
62,椰毒假单胞菌酵米面亚种 
63,C、 
64,李斯特氏菌 
65,D、 
66,副溶血性弧菌 
67,我的答案：D 
68,6 
69,杂环胺进入动物体内后，会与（）发生加和作用，从而引起突变性。
70,1.0 分 
71,
72,A、 
73,血红蛋白 
74,B、 
75,白细胞 
76,C、 
77,DNA 
78,D、 
79,神经末梢 
80,我的答案：C 
81,7 
82,亚硝酸盐通过食品的人体的危害，一个是产生强致癌化合物亚硝胺，另一个是抢夺人体内的（）。
83,1.0 分 
84,
85,A、 
86,维生素C 
87,B、 
88,白细胞 
89,C、 
90,高氧血红蛋白 
91,D、 
92,血小板 
93,我的答案：C 
94,8 
95,下列关于人体各器官吸收毒物的说法中，不正确的是（）。
96,1.0 分 
97,
98,A、 
99,小肠里面容易吸收脂溶性毒物 
100,B、 
101,胃部可以吸收弱酸、碱性毒物 
102,C、 
103,小肠吸收毒物采取的是主动吸收 
104,D、 
105,口腔黏膜吸收的毒物直接进入血液循环系统 
106,我的答案：C 
107,9 
108,我国的膳食评估结果认为，将酱油中三氯丙醇的最高允许限量值设置为是（）毫克每千克对保证人民健康是适宜的。
109,1.0 分 
110,
111,A、 
112,.1 
113,B、 
114,1 
115,C、 
116,10 
117,D、 
118,100 
119,我的答案：B 
120,10 
121,风险评估的四个阶段依次是（）。
122,1.0 分 
123,
124,A、 
125,危害识别、危害描述、暴露评估、风险描述 
126,B、 
127,危害识别、危害描述、风险描述、暴露评估 
128,C、 
129,危害识别、暴露评估、危害描述、风险描述 
130,D、 
131,危害识别、暴露评估、风险描述、危害描述 
132,我的答案：A 
133,11 
134,伏马菌素污染最严重的是（）。
135,1.0 分 
136,
137,A、 
138,谷物类食品 
139,B、 
140,水产食品 
141,C、 
142,奶制品 
143,D、 
144,肉制品 
145,我的答案：A 
146,12 
147,下列食物中，对重金属的吸收累积由低到高一次是（）。
148,1.0 分 
149,
150,A、 
151,水果、小麦玉米、蔬菜 
152,B、 
153,小麦玉米、蔬菜、水果 
154,C、 
155,蔬菜、水果、小麦玉米 
156,D、 
157,蔬菜、小麦玉米、水果 
158,我的答案：A 
159,13 
160,下列选项中，属于环境内分泌干扰物其他名称的是（）。
161,1.0 分 
162,
163,A、 
164,环境刺激素 
165,B、 
166,内分泌活性化合物 
167,C、 
168,内分泌干扰化合物 
169,D、 
170,以上都对 
171,我的答案：D 
172,14 
173,过敏型细菌之所以造成人体过敏是因为细菌分解生成了（）。
174,1.0 分 
175,
176,A、 
177,白三烯 
178,B、 
179,血管活性肽类 
180,C、 
181,腺苷 
182,D、 
183,组胺 
184,我的答案：D 
185,15 
186,我国最新的《食品安全法》中规定，（）是食品安全第一责任人。
187,1.0 分 
188,
189,A、 
190,地方政府 
191,B、 
192,企业 
193,C、 
194,农民 
195,D、 
196,消费者 
197,我的答案：B 
198,16 
199,1996年， 日本的O157大肠杆菌污染事件出现的原因是（）。
200,1.0 分 
201,
202,A、 
203,恶意投毒 
204,B、 
205,没有保持冷链的完整性 
206,C、 
207,农药残留 
208,D、 
209,食物没有高温消毒 
210,我的答案：B 
211,17 
212,亚硝酸盐作为食品添加剂，具有（）的作用。
213,1.0 分 
214,
215,A、 
216,增加食物营养度、抑制微生物生长繁殖 
217,B、 
218,方便食品加工、增加食物营养度 
219,C、 
220,使食物颜色漂亮，抑制微生物的生长繁殖 
221,D、 
222,方便食品加工、使食物颜色漂亮 
223,我的答案：C 
224,18 
225,油脂在加工过程中会产生（）。
226,1.0 分 
227,
228,A、 
229,二恶英 
230,B、 
231,三苯四丙吡 
232,C、 
233,苯并芘 
234,D、 
235,亚硝胺 
236,我的答案：C 
237,19 
238,猪链球菌传播的途径是（）。
239,1.0 分 
240,
241,A、 
242,经破损的皮肤 
243,B、 
244,经口传播 
245,C、 
246,经呼吸道传播 
247,D、 
248,以上都对 
249,我的答案：D 
250,20 
251,（）也就是痢疾杆菌。
252,1.0 分 
253,
254,A、 
255,肉毒梭状芽孢杆菌 
256,B、 
257,椰毒假单胞菌酵米面亚种 
258,C、 
259,志贺氏菌 
260,D、 
261,副溶血性弧菌 
262,我的答案：C 
263,21 
264,在我国，由食源性微生物所引起的食源性疾病占所发生的食源性疾病的（）。
265,1.0 分 
266,
267,A、 
268,三分之一 
269,B、 
270,五分之一 
271,C、 
272,八分之一 
273,D、 
274,十分之一 
275,我的答案：A 
276,22 
277,赭曲霉毒素A的毒性不包括（）。
278,1.0 分 
279,
280,A、 
281,三致作用 
282,B、 
283,肝脏毒 
284,C、 
285,肾脏毒 
286,D、 
287,心脏毒 
288,我的答案：D 
289,23 
290,2005年，我国关于油炸食品丙烯酰胺食品安全危机的主要原因是（）。
291,1.0 分 
292,
293,A、 
294,管理者监管不力 
295,B、 
296,生产者隐瞒危害 
297,C、 
298,风险交流缺失 
299,D、 
300,竞争商家的造谣 
301,我的答案：C 
302,24 
303,在环境学的研究中，人类现在居住、生活的环境被称为（）。
304,1.0 分 
305,
306,A、 
307,原生环境 
308,B、 
309,次生环境 
310,C、 
311,复合环境 
312,D、 
313,人造环境 
314,我的答案：B 
315,25 
316,媒体所说的“丙毒”属于（）产生的有毒有害物质。
317,1.0 分 
318,
319,A、 
320,微生物 
321,B、 
322,环境污染 
323,C、 
324,食品加工过程 
325,D、 
326,流通环节 
327,我的答案：C 
328,26 
329,1.0 分 
330,
331,A、 
332,瘦肉精 
333,B、 
334,结核菌 
335,C、 
336,沙门氏菌 
337,D、 
338,寄生虫 
339,我的答案：D 
340,27 
341,酱油中存在氯丙醇的原因是在水解植物蛋白的过程，人为加入了（）。
342,1.0 分 
343,
344,A、 
345,盐酸 
346,B、 
347,盐 
348,C、 
349,糖 
350,D、 
351,小苏打 
352,我的答案：A 
353,28 
354,1.0 分 
355,
356,A、 
357,神经毒性 
358,B、 
359,遗传毒性和生殖毒性 
360,C、 
361,潜在致癌性 
362,D、 
363,以上都对 
364,我的答案：A 
365,29 
366,下列关于粮食安全的说法中，不正确的是（）。
367,1.0 分 
368,
369,A、 
370,粮食安全的英文是Food Security 
371,B、 
372,粮食安全强调老百姓能够有足够的钱去买到所需的食物 
373,C、 
374,粮食安全主要是农业经济的人做相关研究 
375,D、 
376,粮食安全更侧重于整个食品供应链中的安全 
377,我的答案：D 
378,30 
379,沙门氏菌的污染主要发生的时间以（）为主。
380,1.0 分 
381,
382,A、 
383,春季 
384,B、 
385,春夏季 
386,C、 
387,夏秋季 
388,D、 
389,冬季 
390,我的答案：C 
391,31 
392,丙烯酰胺在（）的加热过程中可以形成。
393,1.0 分 
394,
395,A、 
396,糖 
397,B、 
398,脂肪 
399,C、 
400,蛋白质 
401,D、 
402,碳水化合物 
403,我的答案：D 
404,32 
405,下列关于肉毒梭状芽孢杆菌的说法中，不正确的是（）。
406,1.0 分 
407,
408,A、 
409,它是一个强烈的神经毒素 
410,B、 
411,人体内的胃酸能够破坏其活性 
412,C、 
413,它的中毒情况多发生在冬春季节 
414,D、 
415,加热可以使肉毒梭状芽孢杆菌彻底灭活 
416,我的答案：B 
417,33 
418,酚类污染物主要是来源于（）。
419,1.0 分 
420,
421,A、 
422,焦化厂、煤气厂 
423,B、 
424,石油冶炼 
425,C、 
426,木材干馏 
427,D、 
428,以上都对 
429,我的答案：D 
430,34 
431,中国人的第一杀手疾病是（），它所导致的死亡人数约占总死亡人数的36%。
432,1.0 分 
433,
434,A、 
435,糖尿病 
436,B、 
437,癌症 
438,C、 
439,感冒 
440,D、 
441,心脑血管病 
442,我的答案：D 
443,35 
444,发酵与米面制品、银儿容易受到污染的微生物是（）。
445,1.0 分 
446,
447,A、 
448,肉毒梭状芽孢杆菌 
449,B、 
450,副溶血性弧菌 
451,C、 
452,椰毒假单胞菌酵米面亚种 
453,D、 
454,李斯特氏菌 
455,我的答案：C 
456,36 
457,当年的“三聚氰胺”奶粉事件中，人为添加三聚氰胺是为了（）。
458,1.0 分 
459,
460,A、 
461,提高口感 
462,B、 
463,灭菌 
464,C、 
465,增加蛋白质含量 
466,D、 
467,增加粘稠度 
468,我的答案：C 
469,37 
470,微生物所引起的食源性疾病占疾病总数的（）
471,1.0 分 
472,
473,A、 
474,六分之一 
475,B、 
476,五分之一 
477,C、 
478,四分之一 
479,D、 
480,三分之一 
481,我的答案：D 
482,38 
483,下列各食品安全标准中，属于需要强制执行的国家标准的是（）。
484,1.0 分 
485,
486,A、 
487,有毒有害物质的残留标准 
488,B、 
489,婴儿食品标准 
490,C、 
491,食品中所污染的微生物的限量标准 
492,D、 
493,以上都对 
494,我的答案：D 
495,39 
496,1.0 分 
497,
498,A、 
499,11% 
500,B、 
501,20% 
502,C、 
503,7% 
504,D、 
505,13% 
506,我的答案：B 
507,40 
508,我们国家受到铬、砷、镉、铅等重金属污染所的耕地面积占耕地总面积的（）。
509,1.0 分 
510,
511,A、 
512,三分之一 
513,B、 
514,五分之一 
515,C、 
516,八分之一 
517,D、 
518,十分之一 
519,我的答案：B 
520,41 
521,在食品中，（）是最重要接触丙烯酰胺的途径。
522,1.0 分 
523,
524,A、 
525,饮水 
526,B、 
527,吃面包 
528,C、 
529,吃土豆 
530,D、 
531,喝牛奶 
532,我的答案：A 
533,42 
534,葡萄球菌污染食品的种类不包括（）。
535,1.0 分 
536,
537,A、 
538,乳制品 
539,B、 
540,蛋制品 
541,C、 
542,熟肉制品 
543,D、 
544,蔬果 
545,我的答案：D 
546,43 
547,下列疾病中，由重金属污染引起的是（）。
548,1.0 分 
549,
550,A、 
551,“大脖子”病和水俣病 
552,B、 
553,“克山病”和“痛痛病” 
554,C、 
555,“黑脚病”和“大脖子”病 
556,D、 
557,水俣病和“痛痛病” 
558,我的答案：D 
559,44 
560,下列疾病中，与环境污染相关的是（）。
561,1.0 分 
562,
563,A、 
564,“大脖子”病 
565,B、 
566,“克山病” 
567,C、 
568,“氟中毒” 
569,D、 
570,以上都对 
571,我的答案：D 
572,45 
573,生物胺主要存在于多种食品，尤其是（）类食品。
574,1.0 分 
575,
576,A、 
577,油炸类 
578,B、 
579,烘烤类 
580,C、 
581,发酵类 
582,D、 
583,曝晒类 
584,我的答案：C 
585,46 
586,青蛙和蛇类可能含有的寄生虫是（）。
587,1.0 分 
588,
589,A、 
590,华支睾吸虫 
591,B、 
592,曼氏迭宫绦虫 
593,C、 
594,肺吸虫 
595,D、 
596,广州管圆线虫 
597,我的答案：B 
598,47 
599,风险分析所包括的三个环节是（）。
600,1.0 分 
601,
602,A、 
603,风险报告、风险测试、采取风险管理措施 
604,B、 
605,采取风险管理措施、风险报告、风险交流 
606,C、 
607,风险测试、采取风险管理措施、风险评估 
608,D、 
609,风险评估、采取风险管理措施、风险交流 
610,我的答案：D 
611,48 
612,1.0 分 
613,
614,A、 
615,1988 
616,B、 
617,1998 
618,C、 
619,2000 
620,D、 
621,2001 
622,我的答案：B 
623,49 
624,1.0 分 
625,
626,A、 
627,它的复制非常快 
628,B、 
629,它是蛋白质为主的结构 
630,C、 
631,该病毒可以感染到人 
632,D、 
633,人们在疯牛病发生之前已经对其进行了大量的研究 
634,我的答案：D 
635,50 
636,（）过程能够反映食品安全的透明度问题。
637,1.0 分 
638,
639,A、 
640,风险评估 
641,B、 
642,采取风险管理措施 
643,C、 
644,进行风险测试 
645,D、 
646,风险交流 
647,我的答案：D 
648,二、 判断题（题数：50，共 50.0 分） 
649,1 
650,病毒通过食品传播的主要途径是粪口传播。（）
651,1.0 分 
652,
653,我的答案： √ 
654,2 
655,控制黄曲霉毒素危害的最根本措施就是改进粮食的生产、储运等条件。
656,1.0 分 
657,
658,我的答案： √ 
659,3 
660,丙烯酰胺形成的底物是还原糖和天冬酰胺。（）
661,1.0 分 
662,
663,我的答案： √ 
664,4 
665,目前我们进行食品安全、食品营养相关知识普及的最大问题是公众对实盘全、饮食健康认知的缺失。（）
666,1.0 分 
667,
668,我的答案： √ 
669,5 
670,“一般是将毒理学试验获得的数据外推到人，计算人体的每日允许摄入量”是食品安全风险评估的风险描述阶段。
671,1.0 分 
672,
673,我的答案： × 
674,6 
675,大气污染是指大气中污染物质的浓度达到有害程度以至于破坏生态系统和人类正常生存、发展的条件，对人和物造成危害的现象。（）
676,1.0 分 
677,
678,我的答案： √ 
679,7 
680,微生物只要存在与食物中，都会对人体产生损害。
681,1.0 分 
682,
683,我的答案： × 
684,8 
685,狭义的食品安全的概念主要是指在食品的生产、运输过程中没有加入对人体危害的有毒有害物质。（）
686,1.0 分 
687,
688,我的答案： × 
689,9 
690,四氯代二苯并二恶英是目前世界上已知的一级致癌物中毒性最强的有机化合物。（）
691,1.0 分 
692,
693,我的答案： √ 
694,10 
695,黄曲霉所产生的黄曲霉毒素主要会在葡萄酒、葡萄汁里产生。（）
696,1.0 分 
697,
698,我的答案： × 
699,11 
700,关于农产品中农药和兽药的残留超标问题，其中农药中毒对人体的危害更为严重。（）
701,1.0 分 
702,
703,我的答案： × 
704,12 
705,以最保守的15亿人口计算，中国大约到2030年仍然面临非常严峻的要保证人民吃得饱的问题。（）
706,1.0 分 
707,
708,我的答案： √ 
709,13 
710,杂环胺的形成受到煎炸、烘烤温度和时间的影响。（）
711,1.0 分 
712,
713,我的答案： √ 
714,14 
715,按体重计，儿童丙烯酰胺的数量为成人的2-3倍，最主要的来源就是油炸马铃薯食品。（）
716,1.0 分 
717,
718,我的答案： √ 
719,15 
720,肉毒毒素是罐头加工工业中是一个目标菌，一定要让这个菌灭活才能证明罐头食品的杀菌是彻底的。（）
721,1.0 分 
722,
723,我的答案： √ 
724,16 
725,痢疾杆菌的特点是耐热，容易在春冬季感染患病。（）
726,1.0 分 
727,
728,我的答案： × 
729,17 
730,在我国，食品安全的各种标准本身不是法规，但已列入法规内容中，因此这些标准也具有法规的属性，属于必须贯彻执行的。（）
731,1.0 分 
732,
733,我的答案： √ 
734,18 
735,我们国家是一个农药使用量和生产都位居第一的国家。（）
736,1.0 分 
737,
738,我的答案： √ 
739,19 
740,肉毒梭状芽孢杆菌属于厌氧菌。（）
741,1.0 分 
742,
743,我的答案： √ 
744,20 
745,李斯特氏菌中毒事件最主要发生在欧美国家，是因为这些国家的老百姓食用的食品主要是以生食品为主。（）
746,1.0 分 
747,
748,我的答案： √ 
749,21 
750,豆类含有一些血细胞凝集素，它可以凝集我们体内的红细胞。（）
751,1.0 分 
752,
753,我的答案： √ 
754,22 
755,风险评估的暴露评估阶段，其目的在于求得某种危害物对人体的暴露剂量、暴露频率、时间长短及暴露范围。（）
756,1.0 分 
757,
758,我的答案： √ 
759,23 
760,在我国，由副溶血弧菌污染水产品所导致的食源性疾病发病是最高的。（）
761,1.0 分 
762,
763,我的答案： × 
764,24 
765,铅碘汞是我们进行食品卫生指标监测时必须检测的三项。（）
766,1.0 分 
767,
768,我的答案： × 
769,25 
770,所谓的“城乡剪刀差”问题，事实上随着经济的发展已经明显的缩小。（）
771,1.0 分 
772,
773,我的答案： × 
774,26 
775,人为的放射性污染中，危害最严重且危害比较持久的是核事故。（）
776,1.0 分 
777,
778,我的答案： √ 
779,27 
780,烤鸭、烤肉等烤制食品中存在对人体有害物质杂环胺化合物。（）
781,1.0 分 
782,
783,我的答案： √ 
784,28 
785,目前中国食品企业面临的最大问题就是消费者对食品安全及食品产品质量的信任。（）
786,1.0 分 
787,
788,我的答案： √ 
789,29 
790,李斯特氏菌是一种耐冷的微生物。（）
791,1.0 分 
792,
793,我的答案： √ 
794,30 
795,1999年，比利时食品二恶英污染事件发生在原料的生产环节，主要是生产工具受到了污染。（）
796,1.0 分 
797,
798,我的答案： × 
799,31 
800,风险评估的风险描述阶段，其主要工作是将毒理学实验所获得的数据外推到人来计算，或给出一个人的每日允许摄入量。（）
801,1.0 分 
802,
803,我的答案： × 
804,32 
805,二恶英是人类进入工业化社会之后的一个典型的副产物。（）
806,1.0 分 
807,
808,我的答案： √ 
809,33 
810,有机汞可以透过人体的血脑屏障，侵染到人体的中枢系统。（）
811,1.0 分 
812,
