,题目
0,  成绩： 100.0分
1, 
2,一、 单选题（题数：60，共 60.0 分）
3,1
4,下列疾病中，由重金属污染引起的是（）。
5,1.0 分
6,窗体顶端
7,A、
8,“大脖子”病和水俣病
9, 
10,B、
11,“克山病”和“痛痛病”
12, 
13,C、
14,“黑脚病”和“大脖子”病
15, 
16,D、
17,水俣病和“痛痛病”
18, 
19,窗体底端
20,我的答案：D
21,2
22,亚硝酸盐通过食品的人体的危害，一个是产生强致癌化合物亚硝胺，另一个是抢夺人体内的（）。
23,1.0 分
24,窗体顶端
25,A、
26,维生素C
27, 
28,B、
29,白细胞
30, 
31,C、
32,高氧血红蛋白
33, 
34,D、
35,血小板
36, 
37,窗体底端
38,我的答案：C
39,3
40,海洋中的贝类毒素来源主要是（）。
41,1.0 分
42,窗体顶端
43,A、
44,海水污染
45, 
46,B、
47,重金属污染
48, 
49,C、
50,微生物
51, 
52,D、
53,食物链中的藻类
54, 
55,窗体底端
56,我的答案：D
57,4
58,（）也就是痢疾杆菌。
59,1.0 分
60,窗体顶端
61,A、
62,肉毒梭状芽孢杆菌
63, 
64,B、
65,椰毒假单胞菌酵米面亚种
66, 
67,C、
68,志贺氏菌
69, 
70,D、
71,副溶血性弧菌
72, 
73,窗体底端
74,我的答案：C
75,5
76,风险评估的四个阶段依次是（）。
77,1.0 分
78,窗体顶端
79,A、
80,危害识别、危害描述、暴露评估、风险描述
81, 
82,B、
83,危害识别、危害描述、风险描述、暴露评估
84, 
85,C、
86,危害识别、暴露评估、危害描述、风险描述
87, 
88,D、
89,危害识别、暴露评估、风险描述、危害描述
90, 
91,窗体底端
92,我的答案：A
93,6
94,多环芳烃类的化合物中，（）是由食品进入人体内最多、最主要的一类物质。
95,1.0 分
96,窗体顶端
97,A、
98,苯并芘
99, 
100,B、
101,苯并蒽
102, 
103,C、
104,苯并荧蒽
105, 
106,D、
107,二苯并蒽
108, 
109,窗体底端
110,我的答案：A
111,7
112,下列食物中，含有对人体有害物质苯并芘的是（）。
113,1.0 分
114,窗体顶端
115,A、
116,油炸的方便面饼
117, 
118,B、
119,烘烤的饼干
120, 
121,C、
122,松木熏烤的红肠
123, 
124,D、
125,以上都是
126, 
127,窗体底端
128,我的答案：D
129,8
130,媒体所说的“丙毒”属于（）产生的有毒有害物质。
131,1.0 分
132,窗体顶端
133,A、
134,微生物
135, 
136,B、
137,环境污染
138, 
139,C、
140,食品加工过程
141, 
142,D、
143,流通环节
144, 
145,窗体底端
146,我的答案：C
147,9
148,下列食物中，适量摄入后不会对人体产生伤害的是（）。
149,1.0 分
150,窗体顶端
151,A、
152,发芽的马铃薯
153, 
154,B、
155,新鲜未充分加热的黄花菜
156, 
157,C、
158,未充分加热的豆奶
159, 
160,D、
161,发芽的大蒜
162, 
163,窗体底端
164,我的答案：D
165,10
166,在食品中，（）是最重要接触丙烯酰胺的途径。
167,1.0 分
168,窗体顶端
169,A、
170,饮水
171, 
172,B、
173,吃面包
174, 
175,C、
176,吃土豆
177, 
178,D、
179,喝牛奶
180, 
181,窗体底端
182,我的答案：A
183,11
184,环境内分泌干扰物中，最主要的污染物是（）。
185,1.0 分
186,窗体顶端
187,A、
188,食品添加剂
189, 
190,B、
191,农药类物质
192, 
193,C、
194,添加剂
195, 
196,D、
197,重金属
198, 
199,窗体底端
200,我的答案：B
201,12
202,中国人的第一杀手疾病是（），它所导致的死亡人数约占总死亡人数的36%。
203,1.0 分
204,窗体顶端
205,A、
206,糖尿病
207, 
208,B、
209,癌症
210, 
211,C、
212,感冒
213, 
214,D、
215,心脑血管病
216, 
217,窗体底端
218,我的答案：D
219,13
220,欧美国家蔬菜农药残留问题不大的关键原因是（）。
221,1.0 分
222,窗体顶端
223,A、
224,他们以食肉为主，对蔬菜需求度不高
225, 
226,B、
227,他们在生产过程中不用农药
228, 
229,C、
230,他们的生产秩序非常规范
231, 
232,D、
233,他们的蔬菜主要是靠进口
234, 
235,窗体底端
236,我的答案：C
237,14
238,进入人体的毒物，其分布和（）相关。
239,1.0 分
240,窗体顶端
241,A、
242,局部血流量
243, 
244,B、
245,体液的PH值
246, 
247,C、
248,组织亲和力
249, 
250,D、
251,以上都对
252, 
253,窗体底端
254,我的答案：D
255,15
256,丙烯酰胺在（）的加热过程中可以形成。
257,1.0 分
258,窗体顶端
259,A、
260,糖
261, 
262,B、
263,脂肪
264, 
265,C、
266,蛋白质
267, 
268,D、
269,碳水化合物
270, 
271,窗体底端
272,我的答案：D
273,16
274,亚硝酸盐作为食品添加剂，具有（）的作用。
275,1.0 分
276,窗体顶端
277,A、
278,增加食物营养度、抑制微生物生长繁殖
279, 
280,B、
281,方便食品加工、增加食物营养度
282, 
283,C、
284,使食物颜色漂亮，抑制微生物的生长繁殖
285, 
286,D、
287,方便食品加工、使食物颜色漂亮
288, 
289,窗体底端
290,我的答案：C
291,17
292,霉菌的“三致效应”不包括（）。
293,1.0 分
294,窗体顶端
295,A、
296,致死
297, 
298,B、
299,致癌
300, 
301,C、
302,致畸
303, 
304,D、
305,致突变
306, 
307,窗体底端
308,我的答案：A
309,18
310,COD值和BOD值都是用于评价水污染程度的指标，其中（）。
311,1.0 分
312,窗体顶端
313,A、
314,COD值就是化学耗氧量；BOD就是生物供氧量
315, 
316,B、
317,COD值就是化学耗氧量；BOD就是生化需氧量
318, 
319,C、
320,COD值就是化学供氧量；BOD就是生物供氧量
321, 
322,D、
323,COD值就是化学供氧量；BOD就是生化需氧量
324, 
325,窗体底端
326,我的答案：B
327,19
328,腌菜时，一般在（）内出现亚硝峰，我们应避开这个亚硝酸盐高峰期再吃。
329,1.0 分
330,窗体顶端
331,A、
332,1至3天
333, 
334,B、
335,2至5天
336, 
337,C、
338,3至7天
339, 
340,D、
341,5至9天
342, 
343,窗体底端
344,我的答案：C
345,20
346,葡萄球菌污染食品的种类不包括（）。
347,1.0 分
348,窗体顶端
349,A、
350,乳制品
351, 
352,B、
353,蛋制品
354, 
355,C、
356,熟肉制品
357, 
358,D、
359,蔬果
360, 
361,窗体底端
362,我的答案：D
363,21
364,下列关于猪链球菌的说法中，不正确的是（）。
365,1.0 分
366,窗体顶端
367,A、
368,它是一个条件致病菌
369, 
370,B、
371,侵染猪时它要求高温高湿的环境
372, 
373,C、
374,它只在猪之间传染，不会感染人
375, 
376,D、
377,猪群对于猪链球菌的带菌率高，但不一定发病
378, 
379,窗体底端
380,我的答案：C
381,22
382,下列关于粮食安全的说法中，不正确的是（）。
383,1.0 分
384,窗体顶端
385,A、
386,粮食安全的英文是Food Security
387, 
388,B、
389,粮食安全强调老百姓能够有足够的钱去买到所需的食物
390, 
391,C、
392,粮食安全主要是农业经济的人做相关研究
393, 
394,D、
395,粮食安全更侧重于整个食品供应链中的安全
396, 
397,窗体底端
398,我的答案：D
399,23
400,下列化工企业排放中，可能含有二恶英的是（）。
401,1.0 分
402,窗体顶端
403,A、
404,氯碱工业
405, 
406,B、
407,有机氯工业废渣
408, 
409,C、
410,造纸废水
411, 
412,D、
413,以上都对
414, 
415,窗体底端
416,我的答案：D
417,24
418,酱油中存在氯丙醇的原因是在水解植物蛋白的过程，人为加入了（）。
419,1.0 分
420,窗体顶端
421,A、
422,盐酸
423, 
424,B、
425,盐
426, 
427,C、
428,糖
429, 
430,D、
431,小苏打
432, 
433,窗体底端
434,我的答案：A
435,25
436,我国的膳食评估结果认为，将酱油中三氯丙醇的最高允许限量值设置为是（）毫克每千克对保证人民健康是适宜的。
437,1.0 分
438,窗体顶端
439,A、
440,.1
441, 
442,B、
443,1
444, 
445,C、
446,10
447, 
448,D、
449,100
450, 
451,窗体底端
452,我的答案：B
453,26
454,下列关于人体各器官吸收毒物的说法中，不正确的是（）。
455,1.0 分
456,窗体顶端
457,A、
458,小肠里面容易吸收脂溶性毒物
459, 
460,B、
461,胃部可以吸收弱酸、碱性毒物
462, 
463,C、
464,小肠吸收毒物采取的是主动吸收
465, 
466,D、
467,口腔黏膜吸收的毒物直接进入血液循环系统
468, 
469,窗体底端
470,我的答案：C
471,27
472,油脂在加工过程中会产生（）。
473,1.0 分
474,窗体顶端
475,A、
476,二恶英
477, 
478,B、
479,三苯四丙吡
480, 
481,C、
482,苯并芘
483, 
484,D、
485,亚硝胺
486, 
487,窗体底端
488,我的答案：C
489,28
490,许多食品安全危机处理的最佳时期是（）。
491,1.0 分
492,窗体顶端
493,A、
494,潜伏期
495, 
496,B、
497,爆发期
498, 
499,C、
500,缓解期
501, 
502,D、
503,山后期
504, 
505,窗体底端
506,我的答案：A
507,29
508,1996年， 日本的O157大肠杆菌污染事件出现的原因是（）。
509,1.0 分
510,窗体顶端
511,A、
512,恶意投毒
513, 
514,B、
515,没有保持冷链的完整性
516, 
517,C、
518,农药残留
519, 
520,D、
521,食物没有高温消毒
522, 
523,窗体底端
524,我的答案：B
525,30
526,在我国，食品安全标准的四个等级中，（）要求最高。
527,1.0 分
528,窗体顶端
529,A、
530,国家标准
531, 
532,B、
533,地方标准
534, 
535,C、
536,全行业标准
537, 
538,D、
539,企业标准
540, 
541,窗体底端
542,我的答案：D
543,31
544,在环境学的研究中，人类现在居住、生活的环境被称为（）。
545,1.0 分
546,窗体顶端
547,A、
548,原生环境
549, 
550,B、
551,次生环境
552, 
553,C、
554,复合环境
555, 
556,D、
557,人造环境
558, 
559,窗体底端
560,我的答案：B
561,32
562,酚类污染物主要是来源于（）。
563,1.0 分
564,窗体顶端
565,A、
566,焦化厂、煤气厂
567, 
568,B、
569,石油冶炼
570, 
571,C、
572,木材干馏
573, 
574,D、
575,以上都对
576, 
577,窗体底端
578,我的答案：D
579,33
580,转基因产品属于（）所关注、研究的内容。
581,1.0 分
582,窗体顶端
583,A、
584,食品卫生、食品安全
585, 
586,B、
587,食品卫生、生物安全
588, 
589,C、
590,食品安全、生物安全
591, 
592,D、
593,食品卫生
594, 
595,窗体底端
596,我的答案：C
597,34
598,下列疾病中，与环境污染相关的是（）。
599,1.0 分
600,窗体顶端
601,A、
602,“大脖子”病
603, 
604,B、
605,“克山病”
606, 
607,C、
608,“氟中毒”
609, 
610,D、
611,以上都对
612, 
613,窗体底端
614,我的答案：D
615,35
616,杂环胺进入动物体内后，会与（）发生加和作用，从而引起突变性。
617,1.0 分
618,窗体顶端
619,A、
620,血红蛋白
621, 
622,B、
623,白细胞
624, 
625,C、
626,DNA
627, 
628,D、
629,神经末梢
630, 
631,窗体底端
632,我的答案：C
633,36
634,狗身上可能有的寄生虫是（）。
635,1.0 分
636,窗体顶端
637,A、
638,华支睾吸虫、蜱
639, 
640,B、
641,蜱、钩虫
642, 
643,C、
644,华支睾吸虫、钩虫
645, 
646,D、
647,广州管圆线虫、蜱
648, 
649,窗体底端
650,我的答案：B
651,37
652,生物胺主要存在于多种食品，尤其是（）类食品。
653,1.0 分
654,窗体顶端
655,A、
656,油炸类
657, 
658,B、
659,烘烤类
660, 
661,C、
662,发酵类
663, 
664,D、
665,曝晒类
666, 
667,窗体底端
668,我的答案：C
669,38
670,2005年，我国关于油炸食品丙烯酰胺食品安全危机的主要原因是（）。
671,1.0 分
672,窗体顶端
673,A、
674,管理者监管不力
675, 
676,B、
677,生产者隐瞒危害
678, 
679,C、
680,风险交流缺失
681, 
682,D、
683,竞争商家的造谣
684, 
685,窗体底端
686,我的答案：C
687,39
688,我们国家现在的食品安全管理属于（）的体制。
689,1.0 分
690,窗体顶端
691,A、
692,地方政府自理
693, 
694,B、
695,中央政府管理
696, 
697,C、
698,分段管理
699, 
700,D、
701,产业管理
702, 
703,窗体底端
704,我的答案：C
705,40
706,我们国家受到铬、砷、镉、铅等重金属污染所的耕地面积占耕地总面积的（）。
707,1.0 分
708,窗体顶端
709,A、
710,三分之一
711, 
712,B、
713,五分之一
714, 
715,C、
716,八分之一
717, 
718,D、
719,十分之一
720, 
721,窗体底端
722,我的答案：B
723,41
724,下列食物中，对重金属的吸收累积由低到高一次是（）。
725,1.0 分
726,窗体顶端
727,A、
728,水果、小麦玉米、蔬菜
729, 
730,B、
731,小麦玉米、蔬菜、水果
732, 
733,C、
734,蔬菜、水果、小麦玉米
735, 
736,D、
737,蔬菜、小麦玉米、水果
738, 
739,窗体底端
740,我的答案：A
741,42
742,微生物（）容易感染鱼、虾、蟹、贝、藻等水产品类的食品原料。
743,1.0 分
744,窗体顶端
745,A、
746,肉毒梭状芽孢杆菌
747, 
748,B、
749,椰毒假单胞菌酵米面亚种
750, 
751,C、
752,李斯特氏菌
753, 
754,D、
755,副溶血性弧菌
756, 
757,窗体底端
758,我的答案：D
759,43
760,杂环胺的形成机制中，（）的存在可能会引起催化作用。
761,1.0 分
762,窗体顶端
763,A、
764,蛋白质
765, 
766,B、
767,脂肪
768, 
769,C、
770,碳水化合物
771, 
772,D、
773,糖
774, 
775,窗体底端
776,我的答案：D
777,44
778,下列关于肉毒梭状芽孢杆菌的说法中，不正确的是（）。
779,1.0 分
780,窗体顶端
781,A、
782,它是一个强烈的神经毒素
783, 
784,B、
785,人体内的胃酸能够破坏其活性
786, 
787,C、
788,它的中毒情况多发生在冬春季节
789, 
790,D、
791,加热可以使肉毒梭状芽孢杆菌彻底灭活
792, 
793,窗体底端
794,我的答案：B
795,45
796,下列关于食品灭菌手段辐照的说法中，不正确的是（）。
797,1.0 分
798,窗体顶端
799,A、
800,辐照不用加热
801, 
802,B、
803,辐照已经被FDA允许
804, 
805,C、
806,一般干质的食品采用辐照灭菌
807, 
808,D、
809,辐照不可以用于方面调料包的杀菌
810, 
811,窗体底端
812,我的答案：D
813,46
814,下列选项中，不属于环境内分泌干扰物特点的是（）。
815,1.0 分
816,窗体顶端
817,A、
818,延迟性
819, 
820,B、
821,时段性
822, 
823,C、
824,半衰性
825, 
826,D、
827,复杂性
828, 
829,窗体底端
830,我的答案：C
831,47
832,下列哪一项原则是企业确保产品安全和质量的最重要手段？（）
833,1.0 分
834,窗体顶端
835,A、
836,科学原则
837, 
838,B、
839,平衡原则
840, 
841,C、
842,标准原则
843, 
844,D、
845,过程原则
846, 
847,窗体底端
848,我的答案：C
849,48
850,猪链球菌传播的途径是（）。
851,1.0 分
852,窗体顶端
853,A、
854,经破损的皮肤
855, 
856,B、
857,经口传播
858, 
859,C、
860,经呼吸道传播
861, 
862,D、
863,以上都对
864, 
865,窗体底端
866,我的答案：D
867,49
868,风险交流的环节事实上就是（）对风险的认识及沟通。
869,1.0 分
870,窗体顶端
871,A、
872,消费者和生产者之间
873, 
874,B、
875,管理者和生产者之间
876, 
877,C、
878,消费者和管理者之间
879, 
880,D、
881,消费者、管理者、生产者之间
882, 
883,窗体底端
884,我的答案：D
885,50
886,预防禽流感，我们要做到（）。
887,1.0 分
888,窗体顶端
889,A、
890,消灭传染源
891, 
892,B、
893,切断传播途径
894, 
895,C、
896,保护易感人群
897, 
898,D、
899,以上都对
900, 
901,窗体底端
902,我的答案：D
903,51
904,下列关于口蹄疫的说法中，不正确的是（）。
905,1.0 分
906,窗体顶端
907,A、
908,口蹄疫主要发生在一些偶蹄类动物
909, 
910,B、
911,口蹄疫会侵染到人，但不会致死
912, 
913,C、
914,口蹄疫的症状通常是一些水泡或表皮的溃烂
915, 
916,D、
917,口蹄疫容易导致小孩患上手足口病
918, 
919,窗体底端
920,我的答案：D
921,52
922,引发食源性疾病的物质包括（）。
923,1.0 分
924,窗体顶端
925,A、
926,微生物
927, 
928,B、
929,化学类物质
930, 
931,C、
932,物理性物质
933, 
934,D、
935,以上都是
936, 
937,窗体底端
938,我的答案：D
939,53
940,青蛙和蛇类可能含有的寄生虫是（）。
941,1.0 分
942,窗体顶端
943,A、
944,华支睾吸虫
945, 
946,B、
947,曼氏迭宫绦虫
948, 
949,C、
950,肺吸虫
951, 
952,D、
953,广州管圆线虫
954, 
955,窗体底端
956,我的答案：B
957,54
958,风险管理的内容不包括（）。
959,1.0 分
960,窗体顶端
961,A、
962,风险评价
963, 
964,B、
965,风险管理选择评估
966, 
967,C、
968,进行风险测试
969, 
970,D、
971,监控和审查
972, 
973,窗体底端
974,我的答案：C
975,55
976,我国最新的《食品安全法》中规定，（）是食品安全第一责任人。
977,1.0 分
978,窗体顶端
979,A、
980,地方政府
981, 
982,B、
983,企业
984, 
985,C、
986,农民
987, 
988,D、
989,消费者
990, 
991,窗体底端
992,我的答案：B
993,56
994,当年的“三聚氰胺”奶粉事件中，人为添加三聚氰胺是为了（）。
995,1.0 分
996,窗体顶端
997,A、
998,提高口感
999, 
1000,B、
1001,灭菌
1002, 
1003,C、
1004,增加蛋白质含量
1005, 
1006,D、
1007,增加粘稠度
1008, 
1009,窗体底端
1010,我的答案：C
1011,57
1012,风险分析所包括的三个环节是（）。
1013,1.0 分
1014,窗体顶端
1015,A、
1016,风险报告、风险测试、采取风险管理措施
1017, 
1018,B、
1019,采取风险管理措施、风险报告、风险交流
1020, 
1021,C、
1022,风险测试、采取风险管理措施、风险评估
1023, 
1024,D、
1025,风险评估、采取风险管理措施、风险交流
1026, 
1027,窗体底端
1028,我的答案：D
1029,58
1030,黄曲霉在（）条件下容易生长。
1031,1.0 分
1032,窗体顶端
1033,A、
1034,缺氧、温度较高、潮湿
1035, 
1036,B、
1037,缺氧、温度低、干燥
1038, 
1039,C、
1040,有氧、温度高、潮湿
1041, 
1042,D、
1043,有氧、温度低、潮湿
