,题目
0,
1,一、单选题
2, 
3,1
4,关于柳永的词，说法不正确的是（）。
5,A、
6,形式上由小令开拓出长调
7,B、
8,内容上由伤春转变为悲秋
9,C、
10,带给人丰富的联想和想象
11,D、
12,写出小令之中的幽微婉约的好词
13,我的答案：C
14,2
15,南唐词的代表词人有一冯二李，其中不包括（）。
16,A、
17,冯正中
18,B、
19,李昪
20,C、
21,李璟
22,D、
23,李煜
24,我的答案：B
25,3
26,关于市井俗曲，描述不正确的是（）。
27,A、
28,被人忽视，无人整理
29,B、
30,言辞低俗，错字百出
31,C、
32,当时传唱度低
33,D、
34,无人刊刻流传
35,我的答案：C
36,4
37,“弄妆梳洗迟”中对“弄”解释正确的是（）。
38,A、
39,玩耍
40,B、
41,搅扰
42,C、
43,赏弄、观赏
44,D、
45,炫耀
46,我的答案：C
47,5
48,“东文学社”由（）主办。
49,A、
50,王国维
51,B、
52,罗振玉
53,C、
54,田岗佐代治
55,D、
56,汪廉年
57,我的答案：B
58,6
59,“鞠躬尽瘁，具见开济老臣怀抱”是对（）作品的评价。
60,A、
61,温庭筠
62,B、
63,冯正中
64,C、
65,韦庄
66,D、
67,李煜
68,我的答案：B
69,7
70,中国文学史上最早带着理论性的论词的文章是（）写的。
71,A、
72,张惠言
73,B、
74,李清照
75,C、
76,胡仔
77,D、
78,周济
79,我的答案：B
80,8
81,“如切如磋，如琢如磨”出自（）。
82,A、
83,《论语》
84,B、
85,《诗品》
86,C、
87,《昭明文选》
88,D、
89,《诗经》
90,我的答案：D
91,9
92,最早的词学来源于（）。
93,A、
94,上古诗经
95,B、
96,宋人笔记
97,C、
98,唐代诗歌
99,D、
100,唐代小说
101,我的答案：B
102,10
103,“栖栖失群鸟，日暮犹独飞”中“栖栖”出自（）。
104,A、
105,《离骚》
106,B、
107,《东轩笔记》
108,C、
109,《昭明文选》
110,D、
111,《论语》
112,我的答案：D
113,11
114,“石韫玉而山晖，水怀珠而川媚”出自（）。
115,A、
116,《人间词话》
117,B、
118,《文赋》
119,C、
120,《礼记》
121,D、
122,《文选》
123,我的答案：B
124,12
125,中国古代男子的“三不朽”不包括（）。
126,A、
127,立德
128,B、
129,立功
130,C、
131,立志
132,D、
133,立言
134,我的答案：C
135,13
136,《南溟》这首作品，诗名典故出自（）。
137,A、
138,《法华经》
139,B、
140,《山海经》
141,C、
142,《老子》
143,D、
144,《庄子》
145,我的答案：D
146,14
147,古人有“折柳送别”的说法，是因为柳树有（）的寓意。
148,A、
149,相思的感情
150,B、
151,可以代表故乡
152,C、
153,“留”的谐音字
154,D、
155,A和C
156,我的答案：D
157,15
158,《向晚二首》写于（）年。
159,A、
160,1948
161,B、
162,1949
163,C、
164,1978
165,D、
166,1979
167,我的答案：C
168,16
169,“近作小词，虽无柳七郎风味，亦自是一家”出自（）的作品。
170,A、
171,李清照
172,B、
173,曹丕
174,C、
175,苏轼
176,D、
177,欧阳修
178,我的答案：C
179,17
180,“手把齐纨相诀绝”一句中“齐纨”是指（）。
181,A、
182,丝绸
183,B、
184,手绢
185,C、
186,簪子
187,D、
188,扇子
189,我的答案：D
190,18
191,与西方诗歌比较，中国诗注重（）。
192,A、
193,写作的技巧
194,B、
195,表达的技巧
196,C、
197,声调
198,D、
199,以上都有
200,我的答案：C
201,19
202,被称为“秦妇吟秀才”的文人是（）。
203,A、
204,韦庄
205,B、
206,温庭筠
207,C、
208,王建
209,D、
210,冯正中
211,我的答案：A
212,20
213,“天对地，雨对风，大陆对长空”出自（）。
214,A、
215,《毛诗序》
216,B、
217,《诗言志辨》
218,C、
219,《笠翁对韵》
220,D、
221,《诗品》
222,我的答案：C
223,21
224,对石声汉描述不准确的一项是（）。
225,A、
226,是农业教育家和植物生理学家专家
227,B、
228,晚年完成《齐民要术今释》等著作
229,C、
230,去世于文化大革命结束的那一年
231,D、
232,是中国农史学科重要奠基人之一
233,我的答案：C
234,22
235,“就词论，则非高调”是（）对陈亮《水调歌头》的评论。
236,A、
237,张惠言
238,B、
239,王国维
240,C、
241,陈廷焯
242,D、
243,王水照
244,我的答案：C
245,23
246,“向西风愁听佩环声”一句中引用（）的诗句“如鸣佩环”。
247,A、
248,欧阳修
249,B、
250,柳宗元
251,C、
252,温庭筠
253,D、
254,周敦颐
