,题目
0, 
1,一、 单选题（题数：50，共 50.0 分）
2,1被称为“秦妇吟秀才”的文人是（）。1.0 分
3,A、韦庄
4,B、温庭筠
5,C、王建
6,D、冯正中
7,正确答案： A 我的答案：A
8,2“语尽而意不尽，意尽而情不尽”是对（）作品的评价。1.0 分
9,A、晏殊
10,B、欧阳修
11,C、宋景文
12,D、吴思道
13,正确答案： D 我的答案：D
14,3对石声汉描述不准确的一项是（）。1.0 分
15,A、是农业教育家和植物生理学家专家
16,B、晚年完成《齐民要术今释》等著作
17,C、去世于文化大革命结束的那一年
18,D、是中国农史学科重要奠基人之一
19,正确答案： C 我的答案：C
20,4古代中国的三纲五常中，“三纲”不包括（）。1.0 分
21,A、君为臣纲
22,B、兄为弟纲
23,C、父为子纲
24,D、夫为妻纲
25,正确答案： B 我的答案：B
26,5“生而愿为之有家，良人者，所以望以终身者也”指的是（）。1.0 分
27,A、男子
28,B、父辈
29,C、成年男女
30,D、女子
31,正确答案： D 我的答案：D
32,6对李霁野先生描述不正确的是（）。1.0 分
33,A、民进成员
34,B、中共党员
35,C、著有小说集《影》
36,D、江苏人
37,正确答案： D 我的答案：D
38,7杜甫的《自京窜至凤翔喜达行在所》采用了（）的表现手法。1.0 分
39,A、赋
40,B、比
41,C、兴
42,D、喻
43,正确答案： A 我的答案：A
44,8“详味词意，殆亦碧山黍离之悲也！”是端木埰对（）作品的评价。1.0 分
45,A、柳永
46,B、辛弃疾
47,C、周邦彦
48,D、王沂孙
49,正确答案： D 我的答案：D
50,9《东轩笔记》是由（）所作。1.0 分
51,A、释惠洪
52,B、魏泰
53,C、王安国
54,D、吕惠卿
55,正确答案： B 我的答案：B
56,10“平生塞北江南”出自辛弃疾的作品，其词牌名是（）。1.0 分
57,A、《鹧鸪天》
58,B、《水龙吟》
59,C、《清平乐》
60,D、《永遇乐》
61,正确答案： C 我的答案：C
62,11被界定为导示未来的词论著作是（）。1.0 分
63,A、《人间词话》
64,B、《蕙风词话》
65,C、《词选序》
66,D、《清代词学》
67,正确答案： A 我的答案：A
68,12王国维认为古今成大事业、大学问者，必有（）种境界。1.0 分
69,A、1
70,B、2
71,C、3
72,D、4
73,正确答案： C 我的答案：C
74,13佛教中认为人有“六根”，包括（）。1.0 分
75,A、色声
76,B、香味
77,C、触法
78,D、身意
79,正确答案： D 我的答案：D
80,14晚唐五代时期，“山”可代表的事物不包括（）。1.0 分
81,A、山眉
82,B、发型
83,C、枕头
84,D、山屏
85,正确答案： B 我的答案：B
86,15“燃犀下看”这一典故出自（）。1.0 分
87,A、《史记》
88,B、《诗经》
89,C、《汉书》
90,D、《晋书》
91,正确答案： D 我的答案：D
92,16“栖栖失群鸟，日暮犹独飞”中“栖栖”出自（）。1.0 分
93,A、《离骚》
94,B、《东轩笔记》
95,C、《昭明文选》
96,D、《论语》
97,正确答案： D 我的答案：D
98,17关于词的理解，错误的是（）。1.0 分
99,A、可以称为曲子词
100,B、可以称为长短句、诗余
101,C、词本来是一个文学体式
102,D、是配合宴乐乐曲而填写的歌词
103,正确答案： C 我的答案：C
104,18曹丕在《与吴质书》中为（）美志不遂而叹息也。1.0 分
105,A、屈原
106,B、王粲
107,C、李煜
108,D、应玚
109,正确答案： D 我的答案：D
110,19关于周邦彦的词，评论不正确的是（）。1.0 分
111,A、声音拗折
112,B、前后句子好像不相干
113,C、有出人意表之妙处
114,D、直抒胸臆
115,正确答案： D 我的答案：D
116,20关于《花间集》，描述不准确的是（）。1.0 分
117,A、中国文学史上第一部词集
118,B、收录了18位花间词派诗人的作品
119,C、南唐词收录其中
120,D、由后蜀人编辑
121,正确答案： C 我的答案：C
122,21古人有“折柳送别”的说法，是因为柳树有（）的寓意。1.0 分
123,A、相思的感情
124,B、可以代表故乡
125,C、“留”的谐音字
126,D、A和C
127,正确答案： D 我的答案：D
128,22中国文学史上最早带着理论性的论词的文章是（）写的。1.0 分
129,A、张惠言
130,B、李清照
131,C、胡仔
132,D、周济
133,正确答案： B 我的答案：B
134,23“近作小词，虽无柳七郎风味，亦自是一家”出自（）的作品。1.0 分
135,A、李清照
136,B、曹丕
137,C、苏轼
