,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1欧洲晚期的“新轮作制度”的优点不包括下面哪一项？（）1.0 分
2,A、
3,促进了海外贸易
4,B、
5,土壤得到休息
6,C、
7,延长了农田劳动季节
8,D、
9,增加了农作物种类
10,正确答案： A 我的答案：A
11,2意大利历史学家瓦拉的最大成就在于下面哪一个？（）1.0 分
12,A、
13,文献学方面
14,B、
15,文学方面
16,C、
17,物理学方面
18,D、
19,几何学方面
20,正确答案： A 我的答案：A
21,3托钵修会是（）修会的一种。1.0 分
22,A、
23,天主教
24,B、
25,伊斯兰教
26,C、
27,犹太教
28,D、
29,印度教
30,正确答案： A 我的答案：A
31,4意大利共产党成立于下面哪一年？（）1.0 分
32,A、
33,1920年
34,B、
35,1921年
36,C、
37,1922年
38,D、
39,1923年
40,正确答案： B 我的答案：B
41,5下面哪一项不属于中世纪农民的构成？（）1.0 分
42,A、
43,民
44,B、
45,农奴
46,C、
47,奴隶
48,D、
49,工人
50,正确答案： D 我的答案：D
51,6中世纪的僧侣由下面哪几类人组成？（）1.0 分
52,A、
53,教堂僧侣；隐修僧侣
54,B、
55,俗间僧侣；隐修僧侣
56,C、
57,教堂僧侣；还俗僧侣
58,D、
59,寺庙僧侣；非寺庙僧侣
60,正确答案： B 我的答案：B
61,7《意大利共和国宪法》于下面哪一时间正式生效？（）1.0 分
62,A、
63,1946年1月1日
64,B、
65,1947年1月1日
66,C、
67,1948年1月1日
68,D、
69,17899
70,正确答案： C 我的答案：C
71,8“生萨尔瓦多”的意思为下面哪一个？（）1.0 分
72,A、
73,岛屿
74,B、
75,富庶之地
76,C、
77,圣母
78,D、
79,救世主
80,正确答案： D 我的答案：D
81,9下面关于“主教”一词描述不正确的一项是？（）1.0 分
82,A、
83,来源于希腊语
84,B、
85,意为“监督者”
86,C、
87,来源于拉丁语
88,D、
89,意思为“王的主人”
90,正确答案： C 我的答案：C
91,10意大利历史学家瓦拉的最大成就在于下面哪一个？（）1.0 分
92,A、
93,文献学方面
94,B、
95,文学方面
96,C、
97,物理学方面
98,D、
99,几何学方面
100,正确答案： A 我的答案：A
101,11下面关于十字军东征对西方社会的影响描述不正确的一项是？（）1.0 分
102,A、
103,西方人开始不满中世纪的简朴生活
104,B、
105,消除了宗教狂热的存在
106,C、
107,封闭多年的西方人了解了东方人更高水准的生活
108,D、
109,推进东西方贸易往来
110,正确答案： B 我的答案：B
111,12下面哪一位皇帝于公元1076年宣布罢黜格列高利七世教皇？（）1.0 分
112,A、
113,尼古拉二世
114,B、
115,亨利四世
116,C、
117,奥托一世
118,D、
119,查理大帝
120,正确答案： B 我的答案：B
121,13下面哪一个不是文艺复兴时期杰出的诗人？（）1.0 分
122,A、
123,浦尔契
124,B、
125,普希金
126,C、
127,博亚尔多
128,D、
129,波利齐亚诺
130,正确答案： B 我的答案：B
131,14下面哪一个不是贝尔尼尼的作品？（）1.0 分
132,A、
133,《大卫》
134,B、
135,《奥古斯塔》
136,C、
137,《四河喷泉》
138,D、
139,《阿波罗与达佛涅》
140,正确答案： B 我的答案：B
141,15下面哪一位意大利喜剧作家率先歌颂劳动人民？（）1.0 分
142,A、
143,帕里尼
144,B、
145,哥尔多尼
146,C、
147,塔索
148,D、
149,马里诺
150,正确答案： B 我的答案：B
151,16意大利文学史中14世纪末和15世纪前半叶被称为（）。1.0 分
152,A、
153,复兴时期
154,B、
155,文学运动
156,C、
157,无诗世纪
158,D、
159,新文化时期
160,正确答案： C 我的答案：C
161,17下面哪一个不是中世纪基督教的教义？（）1.0 分
162,A、
163,上帝创始说
164,B、
165,原罪说
166,C、
167,赎罪说
168,D、
169,日心说
170,正确答案： D 我的答案：D
171,18当今世界基督教有下面哪几派？（）1.0 分
172,A、
173,天主教、东正教、新教
174,B、
175,天主教、东正教、旧教
176,C、
177,印度教、东正教、新教
178,D、
179,天主教、印度教、旧教
180,正确答案： A 我的答案：A
181,19巴黎和会于（）年在法国首都巴黎召开。1.0 分
182,A、
183,1900
184,B、
185,1909
186,C、
187,1919
188,D、
189,1929
190,正确答案： C 我的答案：C
191,20中世纪的红衣主教具有下面哪一项权利？（）1.0 分
192,A、
193,监督皇帝
194,B、
195,选举教皇
196,C、
197,选择皇帝
198,D、
199,罢黜皇帝
200,正确答案： B 我的答案：B
201,21画作《维纳斯的诞生》和《春天》的作者是下面哪一位？（）1.0 分
202,A、
203,米开朗基罗
204,B、
205,拉斐尔
206,C、
207,波提切利
208,D、
209,提香
210,正确答案： C 我的答案：C
211,22下面关于“伊利集团”描述不正确的一项是？（）1.0 分
212,A、
213,成立于1933年
214,B、
215,是意大利工业复兴集团公司的简称
216,C、
217,任务是复兴欧洲经济
218,D、
219,帮助意大利银行和企业摆脱经济困难
220,正确答案： C 我的答案：C
221,23吉伯林党又被称为（）。1.0 分
222,A、
223,公爵党
224,B、
225,皇帝党
226,C、
227,伯爵党
228,D、
229,共和党
230,正确答案： B 我的答案：B
231,24下面关于哥伦布描述不正确的一项是？（）1.0 分
232,A、
233,西班牙人
234,B、
235,著名航海家
236,C、
237,提出地心说
238,D、
239,是地理大发现的先驱
240,正确答案： C 我的答案：C
241,25乔祖埃·卡尔杜齐的哪一部作品于1906年获得诺贝尔文学奖？（）1.0 分
242,A、
243,《撒旦颂》
244,B、
245,《意大利民族文学的发展》
246,C、
247,《青春诗》
248,D、
249,《致青春》
250,正确答案： C 我的答案：C
251,26普法战争是由下面哪一个国家发动的？（）1.0 分
252,A、
253,德国
254,B、
255,英国
256,C、
257,法国
258,D、
259,美国
260,正确答案： C 我的答案：C
261,27下面关于邓南遮描述不正确的一项是？（）0.0 分
262,A、
263,他的超人思想和行为对当时的意大利青年一代影响极大
264,B、
265,意大利诗人
266,C、
267,小说《欢乐》
268,D、
269,是帝国主义向资本主义转变时期的代表作家
270,正确答案： A 我的答案：A
271,28意大利文学的黄金时代指的是下面哪一个？（）1.0 分
272,A、
273,15世纪后半叶和整个16世纪
274,B、
275,14世纪后半叶和整个16世纪
276,C、
277,15世纪前半叶和整个16世纪
278,D、
279,14世纪前半叶和整个16世纪
280,正确答案： A 我的答案：A
281,29彼特拉克的《歌集》共收录抒情诗多少篇？（）1.0 分
282,A、
283,364
284,B、
285,365
286,C、
287,366
288,D、
289,367
290,正确答案： C 我的答案：C
291,30意大利的“右翼政府统治时期”主张建立下面哪一种性质的国家？（）1.0 分
292,A、
293,议会共和制
294,B、
295,议会民主制
296,C、
297,君主立宪制
298,D、
299,人民共和制
300,正确答案： C 我的答案：C
301,31下面哪一党被称为“教皇派”？（）1.0 分
302,A、
303,民主党
304,B、
305,共和党
306,C、
307,归尔甫党
308,D、
309,吉伯林党
310,正确答案： C 我的答案：C
311,32马基雅维利认为政治的宗旨是下面哪一个？（）1.0 分
312,A、
313,仁义礼智信
314,B、
315,劝人为善
316,C、
317,获得最大的“利”
318,D、
319,获得最大的尊重
320,正确答案： C 我的答案：C
321,33“宇宙地心说”的提出者是下面哪一位？（）1.0 分
322,A、
323,托勒密
324,B、
325,伽利略
326,C、
327,哥白尼
328,D、
329,亚里士多德
330,正确答案： A 我的答案：A
331,34欧洲晚期的“新轮作制度”的优点不包括下面哪一项？（）1.0 分
332,A、
