,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,古希腊最伟大的作品是：
4,1.0 分
5,窗体顶端
6,A、
7,《奥德赛》
8,B、
9,特洛伊
10,C、
11,伊利亚特
12,D、
13,荷马史诗
14,窗体底端
15,我的答案：D
16,2
17,工业文明的前奏是：
18,1.0 分
19,窗体顶端
20,A、
21,航海活动开展
22,B、
23,文艺复兴运动
24,C、
25,奴隶贸易发展
26,D、
27,宗教改革
28,窗体底端
29,我的答案：C
30,3
31,中国全面废除农业税是从何时开始的？（）
32,0.0 分
33,窗体顶端
34,A、
35,
36,2005年1月1日
37,
38,B、
39,
40,2005年12月29日
41,
42,C、
43,
44,2006年1月1日
45,
46,D、
47,2006年3月1日
48,
49,窗体底端
50,我的答案：B   正确答案：C
51,4
52,下列不属于四大文明古国的是（）。
53,1.0 分
54,窗体顶端
55,A、
56,古巴比伦
57,B、
58,古印度
59,C、
60,古埃及
61,D、
62,古希腊
63,窗体底端
64,我的答案：D
65,5
66,紧缩性的财政政策和扩张性的货币政策会导致（）。
67,1.0 分
68,窗体顶端
69,A、
70,产出增加，利率上升
71,B、
72,产出减少，利率下降
73,C、
74,产出变化不确定，利率下降
75,D、
76,产出增加，利率变化方向不确定
77,窗体底端
78,我的答案：C
79,6
80,民国时期，乡建学者所秉持的思想是（）
81,1.0 分
82,窗体顶端
83,A、
84,人本思想
85,B、
86,救国思想
87,C、
88,民本思想
89,D、
90,维稳思想
91,窗体底端
92,我的答案：C
93,7
94,下列国家中，实现了大农场农业的是（）。
95,1.0 分
96,窗体顶端
97,A、
98,英国
99,B、
100,中国
101,C、
102,印度
103,D、
104,巴西
105,窗体底端
106,我的答案：D
107,8
108,我国目前金融资产总量是（）。
109,1.0 分
110,窗体顶端
111,A、
112,128万亿
113,B、
114,161万亿
115,C、
116,188万亿
117,D、
118,176万亿
119,窗体底端
120,我的答案：A
121,9
122,以人为本最早是由谁提出的？（）
123,1.0 分
124,窗体顶端
125,A、
126,毛泽东
127,B、
128,邓小平
129,C、
130,江泽民
131,D、
132,胡锦涛
133,窗体底端
134,我的答案：C
135,10
136,中国历朝历代新政权都要做的一件事情是（）。
137,1.0 分
138,窗体顶端
139,A、
140,大赦天下
141,B、
142,发动战争
143,C、
144,均田免赋
145,D、
146,施行仁政
147,窗体底端
148,我的答案：C
149,11
150,三农问题的核心是（）。
151,1.0 分
152,窗体顶端
153,A、
154,农业问题
155,B、
156,农民问题
157,C、
158,农村问题
159,D、
160,权益问题
161,窗体底端
162,我的答案：B
163,12
164,欧盟国家中，百分之六十的农业从业者是（）。
165,1.0 分
166,窗体顶端
167,A、
168,农民
169,B、
170,市民
171,C、
172,资产阶级
173,D、
174,贵族
175,窗体底端
176,我的答案：B
177,13
178,中国威胁论的实质是：
179,1.0 分
180,窗体顶端
181,A、
182,中国经济增长速度持续增高
183,B、
184,中国三大资本过剩
185,C、
186,中国军队扩张
187,D、
188,中国武器研究水平先进
189,窗体底端
190,我的答案：B
191,14
192,下列关于城市积聚资本的影响描述正确的是（）。
193,1.0 分
194,窗体顶端
195,A、
196,促进市场经济发展
197,B、
198,集中外部性风险
199,C、
200,引发通货紧缩
201,D、
202,以上都有
203,窗体底端
204,我的答案：D
205,15
206,从超越意识形态和价值观的角度看中国，下列描述正确的是：
207,1.0 分
208,窗体顶端
209,A、
210,最大的原住民国家
211,B、
212,最大的小资国
213,C、
214,最大的中资国
215,D、
216,以上都含有
217,窗体底端
218,我的答案：D
219,16
220,公元前12世纪，迈锡尼王国最著名的战争是（）。
221,1.0 分
222,窗体顶端
223,A、
224,雅典战争
225,B、
226,特洛伊战争
227,C、
228,奥赛罗战争
229,D、
230,诺曼底战役
231,窗体底端
232,我的答案：B
233,17
234,人民公社时期，中国的土地所有制是：
235,1.0 分
236,窗体顶端
237,A、
238,土地国有
239,B、
240,土地私有
241,C、
242,土地集体所有制
243,D、
244,以上都不对
245,窗体底端
246,我的答案：C
247,18
248,以下哪种要素的流出不是农村社会衰败的因素之一？
249,1.0 分
250,窗体顶端
251,A、
252,土地
253,B、
254,劳动力
255,C、
256,资金
257,D、
258,技术
