,题目
0,1巴黎城改造的设计师是（）。
1,窗体顶端
2,A、钱伯斯
3,B、路易十三
4,C、路易十六
5,D、奥斯曼
6,窗体底端
7,正确答案： D 
8,2奥林匹亚宙斯神庙用的是柱子属于（）。
9,窗体顶端
10,         A、科林斯式
11,      B、多利亚式
12,         C、爱奥尼亚式
13,         D、罗马式
14,窗体底端
15,正确答案： B 
16,3福建闽南的建筑材料多用花岗岩，这是受（）因素影响。
17,窗体顶端
18,A、经济
19,B、政治
20,C、自然资源
21,D、自然环境
22,窗体底端
23,正确答案： D 
24,4皖北一带民居的特点是重视（）。
25,窗体顶端
26,A、武装防卫
27,B、雕刻
28,C、院落多而深
29,D、保护女眷
30,窗体底端
31,正确答案： A 
32,5“金字塔”的原文意思是（）。
33,窗体顶端
34,A、神的庙
35,B、王的陵墓
36,C、祭坛
37,D、角锥体
38,窗体底端
39,正确答案： D 
40,618世纪英国开始出现仿造自然的园林，原因包括其本身自然环境和（）。
41,窗体顶端
42,A、受中国园林影响
43,B、受伊斯兰园林影响
44,C、受希腊建筑影响
45,D、受罗马建筑影响
46,窗体底端
47,正确答案： A 
48,7在氏族社会，人们按照（）聚居。
49,窗体顶端
50,A、性别区分
51,B、年龄区别
52,C、血缘关系
53,D、等级关系
54,窗体底端
55,正确答案： C
56,8阿育王是印度孔雀王朝的第（）代君主。
57,窗体顶端
58,A、一
59,B、二
60,C、三
61,D、四
62,窗体底端
63,正确答案： C 
64,9中国古代的明瓦，采用的材料是（）。
65,窗体顶端
66,A、陶瓷
67,B、贝壳
68,C、石灰
69,D、木头
70,窗体底端
71,正确答案： B
72,10欧洲的近代园林最早出现在（）。
73,窗体顶端
74,A、英国
75,B、法国
76,C、意大利
77,D、荷兰
78,窗体底端
79,正确答案： C 
80,11三大金字塔包括胡夫金字塔、哈夫拉金字塔和（）。
81,窗体顶端
82,A、孟考拉金字塔
83,B、美杜姆金字塔
84,C、哈瓦拉金字塔
85,D、利斯特金字塔
86,窗体底端
87,正确答案： A 
88,12与悉尼歌剧院不属于同一类型的建筑是（）。
89,窗体顶端
90,A、布拉格“跳舞的女人”
91,B、古根海姆博物馆
92,C、新奥尔良市的意大利广场
93,D、包豪斯设计学院
94,窗体底端
95,正确答案： D
96,13下列说法中错误的是（）。
97,窗体顶端
98,A、自由女神像是法国人送给美国人的礼物
99,B、埃菲尔铁塔得名于它的设计者
100,C、按当时的设计要求，埃菲尔铁塔必须是世界上最高的建筑
101,D、卢浮宫金字塔的设计者是高迪
102,窗体底端
103,正确答案： D 
104,14罗可可风格有两个来源，分别是贵族追求享乐生活和（）。
105,窗体顶端
106,A、借鉴文艺复兴的艺术风格
107,B、借鉴巴洛克风格
108,C、借鉴印度建筑
109,D、借鉴中国瓷器、丝绸
110,窗体底端
111,正确答案： D 
112,15下列不属于巨人时代的代表性建筑的是（）。
113,窗体顶端
114,A、美第奇别墅
115,B、佛罗伦萨大教堂
116,C、圣彼得大教堂
117,D、流水别墅
118,窗体底端
119,正确答案： D 
120,16科洛塞姆角斗场是在（）的原址上修建的。（）
121,窗体顶端
122,A、海岛别庄
123,B、黄金宫殿
124,C、流水别墅
125,D、朗香教堂
126,窗体底端
127,正确答案： B 
128,17水晶宫的建筑特点不包括（）。
129,窗体顶端
130,A、采光好
131,B、拆卸容易
132,C、建筑里的原生树木并未移走
133,D、具有罗马建筑风格
134,窗体底端
135,正确答案： D 
136,18在世界七大奇迹中，下列哪项是基本荡然无存的？（）
137,窗体顶端
138,A、亚历山大灯塔
139,B、摩索拉斯王陵
140,C、胡夫金字塔
141,D、空中花园
142,窗体底端
143,正确答案： D 
144,19世界上最早的典型城市是（）。
145,A、耶利哥
146,B、摩亨佐•达罗
147,C、乌尔
148,D、乌鲁克
149,窗体底端
150,正确答案： B 
151,20五日一休沐，是（）古代官员的习惯。
152,窗体顶端
153,A、英国
154,B、罗马
155,C、印度
156,D、中国
157,窗体底端
158,正确答案： D 
159,21借景、隔景的设计体现了中式园林重（）的特点。
160,窗体顶端
161,A、造型美观
162,B、仿真性
163,C、象征性
164,D、对自然进行加工
165,窗体底端
166,正确答案： C 
167,22美国国家美术馆东馆的设计者是（）。
168,窗体顶端
169,A、林肯
170,B、林樱
171,C、柯布西耶
172,D、贝聿铭
173,窗体底端
174,正确答案： D 
175,23印度佛教遗址中，桑奇大塔和（）是最有名的两个代表。
176,窗体顶端
177,A、那烂陀寺
178,B、仰光大金塔
179,C、阿旃陀石窟
180,D、吴哥窟
181,窗体底端
182,正确答案： C 
183,24埃及最有名的阿蒙神庙是卢克索神庙和（）。
184,窗体顶端
185,A、得尔拜赫里神庙
