,题目
0,   成绩： 99.0分
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,与悉尼歌剧院不属于同一类型的建筑是（）。
5,1.0 分
6,窗体顶端
7,A、
8,布拉格“跳舞的女人”
9,B、
10,古根海姆博物馆
11,C、
12,新奥尔良市的意大利广场
13,D、
14,包豪斯设计学院
15,窗体底端
16,我的答案：D
17,2
18,日光灯是源于在（）上涂荧光粉而产生。
19,1.0 分
20,窗体顶端
21,A、
22,水银灯
23,B、
24,碘钨灯
25,C、
26,碳弧灯
27,D、
28,煤油灯
29,窗体底端
30,我的答案：A
31,3
32,梵天是（）。
33,0.0 分
34,窗体顶端
35,A、
36,五面佛
37,B、
38,四面佛
39,C、
40,三面佛
41,D、
42,二面佛
43,窗体底端
44,我的答案：C
45,4
46,三大金字塔包括胡夫金字塔、哈夫拉金字塔和（）。
47,1.0 分
48,窗体顶端
49,A、
50,孟考拉金字塔
51,B、
52,美杜姆金字塔
53,C、
54,哈瓦拉金字塔
55,D、
56,利斯特金字塔
57,窗体底端
58,我的答案：A
59,5
60,借景、隔景的设计体现了中式园林重（）的特点。
61,1.0 分
62,窗体顶端
63,A、
64,造型美观
65,B、
66,仿真性
67,C、
68,象征性
69,D、
70,对自然进行加工
71,窗体底端
72,我的答案：C
73,6
74,碳弧灯的使用场所一般不包括（）。
75,1.0 分
76,窗体顶端
77,A、
78,公园
79,B、
80,灯塔
81,C、
82,宴会
83,D、
84,卧室
85,窗体底端
86,我的答案：D
87,7
88,人类历史上第一个现代建筑是（）。
89,1.0 分
90,窗体顶端
91,A、
92,埃菲尔铁塔
93,B、
94,水晶宫
95,C、
96,凡尔赛宫
97,D、
98,凯旋门
99,窗体底端
100,我的答案：B
101,8
102,之所以称威尼斯“正在死亡”，是因为（）。
103,1.0 分
104,窗体顶端
105,A、
106,经济滑坡
107,B、
108,政治动荡
109,C、
110,水平面升高
111,D、
112,空气质恶化
113,窗体底端
114,我的答案：C
115,9
116,关于中国古代的灯，描述错误的是（）。
117,1.0 分
118,窗体顶端
119,A、
120,植物油和动物油都可作为燃料
121,B、
122,可供古代矿工使用
123,C、
124,很多宫灯也是艺术品
125,D、
126,有些灯底有水是为了防火
127,窗体底端
128,我的答案：D
129,10
130,古希腊雅典三大雕刻家之首是（）。
131,1.0 分
132,窗体顶端
133,A、
134,菲狄亚斯
135,B、
136,米隆
137,C、
138,波利克里托斯
139,D、
140,拉斐尔·桑西
141,窗体底端
142,我的答案：A
143,11
144,世界上第一届世博会的标志性建筑是（）。
145,1.0 分
146,窗体顶端
147,A、
148,水晶宫
149,B、
150,凡尔赛宫
151,C、
152,埃菲尔铁塔
153,D、
154,凯旋门
155,窗体底端
156,我的答案：A
157,12
158,教堂的风格主要有哥特式和（）。
159,1.0 分
160,窗体顶端
161,A、
162,巴洛克式
163,B、
164,洛可可式
165,C、
166,希腊式
167,D、
168,罗马式
169,窗体底端
170,我的答案：D
171,13
172,在印第安古迹中，有（）在库斯科建的太阳神庙。
173,1.0 分
174,窗体顶端
175,A、
176,阿兹特克人
177,B、
178,玛雅人
179,C、
180,基奥瓦人
181,D、
182,印加人
183,窗体底端
184,我的答案：D
185,14
186,苏州河外白渡桥使用的材料是（）。
187,1.0 分
188,窗体顶端
189,A、
190,木头
191,B、
192,石头
193,C、
194,钢铁
195,D、
196,砖块
197,窗体底端
198,我的答案：C
199,15
200,关于包豪斯建筑的特点，不正确的是（）。
201,1.0 分
202,窗体顶端
203,A、
204,源于德国的一所学校
205,B、
206,属于大众建筑，造价低廉
207,C、
208,重视装饰
209,D、
210,大量使用玻璃幕墙
211,窗体底端
212,我的答案：C
213,16
214,英国巨石阵的建筑结构是（）。
215,1.0 分
216,窗体顶端
217,A、
218,三石塔
219,B、
220,四石塔
221,C、
222,五石塔
223,D、
224,六石塔
225,窗体底端
226,我的答案：A
227,17
228,与西方园林相比，中国园林一个显著特点是（）。
229,1.0 分
230,窗体顶端
231,A、
232,虚拟性
233,B、
234,仿真性
235,C、
236,追求实用
237,D、
238,追求艺术性
239,窗体底端
240,我的答案：A
241,18
242,藏书楼“天一阁”的得名是希望防止（）。
243,1.0 分
244,窗体顶端
245,A、
246,地震
247,B、
248,火灾
249,C、
250,洪灾
251,D、
252,盗窃
253,窗体底端
254,我的答案：B
255,19
256,关于巴洛克艺术风格，描述错误的是（）。
257,1.0 分
258,窗体顶端
259,A、
260,过于注重形式
261,B、
262,设计繁复
263,C、
264,追求新奇
265,D、
266,有复古的倾向
267,窗体底端
268,我的答案：D
269,20
270,下列关于威尼斯描述不正确的是（）。
271,1.0 分
272,窗体顶端
273,A、
274,具有较早的城市功能分区概念
275,B、
276,其中心广场叫圣马可广场
277,C、
278,最初以纺织业闻名
279,D、
280,马可波罗的故乡
281,窗体底端
282,我的答案：C
283,21
284,中国的塔分（）两种类型。
285,1.0 分
286,窗体顶端
287,A、
288,金刚宝座式和楼阁式
289,B、
290,覆钵式和楼阁式
291,C、
292,楼阁式和密檐式
293,D、
294,金刚宝座式和密檐式
295,窗体底端
296,我的答案：C
297,22
298,蒙古人在灭亡阿拔斯王朝后，新建了国家（）。
299,1.0 分
300,窗体顶端
301,A、
302,钦察汗国
303,B、
304,伊儿汗国
305,C、
306,察合台汗国
307,D、
308,窝阔台汗国
309,窗体底端
310,我的答案：B
311,23
312,克里特岛王宫的挖掘者来自（）。
313,1.0 分
314,窗体顶端
315,A、
316,美国
317,B、
318,英国
319,C、
320,法国
321,D、
322,希腊
323,窗体底端
324,我的答案：B
325,24
326,（）曾经提出应该将北京古城加以保护，并不要在此发展工业。
327,1.0 分
328,窗体顶端
329,A、
330,吴晗
331,B、
332,梁思成
333,C、
334,钱钟书
335,D、
336,郭沫若
337,窗体底端
338,我的答案：B
339,25
340,庞贝古城经历灾难后唯一没有被压倒的一座建筑是（）。
341,1.0 分
342,窗体顶端
343,A、
344,医院
345,B、
346,学校
347,C、
348,浴室
349,D、
350,剧场
351,窗体底端
352,我的答案：C
353,26
354,关于流水别墅，描述错误的是（）。
355,1.0 分
356,窗体顶端
357,A、
358,房屋建在瀑布之上
359,B、
360,建筑精美
361,C、
362,是美国著名建筑
363,D、
364,就地取材
365,窗体底端
366,我的答案：B
367,27
368,香山饭店、苏州博物馆是（）的设计作品。
369,1.0 分
370,窗体顶端
371,A、
372,梁思成
373,B、
374,赖特
375,C、
376,库哈斯
377,D、
378,贝聿铭
379,窗体底端
380,我的答案：D
381,28
382,下列不属于徽州民居建筑特点的是（）。
383,1.0 分
384,窗体顶端
385,A、
386,窗户很小
387,B、
388,墙体色彩斑斓
389,C、
390,有些房屋没有屋顶
391,D、
392,高墙围护
393,窗体底端
394,我的答案：B
395,29
396,在印第安古迹中，（）的文明成就最高。
397,1.0 分
398,窗体顶端
399,A、
400,阿兹特克人
401,B、
402,玛雅人
403,C、
404,印加人
405,D、
406,阿拉帕霍人
407,窗体底端
408,我的答案：B
409,30
410,乌尔塔庙的第四层代表（）。
411,1.0 分
412,窗体顶端
413,A、
414,人间
415,B、
416,天堂
417,C、
418,月亮
419,D、
420,太阳
421,窗体底端
422,我的答案：D
423,31
424,与李白的诗句“千百家似围棋局”有关的地点是（）。
425,1.0 分
426,窗体顶端
427,A、
428,洛阳
429,B、
430,南京
431,C、
432,长安
433,D、
434,北京
435,窗体底端
436,我的答案：C
437,32
438,20世纪30年代的东亚最高建筑是上海的（）。
439,1.0 分
440,窗体顶端
441,A、
442,张园
443,B、
444,国际饭店
445,C、
446,海关建筑
447,D、
448,华俄道胜银行
449,窗体底端
450,我的答案：B
451,33
452,9·11事件中，倒塌的世贸大厦是由（）设计的。
453,1.0 分
454,窗体顶端
455,A、
456,密斯
457,B、
458,贝聿铭
459,C、
460,山崎实
461,D、
462,富勒
463,窗体底端
464,我的答案：C
465,34
466,乾隆年间，班禅在来京的路上因拒绝种人痘，最终染（）而死。
467,1.0 分
468,窗体顶端
469,A、
470,鼠疫
471,B、
472,霍乱
473,C、
474,疟疾
475,D、
476,天花
477,窗体底端
478,我的答案：D
479,35
480,英国园艺师威廉·肯特及其弟子布朗，他们所倡导的园林特点不包括（）。
481,1.0 分
482,窗体顶端
483,A、
484,保留自然环境中河流本来的样子
485,B、
486,不用笔直的大道
487,C、
488,有几何图案的草坪
489,D、
490,保留古迹
491,窗体底端
492,我的答案：C
493,36
494,古希腊面积最大的城邦是（）。
495,1.0 分
496,窗体顶端
497,A、
498,雅典
499,B、
500,斯巴达
501,C、
502,科林斯
503,D、
504,叙拉古
505,窗体底端
506,我的答案：B
507,37
508,“田园城市”莱奇华斯是在（）的倡导下建立的。
509,1.0 分
510,窗体顶端
511,A、
512,霍华德
513,B、
514,柯布西耶
515,C、
516,沙里宁
517,D、
518,沙利文
519,窗体底端
520,我的答案：A
521,38
522,基督教合法化以后，最早建的教堂叫（）建筑。
523,1.0 分
524,窗体顶端
525,A、
526,巴洛克式建筑
527,B、
528,洛可可式建筑
529,C、
530,巴西利卡
531,D、
532,拜占庭式建筑
533,窗体底端
534,我的答案：C
535,39
536,圆明园中有（）组西洋园林。
537,1.0 分
538,窗体顶端
539,A、
540,9
541,B、
542,8
543,C、
544,7
545,D、
546,6
547,窗体底端
548,我的答案：D
549,40
550,18世纪英国开始出现仿造自然的园林，原因包括其本身自然环境和（）。
551,1.0 分
552,窗体顶端
553,A、
554,受中国园林影响
555,B、
556,受伊斯兰园林影响
557,C、
558,受希腊建筑影响
559,D、
560,受罗马建筑影响
561,窗体底端
562,我的答案：A
563,41
564,城堡的主建筑是用于（）的。
565,1.0 分
566,窗体顶端
567,A、
568,军事防御
569,B、
570,军事进攻
571,C、
572,存放兵器
573,D、
574,居住
575,窗体底端
576,我的答案：D
577,42
578,五日一休沐，是（）古代官员的习惯。
579,1.0 分
580,窗体顶端
581,A、
582,英国
583,B、
584,罗马
585,C、
586,印度
587,D、
588,中国
589,窗体底端
590,我的答案：D
591,43
592,巴黎城改造的设计师是（）。
593,1.0 分
594,窗体顶端
595,A、
596,钱伯斯
597,B、
598,路易十三
599,C、
600,路易十六
601,D、
602,奥斯曼
603,窗体底端
604,我的答案：D
605,44
606,万神庙是（）皇帝在位时设计的。
607,1.0 分
608,窗体顶端
609,A、
610,尼禄
611,B、
612,哈德良
613,C、
614,凯撒
615,D、
