,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,唐太宗选择保护高宗的核心人物是：（）
3,1.0 分
4,窗体顶端
5,A、
6,长孙无忌
7,B、
8,刘季
9,C、
10,张亮
11,D、
12,以上答案都正确
13,窗体底端
14,正确答案： A 我的答案：A
15,2
16,唐朝时期，“曳白”指的是：（）
17,1.0 分
18,窗体顶端
19,A、
20,交白卷
21,B、
22,考零分
23,C、
24,状元的别称
25,D、
26,进士的统称
27,窗体底端
28,正确答案： A 我的答案：A
29,3
30,在均田制瓦解，社会变迁之际，唐玄宗时期只是推出了下列哪种政策：（）
31,1.0 分
32,窗体顶端
33,A、
34,完善私有制的法规
35,B、
36,建立完整的义务兵役制
37,C、
38,新的土地政策的法令
39,D、
40,使职
41,窗体底端
42,正确答案： D 我的答案：D
43,4
44,唐朝为了解决不均的问题，主要在下列哪个法令上做出了改革：（）
45,0.0 分
46,窗体顶端
47,A、
48,继承法
49,B、
50,兵役法
51,C、
52,刑法
53,D、
54,税收法
55,窗体底端
56,正确答案： A 我的答案：D
57,5
58,负责文化教育的部门是：（）
59,1.0 分
60,窗体顶端
61,A、
62,吏部
63,B、
64,礼部
65,C、
66,工部
67,D、
68,户部
69,窗体底端
70,正确答案： B 我的答案：B
71,6
72,通过礼部试考试合格的人被称为：（）
73,1.0 分
74,窗体顶端
75,A、
76,举人
77,B、
78,进士
79,C、
80,孝廉
81,D、
82,秀才
83,窗体底端
84,正确答案： B 我的答案：B
85,7
86,隋朝灭亡的原因主要是因为：（）
87,1.0 分
88,窗体顶端
89,A、
90,攻打高丽的战争耗费
91,B、
92,官员贪污腐化
93,C、
94,农民起义
95,D、
96,隋朝政府不爱护老百姓
97,窗体底端
98,正确答案： D 我的答案：D
99,8
100,在汉代，和丞相平级的单位是：（）
101,0.0 分
102,窗体顶端
103,A、
104,廷尉和御史
105,B、
106,九卿和御史
107,C、
108,军队和御史
109,D、
110,军队和九卿
111,窗体底端
112,正确答案： C 我的答案：A
113,9
114,古代山东人指的是：（）
115,1.0 分
116,窗体顶端
117,A、
118,太行山以东的人
119,B、
120,今天山东省的人
121,C、
122,泰山以东的人
123,D、
