,题目
0,
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,苏州园林中，现存的历史最悠久的园林是（）。
5,1.0 分
6,窗体顶端
7,A、
8,狮子林
9,B、
10,拙政园
11,C、
12,留园
13,D、
14,沧浪亭
15,窗体底端
16,我的答案：D
17,2
18,关于瘦西湖，下列说法不正确的是。（）
19,1.0 分
20,窗体顶端
21,A、
22,建于皇家园林内部
23,B、
24,位于扬州市
25,C、
26,曾作护城河
27,D、
28,面积小于杭州西湖
29,窗体底端
30,我的答案：A
31,3
32,武当山现存最为完好的木结构建筑是（）。
33,1.0 分
34,窗体顶端
35,A、
36,铜殿
37,B、
38,古铜殿
39,C、
40,紫霄殿
41,D、
42,灵官殿
43,窗体底端
44,我的答案：C
45,4
46,将武当山天柱峰上的道宫命名为““大岳太和宫”的古代帝王是（）。
47,1.0 分
48,窗体顶端
49,A、
50,明仁宗朱高炽
51,B、
52,建文帝朱允炆
53,C、
54,明太祖朱元璋
55,D、
56,明成祖朱棣
57,窗体底端
58,我的答案：D
59,5
60,北京故宫的护城河宽度为（）。
61,1.0 分
62,窗体顶端
63,A、
64,46米
65,B、
66,48米
67,C、
68,50米
69,D、
70,52米
71,窗体底端
72,我的答案：D
73,6
74,中国现有最大的皇家园林是（）。
75,1.0 分
76,窗体顶端
77,A、
78,颐和园
79,B、
80,圆明园
81,C、
82,故宫
83,D、
84,承德避暑山庄
85,窗体底端
86,我的答案：D
87,7
88,“已是悬崖百丈冰，犹有花枝俏”一句，描写的是以下哪种花卉？（）
89,1.0 分
90,窗体顶端
91,A、
92,菊花
93,B、
94,兰花
95,C、
96,梅花
97,D、
98,忍冬花
99,窗体底端
100,我的答案：C
101,8
102,以下属于园林建筑中突出主景的方法的是（）。
103,1.0 分
104,窗体顶端
105,A、
106,主景抬高
107,B、
108,中轴对称
109,C、
110,对比
111,D、
112,以上都是
113,窗体底端
114,我的答案：D
115,9
116,关于园林道路的设计，下列说法正确的一项是（）。
117,1.0 分
118,窗体顶端
119,A、
120,园路交叉处应为锐角
121,B、
122,城市公园主路应在3米左右
123,C、
124,园路设计一般忌出现平行路
125,D、
126,水上道路越长越好
127,窗体底端
128,我的答案：C
129,10
130,圆明园中的福海三岛，表达了古代君主的哪种思想？（）
131,1.0 分
132,窗体顶端
133,A、
134,希望施行仁政
135,B、
136,扩大疆土
137,C、
138,对世界的好奇
139,D、
140,渴望长生不老
141,窗体底端
142,我的答案：D
143,11
144,打破宇称守恒定律的科学家是（）。
145,1.0 分
146,窗体顶端
147,A、
148,钱学森和邓稼先
149,B、
150,丁肇中和钱三强
151,C、
152,李政道和杨振宁
153,D、
154,周培源和严济慈
155,窗体底端
156,我的答案：C
157,12
158,第一届“世界园林园艺博览会”的举办地点是（）。
159,0.0 分
160,窗体顶端
161,A、
162,昆明
163,B、
164,沈阳
