,题目
0,1 猫叫综合征属于（）的遗传病。
1,A、 
2,染色体数目减少 
3,B、 
4,染色体数目增加 
5,C、 
6,染色体结构变化 
7,D、 
8,以上都对 
9,我的答案：C 
10,2 中医理论中，人体有（）条经络。
11,A、 十 
12,B、 十二 
13,C、 十四 
14,D、 十六 
15,我的答案：C 
16,3 
17,动物体内的糖原主要储藏在（）里边。
18,A、 肝脏 
19,B、 胃 
20,C、 脾 
21,D、 肠 
22,我的答案：A 
23,4 
24,下列不属于生态环境演变的原因的是（）。
25,A、 
26,气象气候 
27,B、 
28,种群竞争 
29,C、 
30,生物群落自身的演变 
31,D、 
32,人类改变自然的活动 
33,我的答案：B 
34,5 
35,遗传病的治疗分为两种，分别是（）。
36,A、 
37,性细胞治疗和体细胞治疗 
38,B、 
39,体外治疗和体内治疗 
40,C、 
41,基因治疗和后天治疗 
42,D、 
43,胎盘治疗和妊娠治疗 
44,我的答案：A 
45,6 
46,目前中国人口的男女性别比例大概是（）。
47,A、 
48,1.05:1 
49,B、 
50,1.18:1 
51,C、 
52,1.31:1 
53,D、 
54,1.46:1 
55,我的答案：B 
56,7 
57,（）属于免疫过激所造成的疾病。
58,A、 
59,丙种球蛋白血症 
60,B、 
61,白化病 
62,C、 
63,血友病 
64,D、 
65,红斑狼疮 
66,我的答案：D 
67,8 
68,下列物质中属于多糖的是（）。
69,A、 
70,淀粉 
71,B、 
72,糖原 
73,C、 
74,纤维素 
75,D、 
76,以上都对 
77,我的答案：D 
78,9 
79,（）主要是在血液中，抑制入侵血液的细菌和凝结细菌。
80,A、 
81,IgG 
82,B、 
83,IgM 
84,C、 
85,IgA 
86,D、 
87,IgD 
88,我的答案：B 
89,10 
90,对于有性生殖的生物，我们用（）作为总的物种界别方法。
91,A、 
92,形态结构 
93,B、 
94,生理现象 
95,C、 
96,生殖隔离 
97,D、 
98,以上都对 
99,我的答案：C 
100,11 
101,生物进化过程中，蛋白质生命可以从水里爬上陆地的条件是（）形成以后。
102,A、 
