,题目
0,
1, 
2,1
3,天鹅椅是哪位设计师的作品？
4,1.0 分
5,窗体顶端
6,A、
7,艾洛·阿尼奥
8, 
9,B、
10,Alvar Aalto
11, 
12,C、
13,雅各布森
14, 
15,D、
16,里特维尔德
17, 
18,窗体底端
19,我的答案：C
20,2
21,在矿泉水瓶身上做记号，主要目的是什么？
22,1.0 分
23,窗体顶端
24,A、
25,防止拿错
26, 
27,B、
28,提高品位
29, 
30,C、
31,增加情趣
32, 
33,D、
34,扩大宣传
35, 
36,窗体底端
37,我的答案：A
38,3
39,视频中提到5W2H，下列哪个不属于5W中的内容？
40,1.0 分
41,窗体顶端
42,A、
43,when
44, 
45,B、
46,what
47, 
48,C、
49,why
50, 
51,D、
52,how
53, 
54,窗体底端
55,我的答案：D
56,4
57,“我所做的无非是模仿自然界向我们揭示的种种真实”这句话是谁的精彩言论？
58,1.0 分
59,窗体顶端
60,A、
61,高迪
62, 
63,B、
64,克拉尼
65, 
66,C、
67,汉宁森
68, 
69,D、
70,雷蒙德罗维
71, 
72,窗体底端
73,我的答案：B
74,5
75,下列哪个不是视频中提到的从事设计工作的素质？
76,1.0 分
77,窗体顶端
78,A、
79,有新颖的创意
80, 
81,B、
82,善于发现生活的问题
83, 
84,C、
85,喜欢改变和挑战
86, 
87,D、
88,不喜欢动脑
89, 
90,窗体底端
91,我的答案：D
92,6
93,由72片金属片镶嵌而成的灯，作者是谁？
94,1.0 分
95,窗体顶端
96,A、
97,海明威
98, 
99,B、
100,沙里宁
101, 
102,C、
103,汉宁森
104, 
105,D、
106,高迪
107, 
108,窗体底端
109,我的答案：C
110,7
111,亨利福特在他的T型车问世之前，曾经尝试了多少个车型都失败了？
112,1.0 分
113,窗体顶端
114,A、
115,19
116, 
117,B、
118,20
119, 
120,C、
121,22
122, 
123,D、
124,26
125, 
126,窗体底端
127,我的答案：A
128,8
129,下列哪个不是视频中提到的设计的性质？
130,1.0 分
131,窗体顶端
132,A、
133,设计具有美观性
134, 
135,B、
136,设计具有魔幻性
137, 
138,C、
139,设计具有商业性
140, 
141,D、
142,设计具有宜人性
143, 
144,窗体底端
145,我的答案：B
146,9
147,我们讲了一个什么样的设计原则？
148,1.0 分
149,窗体顶端
150,A、
151,意料之外，情理之中
152, 
153,B、
154,意料之外，情理之外
155, 
156,C、
157,意料之中，情理之中
158, 
159,D、
160,意料之中，情理之外
161, 
162,窗体底端
163,我的答案：A
164,10
165,我们讲到的卫生间小便池应该改进什么方面？
166,1.0 分
167,窗体顶端
168,A、
169,形状
170, 
171,B、
172,颜色
173, 
174,C、
175,高度
176, 
177,D、
178,材质
179, 
180,窗体底端
181,我的答案：C
182,11
183,下列哪个不是现代设计成长期的特点？
184,1.0 分
185,窗体顶端
186,A、
187,功能为导向
188, 
189,B、
190,商业为导向
191, 
192,C、
193,市场高速发展
194, 
