,题目
0,1 
1,要得出具体的、包含内容非常多的词典的话，一定要用（）。
2,窗体顶端
3,
4,A、 
5,访谈 
6, 
7,B、 
8,问卷法 
9, 
10,C、 
11,专家询问 
12, 
13,D、 
14,T检验 
15, 
16,窗体底端
17,正确答案： B 我的答案：B 
18,2 
19,现代职场中所讲的承诺是指（）。
20,窗体顶端
21,
22,A、 
23,终身雇佣 
24, 
25,B、 
26,遵纪守法 
27, 
28,C、 
29,价值观 
30, 
31,D、 
32,工作积极 
33, 
34,窗体底端
35,正确答案： C 我的答案：C 
36,3 
37,汇总分数时，如果不能够简单相加的话，最简单的分数算法是（）。
38,窗体顶端
39,
40,A、 
41,所有相加取平均值 
42, 
43,B、 
44,多元回归 
45, 
46,C、 
47,取出一个最高一个最低分，取平均值 
48, 
49,D、 
50,多重录用分数线法 
51, 
52,窗体底端
53,正确答案： B 我的答案：A 
54,4 
55,某一组在某一个胜任特征上的编码次数之和叫做（）。
56,窗体顶端
57,
58,A、 
59,总平次 
60, 
61,B、 
62,总频次 
63, 
64,C、 
65,总数 
66, 
67,D、 
68,权值 
69, 
70,窗体底端
71,正确答案： A 我的答案：A 
72,5 
73,人力资源规划的三个逻辑基础不包括（）。
74,窗体顶端
75,
76,A、 
77,业务和战略分析 
78, 
79,B、 
80,供给与需求分析 
81, 
82,C、 
83,采取的具体措施 
84, 
85,D、 
86,产生的后果 
87, 
88,窗体底端
89,正确答案： D 我的答案：D 
90,6 
91,猎头公司一般针对（）。
92,窗体顶端
93,
94,A、 
95,基层工作人员 
96, 
97,B、 
98,操作工 
99, 
100,C、 
101,中高层管理人员 
102, 
103,D、 
104,研发人员 
105, 
106,窗体底端
107,正确答案： C 我的答案：C 
108,7 
109,人的行为是可以（）。
110,窗体顶端
111,
112,A、 
113,杂乱的 
114, 
115,B、 
116,无序的 
117, 
118,C、 
119,被预测的 
120, 
121,D、 
122,不能被预测的 
123, 
124,窗体底端
125,正确答案： C 我的答案：C 
126,8 
127,我国历史上人才选拔的方式不包括（）。
128,窗体顶端
129,
130,A、 
131,擂台 
132, 
133,B、 
134,推举 
135, 
136,C、 
137,世袭 
138, 
139,D、 
140,推荐 
141, 
142,窗体底端
143,正确答案： A 我的答案：A 
144,9 
145,关于筛选简历的注意点，不正确的是（）。
146,窗体顶端
147,
148,A、 
149,对简历期望不要太高 
150, 
151,B、 
152,不要过分重视胜任力指标 
153, 
154,C、 
155,尽量避免主观性 
156, 
157,D、 
158,重视内部指标 
159, 
160,窗体底端
161,正确答案： D 我的答案：D 
162,10 
163,做差异时主要采用的指标是（）。
164,窗体顶端
165,
166,A、 
167,几何平均数 
168, 
169,B、 
170,平均等级分数 
171, 
172,C、 
173,最高等级分数 
174, 
175,D、 
176,总平次 
177, 
178,窗体底端
179,正确答案： B 我的答案：B 
180,11 
181,关于招聘广告，表述不正确的是（）。 
182,窗体顶端
183,
184,A、 
185,快 
186, 
187,B、 
188,信息多 
189, 
190,C、 
191,成本高 
192, 
193,D、 
194,受众有限制 
195, 
196,窗体底端
197,正确答案： C 我的答案：C 
198,12 
199,关于心理测验，说法不正确的是（）。
200,窗体顶端
201,
202,A、 
203,很复杂 
204, 
205,B、 
206,可以交给专业机构负责 
207, 
208,C、 
209,是人力资源选拔的唯一依据 
210, 
211,D、 
212,是人力资源选拔的参考 
213, 
214,窗体底端
215,正确答案： C 我的答案：C 
216,13 
217,问完固定问题之后追问一些问题，这一般被称为什么问题？（）
218,窗体顶端
219,
220,A、 
221,半结构化问题 
222, 
223,B、 
224,结构化问题 
225, 
226,C、 
227,行为问题 
228, 
229,D、 
230,压力面试 
231, 
232,窗体底端
233,正确答案： A 我的答案：A 
234,14 
235,人力资源管理中哪个问题必须从高层入手（）。
236,窗体顶端
237,
238,A、 
239,工资绩效改革 
240, 
241,B、 
242,人员要求 
243, 
244,C、 
245,技能发展 
246, 
247,D、 
248,关键业务 
249, 
250,窗体底端
251,正确答案： A 我的答案：A 
252,15 
253,人力资源工作的最终目的是（）。
254,窗体顶端
255,
256,A、 
257,激励 
258, 
259,B、 
260,督促 
261, 
262,C、 
263,评价 
264, 
265,D、 
266,盈利 
267, 
268,窗体底端
269,正确答案： A 我的答案：A 
270,16 
271,“在招聘人才时，这么庞大的劳动力市场，我们根本不用发愁招不到人”体现的是哪种招聘不足？（）
272,窗体顶端
273,
274,A、 
275,定位不高远 
276, 
277,B、 
278,准备不足 
279, 
280,C、 
281,指标模糊 
282, 
283,D、 
284,招聘被动 
285, 
286,窗体底端
287,正确答案： D 我的答案：D 
288,17 
289,招聘的原则不涉及（）。
290,窗体顶端
291,
292,A、 
293,公开 
294, 
295,B、 
296,平等、择优 
297, 
298,C、 
299,单面、迅速 
300, 
301,D、 
302,竞争 
303, 
304,窗体底端
305,正确答案： C 我的答案：C 
306,18 
307,整个建立胜任特征模型的本质是（）。
308,窗体顶端
309,
310,A、 
311,通过不同的人与同一人的理解和把握，形成大家一致认可的能力词典 
312, 
313,B、 
314,通过不同的人与不同人的理解和把握，形成大家一致认可的能力词典 
315, 
316,C、 
317,验证编码的正确 
318, 
319,D、 
320,找出编码时候的问题 
321, 
322,窗体底端
323,正确答案： B 我的答案：B 
324,19 
325,企业在刚开始创业阶段更需要的是（）。
326,窗体顶端
327,
328,A、 
329,通才 
330, 
331,B、 
332,专才 
333, 
334,C、 
335,天才 
336, 
337,D、 
338,冒险人 
339, 
340,窗体底端
341,正确答案： A 我的答案：A 
342,20 
343,无领导小组讨论的题目一定要具有（）。
344,窗体顶端
345,
346,A、 
347,收敛性 
348, 
349,B、 
350,发散性 
351, 
352,C、 
353,争论性 
354, 
355,D、 
356,一致性 
357, 
358,窗体底端
359,正确答案： C 我的答案：C 
360,21 
361,简历和申请表的区别是（）。
362,窗体顶端
363,
364,A、 
365,按谁的格式 
366, 
367,B、 
368,内容完全不同 
369, 
370,C、 
371,形式完全不同 
372, 
373,D、 
374,没有区别 
375, 
376,窗体底端
377,正确答案： A 我的答案：A 
378,22 
379,对于面试演练，大家要思考的问题不包括（）。
380,窗体顶端
381,
382,A、 
383,这次面试中提出的问题和你以前碰到的面试中的问题有什么区别，如果有区别，那区别是什么 
384, 
385,B、 
386,应聘者的风格是什么 
387, 
388,C、 
389,如果你是这个面试者，你的回答和他是否一样 
390, 
391,D、 
392,如果你来回答，你会回答哪些内容 
393, 
394,窗体底端
395,正确答案： B 我的答案：B 
396,23 
397,无领导小组讨论实施阶段，首先要做的是（）。
398,窗体顶端
399,
400,A、 
401,讨论 
402, 
403,B、 
404,个人答题 
405, 
406,C、 
407,考官陈述指导语 
408, 
409,D、 
410,总结 
411, 
412,窗体底端
413,正确答案： C 我的答案：C 
414,24 
415,工作描述内容不涉及（）。 
416,窗体顶端
417,
418,A、 
419,基本信息 
420, 
421,B、 
422,工作概要 
423, 
424,C、 
425,任职资格 
426, 
427,D、 
428,工作职责 
429, 
430,窗体底端
431,正确答案： C 我的答案：C 
432,25 
433,工作分析方法的运用原则是（）。
434,窗体顶端
435,
436,A、 
437,一上来就必须是PAQ 
438, 
439,B、 
440,自己组合顺序 
441, 
442,C、 
443,按照既定的顺序来 
444, 
445,D、 
446,能简单就简单 
447, 
448,窗体底端
449,正确答案： D 我的答案：D 
450,26 
451,人力资源管理要以什么为本（）。
452,窗体顶端
453,
454,A、 
455,人 
456, 
457,B、 
458,管理 
459, 
460,C、 
461,理论 
462, 
463,D、 
