,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,罗伯特•斯克里布纳认为莫勒关于宗教改革主体的研究问题在于（）。
3,1.0 分
4,窗体顶端
5,A、
6,选择的样本过少
7, 
8,B、
9,过高评价了城市的价值
10, 
11,C、
12,样本的选择范围过窄
13, 
14,D、
15,没有对比城市于乡村的情况
16, 
17,窗体底端
18,我的答案：B
19,2
20,但丁认为，为了能够进入天堂人要竭尽所能。其关键是要有（）。
21,1.0 分
22,窗体顶端
23,A、
24,善行
25, 
26,B、
27,诚心
28, 
29,C、
30,美德
31, 
32,D、
33,信仰
34, 
35,窗体底端
36,我的答案：C
37,3
38,希腊文化认为，最为抽象的艺术形式是（）。
39,1.0 分
40,窗体顶端
41,A、
42,诗歌
43, 
44,B、
45,音乐
46, 
47,C、
48,绘画
49, 
50,D、
51,雕刻
52, 
53,窗体底端
54,我的答案：A
55,4
56,14世纪导致农业秩序危机，从而导致贵族领地经济变化的是（）。
57,1.0 分
58,窗体顶端
59,A、
60,蝗灾
61, 
62,B、
63,黑死病
64, 
65,C、
66,天花
67, 
68,D、
69,极端天气
70, 
71,窗体底端
72,我的答案：B
73,5
74,以希腊文化的角度来看，罗马文化主要的问题是（）。
75,1.0 分
76,窗体顶端
77,A、
78,俗
79, 
80,B、
81,无用
82, 
83,C、
84,实用
85, 
86,D、
87,功利
88, 
89,窗体底端
90,我的答案：A
91,6
92,（）之间的贵族可以被称为等级贵族。
93,1.0 分
94,窗体顶端
95,A、
96,10世纪到12世纪
97, 
98,B、
99,11世纪到13世纪
100, 
101,C、
102,12世纪到14世纪
103, 
104,D、
105,13世纪到15世纪
106, 
107,窗体底端
108,我的答案：C
109,7
110,介于天上的理想原型与人间的客观世界原型的艺术品可以称作（）。
111,1.0 分
112,窗体顶端
113,A、
114,理性世界
115, 
116,B、
117,象征世界
118, 
119,C、
120,幻想世界
121, 
122,D、
123,现实世界
124, 
125,窗体底端
126,我的答案：B
127,8
128,耶稣的教导中指出，作为一个基督徒，有四件事特别重要。其中不包括（）。
129,1.0 分
130,窗体顶端
131,A、
132,有味的盐
133, 
134,B、
135,世上的光
136, 
137,C、
138,山上的城
