,题目
0,为了娱乐而扮演发生在戏剧从不自觉走向自觉的哪个阶段（）。0.0 分
1,A、
2,第一个阶段
3,B、
4,第二个阶段
5,C、
6,第三个阶段
7,D、
8,第四个阶段
9,正确答案： C 我的答案：B
10,2希腊酒神节戏剧表演中，面具的重要作用在于（）。0.0 分
11,A、
12,避免过度夸张
13,B、
14,帮助观众理解
15,C、
16,烘托角色效果
17,D、
18,遮盖演员形象
19,正确答案： C 我的答案：B
20,3即兴演出喜剧最早是在希腊的（）这一节上。0.0 分
21,A、
22,大酒神节
23,B、
24,勒奈亚节
25,C、
26,乡村酒神节
27,D、
28,勒布那节
29,正确答案： B 我的答案：A
30,4戏剧创造与欣赏离不开想象力，而想象力的丰富其实质是（）的丰富。0.0 分
31,A、
32,经验
33,B、
34,思维
35,C、
36,情感
37,D、
38,阅历
39,正确答案： C 我的答案：B
40,5从（）这名戏剧家以后，古希腊戏剧逐渐走向衰落。2.0 分
41,A、
42,忒斯庇斯
43,B、
44,欧里庇得斯
45,C、
46,索福克勒
47,D、
48,埃斯库罗斯
49,正确答案： B 我的答案：B
50,6现代戏剧独白的功用不包括：2.0 分
51,A、
52,剖析人物心理
53,B、
54,揭示人物潜意识
55,C、
56,表现人物幻觉
57,D、
58,强化表演效果
59,正确答案： D 我的答案：D
60,7演员的舞台三要素为，动作、（）和调度。0.0 分
61,A、
62,语言
63,B、
64,思维
65,C、
66,形象
67,D、
68,立意
69,正确答案： D 我的答案：A
70,8()是指欣赏者与创作者处于同一时空间内，这是戏剧形成的底线。2.0 分
71,A、
72,录影观赏
73,B、
74,剧场表演
75,C、
76,复述剧目
77,D、
78,现场交流
79,正确答案： D 我的答案：D
80,9认为伤害人的影像与伤害人自身具有同等效力，这是巫术思想中（）的体现。0.0 分
81,A、
82,相似律
83,B、
84,顺应律
85,C、
86,相悖律
87,D、
88,接触律
89,正确答案： D 我的答案：A
90,10最初的人类戏剧活动是由（）和狂欢行为转化来的。0.0 分
91,A、
92,模仿
93,B、
94,祭拜
95,C、
96,意识
97,D、
98,仪式
99,正确答案： D 我的答案：A
100,11古老的宗教崇拜的主题包括（）。0.0 分
101,A、
102,肉体和灵魂
103,B、
104,死亡和复活
105,C、
106,婚姻和族别
107,D、
108,人类和自然
109,正确答案： B 我的答案：D
110,12下列关于戏剧中“仪式”的表述错误的是（）。0.0 分
111,A、
112,仪式是知识的一种形态，是人类对宇宙的理解。
113,B、
114,仪式有说教作用。
115,C、
116,事物影响和控制着仪式的预期效果。
117,D、
118,用于显露一种超自然力量。
119,正确答案： C 我的答案：D
120,13戏剧以巫术思维时期的活动为雏形，而该时期人类活动的基础不包括（）。2.0 分
121,A、
122,极强的自信心
123,B、
124,控制和改变自然的欲望
125,C、
126,对生死问题的思考
127,D、
128,较为理性的认知
129,正确答案： D 我的答案：D
130,14神所采取的表现形式，反应了该神所属群体的（）。0.0 分
131,A、
132,自然属性
133,B、
134,集体价值
135,C、
136,社会结构
137,D、
138,集体意识
139,正确答案： C 我的答案：D
140,15对话具有交流性，交流性的意义在于说话人将想法告知他人和（）。2.0 分
141,A、
142,将说话人的意图传播出去
143,B、
144,将说话人的意图隐藏起来
145,C、
146,将说话人的意图表述出来以影响他人
147,D、
148,被迫使说话人语言和行动一致
149,正确答案： C 我的答案：C
150,16扮演与表演的主要区别之一：扮演具有（），而表演具有主观目的性。0.0 分
151,A、
152,主体性
153,B、
154,客体性
155,C、
156,主动性
157,D、
158,被动性
159,正确答案： D 我的答案：A
160,17神话中，狄奥尼苏斯教人类酿制葡萄酒，因而被誉为（）。2.0 分
161,A、
162,雷神
163,B、
164,太阳神
165,C、
166,爱神
167,D、
168,酒神
169,正确答案： D 我的答案：D
170,18于12月至翌年1月举行的戏剧节是（）。0.0 分
171,A、
172,勒奈亚节
173,B、
174,大酒神节
175,C、
176,洒扫节
177,D、
178,乡村酒神节
179,正确答案： D 我的答案：A
180,19戏剧欣赏基于信任，而信任又基于（）。0.0 分
181,A、
182,情感
183,B、
184,模仿
185,C、
186,观察
187,D、
188,体验
189,正确答案： D 我的答案：A
190,20()的介入使宗教与演出活动迅速分离。2.0 分
191,A、
192,宗教牧师
193,B、
194,专业化团体
195,C、
196,教皇教会
197,D、
198,民间自由组织
199,正确答案： B 我的答案：B
200,21
201,（）也叫舞台照明，是舞台美术造型手段之一。
202,2.0 分
203,A、
204,舞台灯光
205,B、
206,舞台摄影
207,C、
208,舞台布景
209,D、
210,舞台明暗
211,正确答案： A 我的答案：A
212,22（）是舞台思维和文字思维有机结合的产物。2.0 分
213,A、
214,诗歌
215,B、
216,念白
217,C、
218,台词
219,D、
220,剧本
221,正确答案： D 我的答案：D
222,23（）能以同样的语言表述同样的内容，引申出无限多样的丰富内涵。2.0 分
223,A、
224,独白
225,B、
226,台词
227,C、
228,对话
229,D、
230,潜台词
231,正确答案： D 我的答案：D
232,24
233,布景的作用不包括：（）。
234,0.0 分
235,A、
236,展现空间感
237,B、
238,塑造人物形象影响影片风格
239,D、
240,影响影片风格
241,正确答案： D 我的答案：B
242,25中国京剧中的白色脸谱代表（）。2.0 分
243,A、
244,正直
245,B、
246,温柔
247,C、
248,悲伤
249,D、
250,狡黠
251,正确答案： D 我的答案：D
252,26（）与古希腊戏剧的产生密切相关。2.0 分
253,A、
254,忒斯庇斯
255,B、
256,莎士比亚
257,C、
258,索福克勒
259,D、
260,埃斯库罗
261,正确答案： A 我的答案：A
262,27各民族的戏剧在起源、发展、变化上的一致性，反映了一种共通的本能，即（）。2.0 分
263,A、
264,情感的本能
265,B、
266,表演的本能
267,C、
268,欣赏的本能
269,D、
270,戏剧的本能
271,正确答案： D 我的答案：D
272,28（）的任务根据剧本内容和演出要求，创造出剧中环境和角色的外部形象，进行气氛渲染。2.0 分
273,A、
274,场地布置
275,B、
276,灯管渲染
277,C、
278,舞台美术
279,D、
280,道具制作
281,正确答案： C 我的答案：C
282,29戏剧的产生受到人类对自然认识的第一次分裂的影响，第一次分裂是指（）。2.0 分
283,A、
284,现在与过去的不统一
285,B、
286,自我与他我的不统一
287,C、
288,内在与外表的不统一
289,D、
290,整体与个别的不统一
291,正确答案： C 我的答案：C
292,30以下活动中，不属于戏剧现象的是（）2.0 分
293,A、
294,生日派对
295,B、
296,开学典礼
297,C、
298,阅兵式
299,D、
300,上学放学
301,正确答案： D 我的答案：D
302,31对人物行为和场面的潜在内容起揭示性作用的音乐是（）。2.0 分
303,A、
304,渲染性音乐
305,B、
306,主题性音乐
307,C、
308,烘托性音乐
309,D、
310,揭示性音乐
311,正确答案： D 我的答案：D
312,32演员塑造角色的四个阶段可分为认识、（）、呈现、获得。0.0 分
313,A、
314,加工
315,B、
316,记忆
317,C、
318,再造
319,D、
320,体验
321,正确答案： D 我的答案：A
322,33（）是古希腊戏剧与现代戏剧相比最不成熟的方面。0.0 分
323,A、
324,模仿
325,B、
326,创作
327,C、
328,剧本
329,D、
330,体验
331,正确答案： C 我的答案：D
332,34京剧是取代了古典的（）以后，成为通俗戏剧的主要形式的。0.0 分
333,A、
334,歌剧
335,B、
336,昆曲
337,C、
338,越剧
339,D、
340,徽剧
341,正确答案： B 我的答案：A
342,3513世纪，有人讲一个个戏剧串联在一起，形成了（）。0.0 分
343,A、
344,连续剧
345,B、
346,连环剧
347,C、
348,延续剧
349,D、
350,长剧
351,正确答案： B 我的答案：A
352,36（）是以“话”为媒介再现生活的剧种。2.0 分
353,A、
354,哑剧
355,B、
356,话剧
357,C、
358,木偶剧
359,D、
360,皮影
361,正确答案： B 我的答案：B
362,37
363,《伊利亚特》和《奥德赛》统称为（）。
364,2.0 分
365,A、
366,神谱
367,B、
368,古希腊神话
369,C、
370,荷马神谱
371,D、
372,荷马史诗
373,正确答案： D 我的答案：D
374,38希腊神话中，宙斯化为公牛劫走欧罗巴的故事体现了戏剧中哪个题材的信息。0.0 分
375,A、
376,伦理-爱情
377,B、
378,族别-性别
379,C、
380,伦理-性别
381,D、
382,族别-爱情
383,正确答案： B 我的答案：A
384,39（）是戏剧繁荣的必要基础之一。0.0 分
385,A、
386,经济活动的频繁
387,B、
388,政治活动的频繁
389,C、
390,社会活动的频繁
391,D、
392,内心活动的频繁
393,正确答案： D 我的答案：A
394,40（）是古希腊三大悲剧作家之首，被认为是悲剧的真正创作者。2.0 分
395,A、
396,忒斯庇斯
397,B、
398,莎士比亚
399,C、
400,索福克勒
401,D、
402,埃斯库罗斯
403,正确答案： D 我的答案：D
404,二、 判断题（题数：20，共 20.0 分）
405,1古希腊悲剧的价值在于悲剧本身的不可避免性。0.0 分
406,正确答案： √ 我的答案： ×
407,2音乐、文学等都不属于时间艺术。（）1.0 分
408,正确答案： × 我的答案： ×
409,3现场交流是戏剧的本质，没有现场交流就不能产生戏剧。（）1.0 分
410,正确答案： √ 我的答案： √
411,4讲述萝摩和黑天神事迹的连台本戏是印度北部著名的戏剧种类。1.0 分
412,正确答案： √ 我的答案： √
413,5戏剧中的音乐有利于人们更好地感受场面、人物和情节。1.0 分
414,正确答案： √ 我的答案： √
415,6台湾没有京剧艺术。1.0 分
416,正确答案： × 我的答案： ×
417,7原始人的思维方式决定了其“扮演”活动的逼真性。1.0 分
418,正确答案： √ 我的答案： √
419,8现代戏剧中，手机作为一种道具，可视为是任何外在因素随时进入舞台的手段。（）1.0 分
420,正确答案： √ 我的答案： √
421,9导演是一部电影的灵魂指导者，经常出现在戏剧表演中。1.0 分
422,正确答案： × 我的答案： ×
423,10电视和电影可以认为是戏剧的异地播放。（）1.0 分
424,正确答案： √ 我的答案： √
425,11戏剧中人物的内心和外表完全是现实中人物的反映。（）1.0 分
426,正确答案： × 我的答案： ×
427,12原始人的“扮演”活动通常以生产活动而不是取悦他人为目的。1.0 分
428,正确答案： √ 我的答案： √
429,13戏剧是人类精神、情感、生活相互凝聚而成的社会活动。1.0 分
430,正确答案： √ 我的答案： √
431,14戏剧与影视的区别之一是戏剧不以画面和现实存在作为表现手段。1.0 分
432,正确答案： √ 我的答案： √
433,15赛维利亚是世俗戏剧的发源地。1.0 分
434,正确答案： √ 我的答案： √
435,16仪式性和娱乐向是场面话化的行为，需要在具体时空间里完成，不是靠其臆想完成。1.0 分
436,正确答案： √ 我的答案： √
437,17戏剧对于文本的需要产生于“中世纪”时期。（）1.0 分
438,正确答案： √ 我的答案： √
439,18人的体验行为使扮演具有了明确的心理内容。1.0 分
440,正确答案： √ 我的答案： √
441,19扮演活动的出现，直接导致了原始戏剧的形成。（）0.0 分
442,正确答案： × 我的答案： √
443,20戏剧欣赏不以体验和模仿为基础。0.0 分
444,正确答案： × 我的答案： √
445, 
446,一、 单选题（题数：50，共 50.0 分）  
