,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,经学在宋代称为：
3,0.0 分
4,窗体顶端
5,A、
6,官学
7,B、
8,佛学
9,C、
10,道学
11,D、
12,名学
13,窗体底端
14,我的答案：A
15,2
16,下列关于玄宗表述正确的是：
17,1.0 分
18,窗体顶端
19,A、
20,《老子》、《庄子》
21,B、
22,《春秋》
23,C、
24,《尚书》
25,D、
26,《论语》
27,窗体底端
28,我的答案：A
29,3
30,《仪礼》是（）礼制文论的汇编
31,1.0 分
32,窗体顶端
33,A、
34,夏朝
35,B、
36,商朝
37,C、
38,西周
39,D、
40,春秋战国
41,窗体底端
42,我的答案：D
43,4
44,（）衍生于论辩明实问题的形名家传统
45,1.0 分
46,窗体顶端
47,A、
48,名家
49,B、
50,法家
51,C、
52,墨家
53,D、
54,儒家
55,窗体底端
56,我的答案：A
57,5
58,我国第一部算数经典是（）
59,1.0 分
60,窗体顶端
61,A、
62,《周髀算经》
63,B、
64,《九章算数》
65,C、
66,《缀术》
67,D、
68,《五曹算经》
69,窗体底端
70,我的答案：A
71,6
72,（）被列为“六经”之首
73,1.0 分
74,窗体顶端
75,A、
76,《尚书》
77,B、
78,《诗经》
79,C、
80,《春秋》
81,D、
82,《周易》
83,窗体底端
84,我的答案：D
85,7
86,反映宇宙事物必然性的本质和法则称为：
87,1.0 分
88,窗体顶端
89,A、
90,民为邦本
91,B、
92,国家
93,C、
94,道心
95,D、
96,民心
97,窗体底端
98,我的答案：C
99,8
100,下列表述中错误的是：
101,1.0 分
102,窗体顶端
103,A、
104,藏是盛放东西的竹篾
105,B、
106,经是佛发表的言论记录而成的文本
107,C、
108,律是指清规戒律
109,D、
110,论是指僧侣的言论记录而成的文本
111,窗体底端
112,我的答案：D
113,9
114,移风易俗中的风是在哪种环境下养成的习惯？
115,1.0 分
116,窗体顶端
117,A、
118,社会环境
119,B、
120,人文环境
121,C、
122,政治环境
123,D、
124,自然环境
125,窗体底端
126,我的答案：D
127,10
128,“杨柳岸晓风残月”属于（）
129,1.0 分
130,窗体顶端
131,A、
132,塞外诗
133,B、
134,思乡诗
135,C、
136,山水诗
137,D、
138,送别诗
