,题目
0,   成绩： 98.0分
1, 
2,一、 单选题（题数：50，共 50.0 分） 
3,1 
4,以《买猴》为代表的一系列的讽刺相声，其目的不在于？
5,窗体顶端
6,A、 
7,提倡职业道德 
8,B、 
9,提倡公共道德 
10,C、 
11,提高人文素质的公共教育 
12,D、 
13,从正面的角度来弘扬社会主流价值观 
14,我的答案：D 
15,窗体底端
16,2 
17,下列关于俏皮话说法错误的是？
18,窗体顶端
19,A、 
20,是中国人民特有的智慧与趣味语言 
21,B、 
22,是广大人民在生活实践中创造出的一种特殊语言形式 
23,C、 
24,一般由三部分组成，第一部分是解释、说明 
25,D、 
26,一般前半截是形象的比喻 
27,我的答案：C 
28,窗体底端
29,3 
30,下列关于“文哏”说法错误的是？
31,窗体顶端
32,A、 
33,说起来比较文雅，含有知识性 
34,B、 
35,以文学作品为基本内容的段子 
36,C、 
37,以叙述为主，有人物行动、戏剧情节 
38,D、 
39,多以学唱为主 
40,我的答案：D 
41,窗体底端
42,4 
43,侯宝林大师提出了几个原则，可以让学相声的人感觉到相声“不难”，以下哪个不是这些原则之一？
44,窗体顶端
45,A、 
46,学识渊博 
47,B、 
48,见解独到 
49,C、 
50,善于表达 
51,D、 
52,学有所长 
53,我的答案：D 
54,窗体底端
55,5 
56,下列关于“逗哏”说法错误的是？
57,窗体顶端
58,A、 
59,是相声中的“主角” 
60,B、 
61,对口相声演出时不断地说出笑料以让人发笑的主要叙述故事情节的演员 
62,C、 
63,传统相声中，逗哏的笑料应该远少于捧哏的 
64,D、 
65,传统相声中，逗哏的笑料应该远多于捧哏的 
66,我的答案：C 
67,窗体底端
68,6 
69,一个人如果想做到“伶牙俐齿”，需要很多方面的努力，除了（）
70,窗体顶端
71,A、 
72,语汇丰富 
73,B、 
74,行动机敏 
75,C、 
76,反应机敏 
77,D、 
78,通情达意 
79,我的答案：B 
80,窗体底端
81,7 
82,传统相声中的四大“腿子活”不包括以下哪个作品？
83,窗体顶端
84,A、 
85,《汾河湾》 
86,B、 
87,《黄鹤楼》 
88,C、 
89,《八扇屏》 
90,D、 
91,《窦公训女》 
92,我的答案：C 
93,窗体底端
94,8 
95,相声中的学吆喝，有些是经过艺术加工的，有些是直接借鉴的。以下哪些行当的喝声是直接被借鉴的老行当？
96,窗体顶端
97,A、 
98,卖鸡毛掸子 
99,B、 
100,卖冰糖葫芦 
101,C、 
102,江湖郎中 
103,D、 
104,卖寿衣的 
