,题目
0,1
1,1.0 分
2,窗体顶端
3,A、
4,俗语
5, 
6,B、
7,谚语
8, 
9,C、
10,绕口令
11, 
12,D、
13,普通话
14, 
15,窗体底端
16,我的答案：D
17,2
18,以下哪点不是侯派相声“逗”的特点？
19,1.0 分
20,窗体顶端
21,A、
22,寓庄于谐
23, 
24,B、
25,火爆搞笑
26, 
27,C、
28,风趣优雅
29, 
30,D、
31,幽默风趣
32, 
33,窗体底端
34,我的答案：B
35,3
36,下列关于参军戏说法错误的是？
37,1.0 分
38,窗体顶端
39,A、
40,是一种中国古代戏曲形式
41, 
42,B、
43,内容以滑稽调笑为主
44, 
45,C、
46,一般是两个角色，被戏弄者是参军，戏弄者叫苍鹘
47, 
48,D、
49,内容多为严肃的时政话题
50, 
51,窗体底端
52,我的答案：D
53,4
54,以下哪种说法不是中国古代文献中关于汉字起源的说法？
55,1.0 分
56,窗体顶端
57,A、
58,结绳
59, 
60,B、
61,八卦
62, 
63,C、
64,杜康造字
65, 
66,D、
67,书契
68, 
69,窗体底端
70,我的答案：C
71,5
72,以《买猴》为代表的一系列的讽刺相声，其目的不在于？
73,1.0 分
74,窗体顶端
75,A、
76,提倡职业道德
77, 
78,B、
79,提倡公共道德
80, 
81,C、
82,提高人文素质的公共教育
83, 
84,D、
85,从正面的角度来弘扬社会主流价值观
86, 
87,窗体底端
88,我的答案：D
89,6
90,传统相声中的四大“腿子活”不包括以下哪个作品？
91,1.0 分
92,窗体顶端
93,A、
94,《汾河湾》
95, 
96,B、
97,《黄鹤楼》
98, 
99,C、
100,《八扇屏》
101, 
102,D、
103,《窦公训女》
104, 
105,窗体底端
106,我的答案：C
107,7
108,以下歇后语搭配错误的是？
109,1.0 分
110,窗体顶端
111,A、
112,茶壶里煮饺子-白玩
113, 
114,B、
115,茶壶里煮饺子-肚子里明白
116, 
117,C、
118,哑巴吃扁食-肚里有数
119, 
120,D、
121,八个歪脖坐一桌-谁也不正眼看谁
122, 
123,窗体底端
124,我的答案：A
125,8
126,那一派的相声把雅端到舞台上
127,1.0 分
128,窗体顶端
129,A、
130,清
131, 
132,B、
133,侯
134, 
135,C、
136,浑
137, 
138,D、
139,马
140, 
141,窗体底端
142,我的答案：B
143,9
144,1911年的京剧演员评选活动中，梅兰芳名列第几
145,1.0 分
146,窗体顶端
147,A、
148,没上榜
149, 
150,B、
151,一
152, 
153,C、
154,二
155, 
156,D、
157,三
158, 
159,窗体底端
160,我的答案：D
161,10
162,以下哪个音比较适合练习鼻韵母的音？
163,1.0 分
164,窗体顶端
165,A、
166,an
167, 
168,B、
169,b
170, 
171,C、
172,i
173, 
174,D、
175,e
176, 
177,窗体底端
178,我的答案：A
179,11
180,下列关于歪唱说法错误的是？
181,1.0 分
182,窗体顶端
183,A、
184,是柳活儿当中的一种
185, 
186,B、
187,靠曲调或谐音产生包袱
188, 
189,C、
190,必须产生包袱
191, 
192,D、
193,必须要学得像
194, 
195,窗体底端
196,我的答案：D
197,12
198,一般的人学唱的时候要唱几句才能要下好来
199,1.0 分
200,窗体顶端
201,A、
202,二
203, 
204,B、
205,六
206, 
207,C、
208,四
209, 
210,D、
211,八
212, 
213,窗体底端
214,我的答案：C
215,13
216,北方俗语“你知道自己吃几碗干饭吗”的意思是？
217,1.0 分
218,窗体顶端
219,A、
220,你知道自己的饭量是多大吗
221, 
222,B、
223,你知道你们家要做多少米饭吗
224, 
225,C、
226,你自己知道自己究竟有多大的本事吗
227, 
228,D、
229,询问对方饭量，是一个日常问候语
230, 
231,窗体底端
232,我的答案：C
233,14
234,下列关于“顶针续麻”说法正确的是？
235,1.0 分
236,窗体顶端
237,A、
238,是清代旗藉子弟发明的文字游戏
239, 
240,B、
241,是民间游戏，文人墨客不屑于玩此游戏
242, 
243,C、
244,是宋元以来的一种首尾相连的文字游戏
245, 
246,D、
247,只是在相声表演中使用的一种手法
248, 
249,窗体底端
250,我的答案：C
251,15
252,下列关于小品的说法，错误的是？
253,1.0 分
254,窗体顶端
255,A、
256,本义是指小的艺术品
257, 
258,B、
259,在散文中指篇幅较短的文学样式
260, 
261,C、
262,狭义的小品泛指较短的关于说和演的艺术
263, 
264,D、
265,专指一种舞台表演的艺术形式
266, 
267,窗体底端
268,我的答案：D
269,16
270,下列关于“软幽默”的说法，错误的是？
271,1.0 分
272,窗体顶端
273,A、
274,是一种温和、含蓄、慰藉的深层次幽默
275, 
276,B、
277,是中国人特有的精神武器和心理良药
278, 
279,C、
280,需要在悟性中体味言外之音、弦外之意
281, 
282,D、
283,它唤起的是感性的愉悦
284, 
285,窗体底端
286,我的答案：D
287,17
288,王人美主演的那部电影在1935年苏联第一届国际电影节上获荣誉奖
289,1.0 分
290,窗体顶端
291,A、
292,野玫瑰
293, 
294,B、
295,渔光曲
296, 
297,C、
298,芭蕉叶上诗
299, 
300,D、
301,马路天使
302, 
303,窗体底端
304,我的答案：B
305,18
306,传统相声表演中，对化妆是一个怎样的态度？
307,1.0 分
308,窗体顶端
309,A、
310,完全不可以
311, 
312,B、
313,大力支持
314, 
315,C、
316,不清楚
317, 
318,D、
319,对这个问题应当仁者见仁智者见智，具体情况具体分析
320, 
321,窗体底端
