,题目
0,
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,刘秀政权建立的时间是（）。
5,1.0 分
6,窗体顶端
7,A、
8,公元15年
9,B、
10,公元20年
11,C、
12,公元25年
13,D、
14,公元30年
15,窗体底端
16,我的答案：C
17,2
18,战国时代，（）的出现大大促进了生产力的提升。
19,1.0 分
20,窗体顶端
21,A、
22,陶器
23,B、
24,铁器
25,C、
26,铜器
27,D、
28,木器
29,窗体底端
30,我的答案：B
31,3
32,东汉社会的民族问题主要体现在两点，分别是（）。
33,1.0 分
34,窗体顶端
35,A、
36,匈奴问题和西域问题
37,B、
38,匈奴问题和突厥问题
39,C、
40,突厥问题和西域问题
41,D、
42,匈奴问题和鲜卑问题
43,窗体底端
44,我的答案：A
45,4
46,刘裕建立的政权维持了（）年。
47,1.0 分
48,窗体顶端
49,A、
50,39
51,B、
52,49
53,C、
54,59
55,D、
56,69
57,窗体底端
58,我的答案：C
59,5
60,我国历史上大致与以（）为农耕区和游牧区的分界线。
61,0.0 分
62,窗体顶端
63,A、
64,黄河
65,B、
66,长江
67,C、
68,长城
69,D、
70,河西走廊
71,窗体底端
72,我的答案：D
73,6
74,下列对春秋时期在中国历史上的重要性的叙述不正确的是（）。
75,1.0 分
76,窗体顶端
77,A、
78,分封制导致地方诸侯做大
79,B、
80,分封的诸侯王的力量逐渐强大形成了对天子权威的挑战
81,C、
82,春秋时期遵循了过去王朝发展的轨迹
83,D、
84,分封体制中蕴含了权力构造的变化
85,窗体底端
86,我的答案：C
87,7
88,下列说法中正确的是（）。
89,1.0 分
90,窗体顶端
91,A、
92,龙山文化属于母系氏族社会
93,B、
94,仰韶文化属于母系氏族社会
95,C、
96,仰韶文化里的城子崖，有着清晰的城堡遗迹
97,D、
98,龙山文化时期制陶的温度还不能达到一千度
99,窗体底端
100,我的答案：B
101,8
102,下列不属于旧石器时代中期的古人类是（）。
103,1.0 分
104,窗体顶端
105,A、
106,湖北长阳人
107,B、
108,广东马坝人
109,C、
110,陕西蓝田人
111,D、
112,山西丁村人
113,窗体底端
114,我的答案：C
115,9
116,到东汉时期，中朝官直接形成了一个机构（）。
117,1.0 分
118,窗体顶端
119,A、
120,军机处
121,B、
122,国子监
123,C、
124,尚书台
125,D、
126,内阁
127,窗体底端
128,我的答案：C
129,10
130,下列说法中不正确的是（）。
131,1.0 分
132,窗体顶端
133,A、
134,我国最早的诗歌总集是《诗经》
135,B、
136,周人有一种现实主义宗教观
137,C、
138,周朝是个农业国家
139,D、
140,“敬鬼神而远之”这句话是孟子说的
141,窗体底端
142,我的答案：D
143,11
144,客家是一个具有显著特征的（）族分支族群。
145,1.0 分
146,窗体顶端
147,A、
148,满
149,B、
150,汉
151,C、
152,朝鲜
153,D、
154,土家
155,窗体底端
156,我的答案：B
157,12
