,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,战国时代，（）的出现大大促进了生产力的提升。
4,1.0 分
5,窗体顶端
6,A、
7,陶器
8,B、
9,铁器
10,C、
11,铜器
12,D、
13,木器
14,窗体底端
15,正确答案： B 我的答案：B
16,2
17,东晋建都的地点位于今天的（）。
18,1.0 分
19,窗体顶端
20,A、
21,西安
22,B、
23,洛阳
24,C、
25,南京
26,D、
27,安阳
28,窗体底端
29,正确答案： C 我的答案：C
30,3
31,下列哪本书采用了人类学的研究方法？（）
32,1.0 分
33,窗体顶端
34,A、
35,《华夏边缘--历史记忆与族群认同》
36,B、
37,《国史大纲》
38,C、
39,《华阳国志》
40,D、
41,《资治通鉴》
42,窗体底端
43,正确答案： A 我的答案：A
44,4
45,现在学界普遍认为，（）遗址就是夏文化。
46,1.0 分
47,窗体顶端
48,A、
49,仰韶文化
50,B、
51,龙山文化
52,C、
53,裴李岗文化
54,D、
55,河南二里头文化
56,窗体底端
57,正确答案： D 我的答案：D
58,5
59,鲜卑族的族源属于（）部落。
60,1.0 分
61,窗体顶端
62,A、
63,西胡
64,B、
65,北胡
66,C、
67,南胡
68,D、
69,东胡
70,窗体底端
71,正确答案： D 我的答案：D
72,6
73,下列说法不正确的是（）。
74,1.0 分
75,窗体顶端
76,A、
77,蓝田猿人的产生距今约一百万年
78,B、
79,北京人被发现的地点是在北京周口店
80,C、
81,蓝田猿人尚不会使用石器
82,D、
83,北京人居住的环境以洞穴为主
84,窗体底端
85,正确答案： C 我的答案：C
86,7
87,“耕者之所获，一夫百亩。百亩之粪，上农夫食九人。”语出（）。
88,1.0 分
89,窗体顶端
90,A、
91,孔子
92,B、
93,荀子
94,C、
95,墨子
96,D、
97,孟子
98,窗体底端
99,正确答案： D 我的答案：D
100,8
101,在中国，魏晋南北朝研究的制高点人物是（）。
102,1.0 分
103,窗体顶端
104,A、
105,傅斯年
106,B、
107,田余庆
108,C、
109,毛汉光
110,D、
111,李开元
112,窗体底端
113,正确答案： B 我的答案：B
114,9
115,下列哪项与项羽无关？（）
116,1.0 分
117,窗体顶端
118,A、
119,虞姬
120,B、
121,西楚霸王
122,C、
123,乌江自刎
124,D、
125,沛县人士
126,窗体底端
127,正确答案： D 我的答案：D
128,10
129,（）给秦国带来天翻地覆的变化，是秦国强盛的重要因素。
130,1.0 分
131,窗体顶端
132,A、
133,商鞅变法
134,B、
135,合纵
136,C、
137,连横
138,D、
139,诸侯联盟
140,窗体底端
141,正确答案： A 我的答案：A
142,11
143,下列不属于秦朝统治思想的是（）。
144,1.0 分
145,窗体顶端
146,A、
147,主张专制
148,B、
149,中央垂直领导
150,C、
151,刚柔并济
152,D、
153,受法家思想影响
154,窗体底端
155,正确答案： C 我的答案：C
156,12
157,公元479年，延续了23年代齐国政权建立，其建立者是（）。
158,1.0 分
159,窗体顶端
160,A、
161,刘裕
162,B、
163,萧道成
164,C、
165,陈霸先
166,D、
167,萧衍
168,窗体底端
169,正确答案： B 我的答案：B
170,13
171,下列不属于旧石器时代中期的古人类是（）。
172,1.0 分
173,窗体顶端
174,A、
175,湖北长阳人
176,B、
177,广东马坝人
178,C、
179,陕西蓝田人
180,D、
181,山西丁村人
182,窗体底端
183,正确答案： C 我的答案：C
184,14
185,鲜卑一族最早来源于（）。
186,1.0 分
187,窗体顶端
188,A、
189,华北
190,B、
191,东北
192,C、
193,华南
194,D、
195,东南
196,窗体底端
197,正确答案： B 我的答案：B
198,15
199,秦始皇去世时，国家面临的最强大政治对手是（）。
200,1.0 分
201,窗体顶端
202,A、
203,鲜卑势力
204,B、
205,突厥势力
206,C、
207,女真势力
208,D、
209,匈奴势力
210,窗体底端
211,正确答案： D 我的答案：D
212,16
213,战国时期主张勤俭的思想家是（）。
214,1.0 分
215,窗体顶端
216,A、
217,孔子
218,B、
219,荀子
220,C、
221,墨子
222,D、
223,孟子
224,窗体底端
225,正确答案： C 我的答案：C
226,17
227,我国历史上大致与以（）为农耕区和游牧区的分界线。
228,1.0 分
229,窗体顶端
230,A、
231,黄河
232,B、
233,长江
234,C、
235,长城
236,D、
237,河西走廊
238,窗体底端
