,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,经调查，大概有多少女性对自己的长相不自信？（）
4,1.0 分
5,窗体顶端
6,ØA、
7,0.2
8,ØB、
9,0.35
10,ØC、
11,0.54
12,ØD、
13,0.7
14,窗体底端
15,正确答案： C 我的答案：C
16,2
17,（）是人区别于动物的根本标志。
18,1.0 分
19,窗体顶端
20,ØA、
21,义
22,ØB、
23,信
24,ØC、
25,礼
26,ØD、
27,仁
28,窗体底端
29,正确答案： C 我的答案：C
30,3
31,孔子最得意弟子，也是最好学的弟子是（）。
32,1.0 分
33,窗体顶端
34,ØA、
35,子路
36,ØB、
37,子思
38,ØC、
39,颜回
40,ØD、
41,冉求
42,窗体底端
43,正确答案： C 我的答案：C
44,4
45,礼仪之始在于（）。
46,0.0 分
47,窗体顶端
48,ØA、
49,正衣冠
50,ØB、
51,梳容颜
52,ØC、
53,顺言辞
54,ØD、
55,端行为
56,窗体底端
57,正确答案： A 我的答案：D
58,5
59,以下哪项是地支？（）
60,1.0 分
61,窗体顶端
62,ØA、
63,辛
64,ØB、
65,壬
66,ØC、
67,戊
68,ØD、
69,申
70,窗体底端
71,正确答案： D 我的答案：D
72,6
73,《弟子规》中“读书法 有三到”中的“三到”不包括（）。
74,1.0 分
75,窗体顶端
76,ØA、
77,心
78,ØB、
79,眼
80,ØC、
81,耳
82,ØD、
83,口
84,窗体底端
85,正确答案： C 我的答案：C
86,7
87,“先天下之忧而忧，后天下之乐而乐”出自（）之口。
88,1.0 分
89,Ø窗体顶端
90,ØA、
91,范仲淹
92,ØB、
93,陆游
94,ØC、
95,杜甫
96,ØD、
97,王之涣
98,窗体底端
99,正确答案： A 我的答案：A
100,8
101,政论源于以下哪部经典著作？（）
102,0.0 分
103,窗体顶端
104,ØA、
105,《尚书》
106,ØB、
107,《礼记》
108,ØC、
109,《诗经》
110,ØD、
111,《周易》
112,窗体底端
113,正确答案： A 我的答案：B
114,9
115,“贤贤易色”中第一个“贤”的词性是（）。
116,1.0 分
117,窗体顶端
118,ØA、
119,名词
120,ØB、
121,动词
122,ØC、
123,形容词
124,ØD、
125,副词
126,窗体底端
127,正确答案： B 我的答案：B
128,10
129,现今梅毒感染率已经是90年代的多少倍 ？（）
130,1.0 分
131,窗体顶端
132,ØA、
133,2
134,ØB、
135,10
136,ØC、
137,25
138,ØD、
139,50
140,窗体底端
141,正确答案： C 我的答案：C
142,11
143,《弟子规》认为人的声誉从哪里来？（）
144,1.0 分
145,窗体顶端
146,ØA、
147,容貌
148,ØB、
149,行为
150,ØC、
151,价值观
152,ØD、
153,理念
154,窗体底端
155,正确答案： B 我的答案：B
156,12
157,（）是整个中国人世界里一切习俗行为的准则，标志着中国的特殊性。
158,1.0 分
159,窗体顶端
160,ØA、
161,仁
162,ØB、
163,义
164,ØC、
165,勤
166,ØD、
167,礼
168,窗体底端
169,正确答案： D 我的答案：D
170,13
171,提亲一般要带疏雁，经专家考证，疏雁就是（）。
172,0.0 分
173,窗体顶端
174,ØA、
175,野鸭子
176,ØB、
177,大雁
178,ØC、
179,鸡腿
180,ØD、
181,牛肉
182,窗体底端
183,正确答案： A 我的答案：B
184,14
185,《国史大纲》的作者是（）。
186,1.0 分
187,窗体顶端
188,ØA、
189,高尔基
190,ØB、
191,顾炎武
192,ØC、
193,钱穆
194,ØD、
195,胡适
196,窗体底端
197,正确答案： C 我的答案：C
198,15
199,影片《铁人》讲述的是什么地方的事？（）
200,1.0 分
201,Ø窗体顶端
202,ØA、
203,哈尔滨
204,ØB、
205,北京
206,ØC、
207,秦皇岛
208,ØD、
209,大庆
210,窗体底端
211,正确答案： D 我的答案：D
212,16
213,《谏逐客书》作者是（）。
214,1.0 分
215,窗体顶端
216,ØA、
217,廉颇
218,ØB、
219,司马相如
220,ØC、
221,司马迁
222,ØD、
223,李斯
224,窗体底端
225,正确答案： D 我的答案：D
226,17
227,以下哪国的文化是原生文明？（）
228,1.0 分
229,窗体顶端
230,ØA、
231,日本
232,ØB、
233,中国
234,ØC、
235,朝鲜
236,ØD、
237,韩国
238,窗体底端
239,正确答案： B 我的答案：B
240,18
