,题目
0,中国古建筑欣赏与设计期末考试答案（2016）
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1研究表明，未来的发展中，哪种建筑材质是今后建筑使用中最重要的材料？（）1.0 分
4,A、
5,金属
6,B、
7,玻璃
8,C、
9,混凝土
10,D、
11,木结构
12,我的答案：D
13,2南方建筑的发展经历了不同的阶段，请问以下哪项不是南方建筑发展经历的阶段？（）1.0 分
14,A、
15,穴居
16,B、
17,巢居
18,C、
19,干栏式
20,D、
21,地面建筑
22,我的答案：A
23,3以下哪栋建筑不在北京城的中轴线上？（）1.0 分
24,A、
25,天安门
26,B、
27,永定门
28,C、
29,八宝山
30,D、
31,景山
32,我的答案：C
33,4造成北方合院和南方天井差异的因素不大可能包括以下哪个？（）1.0 分
34,A、
35,地理气候条件
36,B、
37,建筑材质
38,C、
39,建造工匠
40,D、
41,饮食习惯
42,我的答案：B
43,5天坛斋宫的建筑结构是怎样的？（）1.0 分
44,A、
45,井干式
46,B、
47,穿斗式
48,C、
49,拱券结构
50,D、
51,斜梁式
52,我的答案：C
53,6以下哪种塔最不可能用来做墓塔？（）1.0 分
54,A、
55,密檐式塔
56,B、
57,楼阁式塔
58,C、
59,单层塔
60,D、
61,喇嘛塔
62,我的答案：B
63,7以下哪种类型的古建筑能够自由布局？（）1.0 分
64,A、
65,园林
66,B、
67,宫殿
68,C、
69,祠堂
70,D、
71,寺庙
72,我的答案：A
73,8以下哪项不属于秦代的三大工程？（）1.0 分
74,A、
75,长城
76,B、
77,阿房宫
78,C、
79,骊山陵
80,D、
81,大明宫
82,我的答案：D
83,9以下关于秦始皇修建长城的起点和终点说法正确的是（）。1.0 分
84,A、
85,东起嘉峪关
86,B、
87,西至山海关
88,C、
89,西至居庸关
90,D、
91,东起山海关
92,我的答案：D
93,10南方封火墙之所以有各式各样不同的造型，其原因可能是（）。1.0 分
94,A、
95,南方的建筑比较密集
96,B、
97,南方喜食米饭
98,C、
99,南方气候潮湿
100,D、
101,南方文化创意十足
102,我的答案：A
103,11以下哪一点不是长沙古城墙宝贵的原因？（）1.0 分
104,A、
105,几个朝代的叠加
106,B、
107,体现了不同朝代的建筑特点
108,C、
109,地处闹市繁华区，寸土寸金
110,D、
111,城墙上面的刻字体现了长沙城的历史
112,我的答案：C
113,12以下哪项不是中国古建筑常用屋顶式样？（）1.0 分
114,A、
115,庑殿顶
116,B、
117,盔顶
118,C、
119,圆形屋顶
120,D、
121,叠顶
122,我的答案：C
123,13拱结构最大的特点是什么？（）1.0 分
124,A、
125,用大块材料做出小空间
126,B、
127,用小块材料做出大空间
128,C、
129,空间和材料成正比
130,D、
131,承重力不如梁结构好
132,我的答案：B
133,14下列关于甲骨文描述错误的是（）。1.0 分
134,A、
135,主要指殷墟甲骨文
136,B、
137,是中国目前已发现的古代文字中时代最早的文字
138,C、
139,现在无人能解读甲骨文
140,D、
141,是殷商时代刻在龟甲兽骨上的文字
142,我的答案：C
143,15以下关于拱券结构说法错误的是（）。1.0 分
144,A、
145,相对于中国而言，希腊罗马的建筑多用拱券结构
146,B、
147,赵州桥采用的就是拱券结构
148,C、
149,中国古代的桥梁和陵墓多采用拱券结构
150,D、
151,中国古代完全没有拱券结构的建筑
152,我的答案：D
153,16一个建筑物背后承载了很多思想文化内涵，以下哪项文化要素无法在建筑物中呈现出来？（）1.0 分
154,A、
155,哲学
156,B、
157,政治
158,C、
159,民俗
160,D、
161,饮食习惯
162,我的答案：D
163,17以下哪一点不能体现中国古建筑制度化的倾向？（）1.0 分
164,A、
165,建筑等级制
166,B、
167,工官制度
168,C、
169,建筑的屋顶式样
170,D、
171,建筑选材
172,我的答案：D
173,18古代的官学是分成不同的等级的，请问以下哪个类别不属于官学？（）1.0 分
174,A、
175,府学
176,B、
177,州学
178,C、
179,县学
180,D、
181,孔庙
182,我的答案：D
183,19如今看到的天心阁城墙建于以下哪个朝代？（）1.0 分
184,A、
185,唐代
186,B、
187,明代
188,C、
189,元代
190,D、
191,清代
192,我的答案：D
193,20唐朝在什么时候开始衰落的？（）1.0 分
194,A、
195,康乾盛世
196,B、
197,贞观之治
198,C、
199,安史之乱
200,D、
201,文景之治
202,我的答案：C
203,21一般在设计古建筑时，开间的宽度和高度的比例关系应当是怎样的才美观呢？（）1.0 分
204,A、
205,完全等同于正方形
206,B、
207,宽度和高度的比例接近于正方形
208,C、
209,宽度和高度比为4:3
210,D、
211,宽度和高度比为16:9
212,我的答案：B
213,22在扩大建筑进深的情况下，如何让屋顶和屋身成一个正常的比例关系？（）1.0 分
214,A、
215,无限加高屋顶的高度
216,B、
217,加厚墙体的厚度
218,C、
219,放低墙身的高度
220,D、
221,勾连搭
222,我的答案：D
223,23以下哪个城市是海上丝绸之路的起点？（）1.0 分
224,A、
225,香港
226,B、
227,广州
228,C、
229,福州
230,D、
231,泉州
232,我的答案：D
233,24山西应县木塔的结构是下列哪种？（）1.0 分
234,A、
235,斜梁式
236,B、
237,筒体式
238,C、
239,井干式
240,D、
241,伞架式
242,我的答案：B
243,25日本的木结构建筑占全部建筑的多大比例？（）1.0 分
244,A、
245,50-60%
246,B、
247,60-70%
248,C、
249,70-80%
250,D、
251,80%以上
252,我的答案：D
253,26中国古代建筑有不同的空间划分方法，请问以下哪个不属于其中？（）1.0 分
254,A、
255,单槽
256,B、
257,多槽
258,C、
259,双槽
260,D、
261,金厢斗底槽
262,我的答案：B
263,27封火山墙原本的实用功能是什么？（）1.0 分
264,A、
265,美观
266,B、
267,防火消防
268,C、
269,挡雨
270,D、
271,收集雨水
272,我的答案：B
273,28下列关于衡山南岳大庙的描述错误的是（）。1.0 分
274,A、
275,屋顶的山花太小
276,B、
277,屋顶的斜坡相对于山花来说太大
278,C、
279,大殿各部分比例很协调
280,D、
281,屋顶的斜坡没有曲线
282,我的答案：C
283,29请问，中国园林艺术发展的第一个高潮出现在什么时候？（）1.0 分
284,A、
285,明清时期
286,B、
287,秦汉时期
288,C、
289,魏晋南北朝时期
290,D、
291,宋元时期
292,我的答案：C
293,30院落纵向的计算单位称为“进”，请问院落横向的计算单位是什么？（）1.0 分
294,A、
295,间
296,B、
297,路
298,C、
299,进
300,D、
301,跨
302,我的答案：D
303,31下列关于《营造法式》说法，错误的是（）。1.0 分
304,A、
305,它的出现标志着中国建筑的全面成熟
306,B、
307,它的出现首先是因为王安石变法这一政治原因
308,C、
309,其中包含了工程需要的料例和工限
310,D、
311,它对于未来的建筑没有任何意义
312,我的答案：D
313,32以下哪点不是中国古建筑平面布局的方式？（）1.0 分
314,A、
315,以单体建筑组成庭院
316,B、
317,多为单体建筑
318,C、
319,以庭院组成建筑群
