,题目
0,1
1,建筑屋顶的高度由以下哪个因素决定？（）
2,0.0 分
3,窗体顶端
4,ØA、
5,建筑的功能
6,ØB、
7,建筑的式样
8,ØC、
9,建筑的进深
10,ØD、
11,建筑的风格
12,窗体底端
13,正确答案： C 我的答案：B
14,2
15,以下哪点不是南方建筑的风格特点？（）
16,1.0 分
17,窗体顶端
18,ØA、
19,质朴
20,ØB、
21,轻巧
22,ØC、
23,精致
24,ØD、
25,通透
26,窗体底端
27,正确答案： A 我的答案：A
28,3
29,古代的官学是分成不同的等级的，请问以下哪个类别不属于官学？（）
30,1.0 分
31,窗体顶端
32,ØA、
33,府学
34,ØB、
35,州学
36,ØC、
37,县学
38,ØD、
39,孔庙
40,窗体底端
41,正确答案： D 我的答案：D
42,4
43,以下人物中，不属于竹林七贤的是（）。
44,1.0 分
45,窗体顶端
46,ØA、
47,张角
48,ØB、
49,阮籍
50,ØC、
51,嵇康
52,ØD、
53,刘伶
54,窗体底端
55,正确答案： A 我的答案：A
56,5
57,以下关于宋朝描述错误的是（）。
58,1.0 分
59,窗体顶端
60,ØA、
61,宫殿建筑磅礴大气
62,ØB、
63,商品经济发达，更甚唐朝
64,ØC、
65,文化艺术发达
66,ØD、
67,宫殿建筑装饰华丽
68,窗体底端
69,正确答案： A 我的答案：A
70,6
71,商朝在人类文明方面取得了极大的成就，以下哪项最能够体现这一点？（）
72,1.0 分
73,窗体顶端
74,ØA、
75,磨制石器
76,ØB、
77,打制石器
78,ØC、
79,人殉
80,ØD、
81,青铜器
82,窗体底端
83,正确答案： D 我的答案：D
84,7
85,以下哪点不是皇家园林的特点？（）
86,1.0 分
87,窗体顶端
88,ØA、
89,规模宏大
90,ØB、
91,形式朴素
92,ØC、
93,建筑富丽
94,ØD、
95,皇权象征寓意
96,窗体底端
97,正确答案： B 我的答案：B
98,8
99,文庙在中国，一般会使用什么样的色彩作为屋瓦装饰？（）
100,1.0 分
101,窗体顶端
102,ØA、
103,灰色
104,ØB、
105,黄色
106,ØC、
107,绿色
108,ØD、
109,红色
110,窗体底端
111,正确答案： B 我的答案：B
112,9
113,中国古建筑屋檐的出挑可以有很多种方法，请问以下哪种不是这些方法之一？（）
114,1.0 分
115,窗体顶端
116,ØA、
117,斗拱出挑
118,ØB、
119,叠涩出挑
120,ØC、
121,挑枋出挑
122,ØD、
123,五步挑
124,窗体底端
125,正确答案： D 我的答案：D
126,10
127,庭院或者是小广场一般会设计在建筑的什么位置？（）
128,1.0 分
129,窗体顶端
130,ØA、
131,最主要的殿堂后面
132,ØB、
133,最主要的殿堂前面
134,ØC、
135,最主要的殿堂的左边
136,ØD、
137,最主要的殿堂的后面
138,窗体底端
139,正确答案： B 我的答案：B
140,11
141,下列关于墙承重结构的特点说法错误的是（）
142,1.0 分
143,窗体顶端
144,ØA、
145,适合大型殿堂的建筑
146,ØB、
147,不需要柱子
148,ØC、
149,不需要梁
