,题目
0,1 
1,以下哪一项属于考古学家谢里曼主持发现的古代文明：（）
2,1.0 分 
3,窗体顶端
4, 
5,A、 
6,迦太基 
7,B、 
8,巴比伦 
9,C、 
10,特洛伊 
11,D、 
12,二里头 
13,我的答案：C 
14,窗体底端
15,2 
16,根据传播的方式，以下哪一项不属于佛教三大流派：（）
17,1.0 分 
18,窗体顶端
19, 
20,A、 
21,汉传佛教 
22,B、 
23,南传佛教 
24,C、 
25,日本佛教 
26,D、 
27,藏传佛教 
28,我的答案：C 
29,窗体底端
30,3 
31,马涅托是以下哪一文明的埃及史学家：（）
32,1.0 分 
33,窗体顶端
34, 
35,A、 
36,古巴比伦 
37,B、 
38,古玛雅 
39,C、 
40,古希腊 
41,D、 
42,古印度 
43,我的答案：C 
44,窗体底端
45,4 
46,以埃及艳后为故事原本的《克丽奥佩托拉》是以下哪一位著名剧作家的作品：（）
47,1.0 分 
48,窗体顶端
49, 
50,A、 
51,埃斯库罗斯 
52,B、 
53,契诃夫 
54,C、 
55,萧伯纳 
56,D、 
57,莎士比亚 
58,我的答案：D 
59,窗体底端
60,5 
61,以下哪一项是雅利安人在古印度创造的的文化：（）
62,1.0 分 
63,窗体顶端
64, 
65,A、 
66,北欧文化 
67,B、 
68,楼兰文化 
69,C、 
70,吠陀文化 
71,D、 
72,埃及文化 
73,我的答案：C 
74,窗体底端
75,6 
76,以下哪一项岩画考古发现被称之为“史前的西斯庭教堂”：
77,1.0 分 
78,窗体顶端
79, 
80,A、 
81,卡罗瓦洞穴 
82,B、 
83,阿尔塔米拉洞穴 
84,C、 
85,拉斯科洞穴 
86,D、 
87,帕侬帕洞穴 
88,我的答案：C 
89,窗体底端
90,7 
91,《美狄亚》是以下哪一位剧作家的著名戏剧：（）
92,1.0 分 
93,窗体顶端
94, 
95,A、 
96,埃斯库罗斯 
97,B、 
98,索福克勒斯 
99,C、 
100,欧里庇得斯 
101,D、 
102,赫拉特克斯 
103,我的答案：C 
104,窗体底端
105,8 
106,以下哪一项是根据尼罗河沿岸肥沃程度而进行的古埃及区域划分：（）
107,1.0 分 
108,窗体顶端
109, 
110,A、 
111,东埃及和西埃及 
112,B、 
113,前埃及和后埃及 
114,C、 
115,左埃及和右埃及 
116,D、 
117,上埃及和下埃及 
118,我的答案：D 
119,窗体底端
120,9 
121,基督教名著《忏悔录》的作者是（）。
122,1.0 分 
123,窗体顶端
124, 
125,A、 
126,西塞罗 
127,B、 
128,保罗 
129,C、 
130,阿奎那 
131,D、 
132,奥古斯丁 
133,我的答案：D 
134,窗体底端
135,10 
136,以下哪一项不属于亚历山大大帝时期发生的著名战争：（）
137,1.0 分 
138,窗体顶端
139, 
140,A、 
141,格拉尼库斯会战 
142,B、 
143,高加美拉会战 
144,C、 
145,波多基诺会战 
146,D、 
147,伊苏会战 
148,我的答案：C 
149,窗体底端
150,11 
151,胡夫金字塔是埃及历史上哪一时期建造的法老陵墓：（）
152,1.0 分 
153,窗体顶端
154, 
155,A、 
156,古王国时期 
157,B、 
158,中王国时期 
159,C、 
160,新王国时期 
161,D、 
162,马木留克时期 
163,我的答案：A 
164,窗体底端
165,12 
166,根据罗马斗兽场的规定，受伤斗士的生死由以下哪一位决定：（）
167,1.0 分 
168,窗体顶端
169, 
170,A、 
171,斗兽场主人 
172,B、 
173,斗兽场观众 
174,C、 
175,斗士自己 
176,D、 
177,该地行政长官 
178,我的答案：B 
179,窗体底端
180,13 
181,以下哪一位美国考古学家发现了图坦卡蒙墓：（）
182,1.0 分 
183,窗体顶端
184, 
185,A、 
186,诺斯 
187,B、 
188,杰夫 
189,C、 
190,汤姆 
191,D、 
192,卡特 
193,我的答案：D 
194,窗体底端
195,14 
196,朱古达战争是在罗马哪一统治区域发生的叛乱战争：（）
197,1.0 分 
198,窗体顶端
199, 
200,A、 
201,希腊 
202,B、 
203,西亚 
204,C、 
205,北非 
206,D、 
207,西西里岛 
208,我的答案：C 
209,窗体底端
210,15 
211,根据历史的记载，以下哪一项是古希腊时期亚历山大大帝东征的最远区域：（）
212,1.0 分 
213,窗体顶端
214, 
215,A、 
216,日本 
217,B、 
218,越南 
219,C、 
220,巴基斯坦 
221,D、 
222,巴勒斯坦 
223,我的答案：C 
224,窗体底端
225,16 
226,以下哪一项是古犹太人建国的标志：（）
227,1.0 分 
228,窗体顶端
229, 
230,A、 
231,雅各王建国 
232,B、 
233,希律王建国 
234,C、 
235,所罗门王建国 
236,D、 
237,大卫王建国 
238,我的答案：D 
239,窗体底端
240,17 
241,以下哪一项不属于罗马帝国的公共建筑：（）
242,1.0 分 
243,窗体顶端
244, 
245,A、 
246,剧场 
247,B、 
248,斗兽场 
249,C、 
250,赛马场 
251,D、 
252,皇帝别墅 
253,我的答案：D 
254,窗体底端
255,18 
256,“楔形方阵”是以下哪一位古代希腊军事家创立的军队阵法：（）
257,1.0 分 
258,窗体顶端
259, 
260,A、 
261,利奥尼达斯 
262,B、 
263,庇西特拉图 
264,C、 
265,伯利克里 
266,D、 
267,伊巴密浓达 
268,我的答案：D 
269,窗体底端
270,19 
271,“独裁官”是以下哪一文明设立的战争时期特别行政职位：（）
272,1.0 分 
273,窗体顶端
274, 
275,A、 
276,埃及 
277,B、 
278,雅典 
279,C、 
280,罗马 
281,D、 
282,印度 
283,我的答案：C 
284,窗体底端
285,20 
286,以下哪一项属于古代中国对犹太人的称呼：（）
287,1.0 分 
288,窗体顶端
289, 
290,A、 
291,白帽回回 
292,B、 
293,祆人 
294,C、 
295,蓝帽回回 
296,D、 
297,景人 
298,我的答案：C 
299,窗体底端
300,21 
301,西罗马帝国灭亡的时间是（）。
302,1.0 分 
303,窗体顶端
304, 
305,A、 
306,公元674年 
307,B、 
308,公元前674年 
309,C、 
310,公元476年 
311,D、 
312,公元前476年 
313,我的答案：C 
314,窗体底端
315,22 
316,以下哪一项不属于雅典卫城山的著名文物：（）
