,题目
0,   成绩： 99.0分
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,埃及有世界上最早的（）历。
5,窗体顶端
6,A、
7,阴
8,B、
9,天地
10,C、
11,太阳
12,D、
13,天阳
14,窗体底端
15,我的答案：C
16,2
17,哪一年英国画家罗伯茨创作卡尔纳克巨柱写生图。（）
18,窗体顶端
19,A、
20,1836
21,B、
22,1837
23,C、
24,1838
25,D、
26,1839
27,窗体底端
28,我的答案：C
29,3
30,格拉古兄弟改革的主要内容是（）。
31,窗体顶端
32,A、
33,减少税收
34,B、
35,重新分配土地
36,C、
37,增加公民的参政权
38,D、
39,减少贵族的议政权
40,窗体底端
41,我的答案：B
42,4
43,西方“医学之父”是（）。
44,窗体顶端
45,A、
46,白求恩
47,B、
48,亚里士多德
49,C、
50,盖伦
51,D、
52,希波克拉底
53,窗体底端
54,我的答案：D
55,5
56,罗马帝国横跨了三大洲，这三大洲中不包括（）。
57,窗体顶端
58,A、
59,亚洲
60,B、
61,非洲
62,C、
63,美洲
64,D、
65,欧洲
66,窗体底端
67,我的答案：C
68,6
69,阿蒙神有个动物的形象，是什么动物？（）
70,窗体顶端
71,A、
72,公牛
73,B、
74,蛇
75,C、
76,大象
77,D、
78,公羊
79,窗体底端
80,我的答案：D
81,7
82,佛教的瑞兽是（）。
83,窗体顶端
84,A、
85,蛇
86,B、
87,鹰
88,C、
89,象
90,D、
91,虎
92,窗体底端
93,我的答案：C
94,8
95,希特罗斯.布特罗斯-加利是第几任联合国秘书长？（）
96,窗体顶端
97,A、
98,3
99,B、
100,4
101,C、
102,5
103,D、
104,6
105,窗体底端
106,我的答案：D
107,9
108,下列哪个谚语的意思是指代价高昂的胜利，得不偿失的胜利？（）
109,窗体顶端
110,A、
111,希腊人的礼物
112,B、
113,皮洛士式胜利
114,C、
115,天鹅之歌
116,D、
117,西绪福斯的劳动
118,窗体底端
119,我的答案：B
120,10
121,什么时期波斯国王普鲁士灭亡了新巴比伦王国。（）
122,窗体顶端
123,A、
124,公元前439年
125,B、
126,公元439年
127,C、
128,公元前539年
129,D、
130,公元539年
131,窗体底端
132,我的答案：C
133,11
134,新巴比伦王国由迦勒底人在哪年建立？（）
135,窗体顶端
136,A、
137,公元前615年
138,B、
139,公元前619年
140,C、
141,公元前626年
142,D、
143,公元前628年
144,窗体底端
145,我的答案：C
146,12
147,人类历史上第一个平等的国际条约是（）。
148,窗体顶端
149,A、
150,《安政五国条约》
151,B、
152,《拉特兰条约》
153,C、
154,《银板条约》
155,D、
156,《尼布楚条约》
157,窗体底端
158,我的答案：C
159,13
160,埃及古王国指第三王朝至第六王朝，首都在哪里？（）
161,窗体顶端
162,A、
163,开罗
164,B、
165,雅加达
166,C、
167,孟买
168,D、
169,孟斐斯
170,窗体底端
171,我的答案：D
172,14
173,摩尼教又称（）。
174,窗体顶端
175,A、
176,阴教
177,B、
178,暗教
179,C、
180,明教
181,D、
182,亮教
183,窗体底端
184,我的答案：C
185,15
186,拉美西斯二世在南方修建了巨大的神庙，庙外矗立着几尊巨大的他的雕像。（）
187,窗体顶端
188,A、
189,2
190,B、
191,3
192,C、
193,4
194,D、
195,5
196,窗体底端
197,我的答案：C
198,16
199,拉美西斯二世统治时间长达多少年？（）
200,窗体顶端
201,A、
202,65
203,B、
204,66
205,C、
206,67
207,D、
208,68
209,窗体底端
210,我的答案：C
211,17
212,佛教产生于（）。
213,窗体顶端
214,A、
215,列国时代
216,B、
217,孔雀王朝
218,C、
219,苏丹王朝
220,D、
221,笈多王朝
222,窗体底端
223,我的答案：A
224,18
225,萨尔贡是阿卡德的第几任国王？（）
226,窗体顶端
227,A、
228,1
229,B、
230,2
231,C、
232,3
233,D、
234,4
235,窗体底端
236,我的答案：A
237,19
238,埃及有世界上最早的（）历。
239,窗体顶端
240,A、
241,阴
242,B、
243,天地
244,C、
245,太阳
246,D、
247,天阳
248,窗体底端
249,我的答案：C
250,20
251,罗马历史上第一部农书《农业志》的作者是（）。
252,窗体顶端
253,A、
254,庞培
255,B、
256,安东尼
257,C、
258,屋大维
259,D、
260,加图
261,窗体底端
262,我的答案：D
263,21
264,《高卢战记》的作者是（）。
265,窗体顶端
266,A、
267,庞培
268,B、
269,凯撒
270,C、
271,西塞罗
272,D、
273,屋大维
274,窗体底端
275,我的答案：B
276,22
277,罗马共和国和罗马帝国交界的年代是（）。
278,窗体顶端
279,A、
280,公元前509年
281,B、
282,公元前421年
283,C、
284,公元前101年
285,D、
286,公元前27年
287,窗体底端
288,我的答案：D
289,23
290,爱琴海文明中，哪个文明距今最早？（）
291,窗体顶端
292,A、
293,克里特文明
294,B、
295,迈锡尼文明
296,C、
297,特洛伊文明
298,D、
299,三者是同一时期出现的。
300,窗体底端
301,我的答案：A
302,24
303,什么时期在库兰山洞发现死海古卷，对研究犹太起义和圣经有重大意义。（）
304,窗体顶端
305,A、
306,19世纪早期
307,B、
308,19世纪中期
309,C、
310,20世纪早期
311,D、
312,20世纪中期
313,窗体底端
314,我的答案：D
315,25
316,马萨达城堡是多少年前犹太人在罗马人进攻下坚守最后的一座壁垒？（）
317,窗体顶端
318,A、
319,1000多
320,B、
321,1500多
322,C、
323,1800多
324,D、
325,2000多
326,窗体底端
327,我的答案：D
328,26
329,下列哪条道路是古罗马人修的第一条军事道路？（）
330,窗体顶端
331,A、
332,巴萨斯丁道
333,B、
334,诺门蒂娜道
335,C、
336,西拉娜道
337,D、
338,阿庇安道
339,窗体底端
340,我的答案：D
341,27
342,印度古代用的文字是（）。
343,窗体顶端
344,A、
345,印度语
346,B、
347,阿拉伯语
348,C、
349,梵文
350,D、
351,希腊语
352,窗体底端
353,我的答案：C
354,28
355,大约（）年扫罗被撒母耳拥立为王。
356,窗体顶端
357,A、
358,公元前800
359,B、
360,公元前900
361,C、
362,公元前1000
363,D、
364,公元前1200
365,窗体底端
366,我的答案：D
367,29
368,关于季羡林大师的说法，错误的是（）。
369,窗体顶端
370,A、
371,国际著名东方学大师
372,B、
373,字齐奘
374,C、
375,字希逋
376,D、
377,江苏人
378,窗体底端
379,我的答案：D
380,30
381,哪一年居鲁士率军远征游牧部落马萨吉特人，战败身亡？（）
382,窗体顶端
383,A、
384,公元前349年
385,B、
386,公元前449年
387,C、
388,公元前519年
389,D、
390,公元前538年
391,窗体底端
392,我的答案：D
393,31
394,埃及的文字神是（）。
395,窗体顶端
396,A、
397,美尼斯
398,B、
399,阿蒙神
400,C、
401,伊西斯女神
402,D、
403,伊姆霍特普
404,窗体底端
405,我的答案：D
406,32
407,亚历山大帝国横跨欧亚非三洲，其首都位于（）。
408,窗体顶端
409,A、
410,印度
411,B、
412,希腊
413,C、
414,西亚
415,D、
416,巴比伦
417,窗体底端
418,我的答案：D
419,33
420,孔雀王朝的第几代国王使佛教成为世界性宗教？（）
421,窗体顶端
422,A、
423,一
424,B、
425,二
426,C、
427,三
428,D、
429,四
430,窗体底端
431,我的答案：C
432,34
433,关于希罗多德说法，错误的是（）。
434,窗体顶端
435,A、
436,古希腊作家
437,B、
438,著有《历史》
439,C、
440,活跃于公元前5世纪左右
441,D、
442,不爱出游
443,窗体底端
444,我的答案：D
445,35
446,关于衣服的功能说法错误的是（）
447,窗体顶端
448,A、
449,遮羞蔽体
450,B、
451,防热避寒
452,C、
453,扬短避长
454,D、
455,穿出品位
456,窗体底端
457,我的答案：C
458,36
459,泰姬陵是在哪个朝代修建的？（）
460,窗体顶端
461,A、
462,孔雀王朝
463,B、
464,苏丹王朝
465,C、
466,莫卧儿王朝
467,D、
468,笈多王朝
469,窗体底端
470,我的答案：C
471,37
472,古希腊雕塑《掷铁饼者》的作者是（）。
473,窗体顶端
474,A、
475,米开朗琪罗
476,B、
477,伦布朗
478,C、
479,米罗
480,D、
481,罗丹
482,窗体底端
483,我的答案：C
484,38
485,埃及艳后是通过什么媒介见到凯撒的？（）
486,窗体顶端
487,A、
488,发簪
489,B、
490,香囊
491,C、
492,手镯
493,D、
494,地毯
495,窗体底端
496,我的答案：C
497,39
498,（）有全世界唯一的摩尼教教堂。
499,窗体顶端
500,A、
501,伦敦
502,B、
503,罗马
504,C、
505,北京
506,D、
507,泉州
508,窗体底端
509,我的答案：D
510,40
511,古代罗马又被称为“（）丘之城”。
512,窗体顶端
513,A、
514,五
515,B、
516,七
517,C、
518,八
519,D、
520,十
521,窗体底端
522,我的答案：B
523,41
524,中世纪以后，波斯接受了什么教？（）
525,窗体顶端
526,A、
527,佛教
528,B、
529,基督教
530,C、
531,犹太教
532,D、
533,伊斯兰教
534,窗体底端
535,我的答案：D
536,42
537,(）是中国历史上由党项人在中国西部建立的一个政权。
538,窗体顶端
539,A、
540,契丹
541,B、
542,蒙古族
543,C、
544,女真
545,D、
546,西夏
547,窗体底端
548,我的答案：D
549,43
550,人类的劳动是怎样开始的？（）
551,窗体顶端
552,A、
553,采集
554,B、
555,制造工具
556,C、
557,狩猎
558,D、
559,圈养
560,窗体底端
561,我的答案：B
562,44
563,罗马斗兽场是下列哪个皇帝下令修建的？（）
564,窗体顶端
565,A、
566,尼禄
567,B、
568,第度
569,C、
570,韦帕芗
571,D、
572,图密善
573,窗体底端
574,我的答案：C
575,45
576,公元前5世纪被称为轴心时代，在轴心时代出现的文明不包括（）。
577,窗体顶端
578,A、
579,中国文明
580,B、
581,希腊文明
582,C、
583,印度文明
584,D、
585,巴比伦文明
586,窗体底端
587,我的答案：D
588,46
589,新巴比伦王国由迦勒底人在哪年建立？（）
590,窗体顶端
591,A、
592,公元前612年
593,B、
594,公元前615年
595,C、
596,公元前619年
597,D、
598,公元前626年
599,窗体底端
600,我的答案：D
601,47
602,商业模式设计中最基础最和核心的是：（）
603,窗体顶端
604,A、
605,如何提供
606,B、
607,为谁提供
608,C、
609,提供什么
610,D、
611,收益多少
612,窗体底端
613,我的答案：B
614,48
615,哪个国王曾灭亡了以色列？（）
616,窗体顶端
617,A、
618,提格拉特帕拉萨尔三世
619,B、
620,萨尔贡二世
621,C、
622,辛那赫里布
623,D、
624,亚述巴尼拔
625,窗体底端
626,我的答案：D
627,49
628,波兰作家显克维支的哪部著作是描写古罗马帝国尼禄皇帝的荒唐人生的？（）
629,窗体顶端
630,A、
631,《十字军骑士》
632,B、
633,《你往何处去》
634,C、
635,《洪流》
636,D、
