,题目
0,1
1,下列情况中最容易异物滑落呼吸道，造成呼吸不畅的是（）。
2,1.0 分
3,窗体顶端
4,A、
5,吃东西时候大笑
6, 
7,B、
8,吃饭时太过着急
9, 
10,C、
11,吃饭时说话
12, 
13,D、
14,吃东西时太过着急同时说话
15, 
16,窗体底端
17,正确答案： D 我的答案：D
18,2
19,现场伤员较多的情况下，对于运送伤员的顺序，不正确的说法是（）？
20,1.0 分
21,窗体顶端
22,A、
23,危急重病人先送就医
24, 
25,B、
26,轻伤病人一般治疗
27, 
28,C、
29,一般伤员对症治疗
30, 
31,D、
32,濒死者放弃抢救
33, 
34,窗体底端
35,正确答案： D 我的答案：D
36,3
37,高校突发事件的类型为（）。
38,1.0 分
39,窗体顶端
40,A、
41,公共卫生和意外事故
42, 
43,B、
44,心理疾病和设施安全
45, 
46,C、
47,自然灾害和学校管理、政治事件
48, 
49,D、
50,以上都选
51, 
52,窗体底端
53,正确答案： D 我的答案：D
54,4
55,心脏复苏在8分钟左右进行，可能会出现怎样的后果？（）
56,1.0 分
57,窗体顶端
58,A、
59,病人成活率仅为20%，且容易“脑死亡”
60, 
61,B、
62,病人容易成功救活，有轻微后遗症
63, 
64,C、
65,病人救活希望小
66, 
67,D、
68,会给病人留下后遗症
69, 
70,窗体底端
71,正确答案： A 我的答案：A
72,5
73,病患突然发病后，呼救时家属应注意（）。
74,1.0 分
75,窗体顶端
76,A、
77,呼唤病人
78, 
79,B、
80,搜集病人的基本信息
81, 
82,C、
83,保持镇定情绪，通知旁人协助
84, 
85,D、
86,保持轻松
87, 
88,窗体底端
89,正确答案： C 我的答案：C
90,6
91,猝死后，多长时间内进行心脏复苏抢救，是抢救的“黄金时间”？（）
92,1.0 分
93,窗体顶端
94,A、
95,1分钟
96, 
97,B、
98,2分钟
99, 
100,C、
101,3分钟
102, 
103,D、
104,4分钟
105, 
106,窗体底端
107,正确答案： D 我的答案：D
108,7
109,下列哪一项不属于急性中毒的特征？（）
110,1.0 分
111,窗体顶端
112,A、
113,发生突然
114, 
115,B、
116,病变特异
117, 
118,C、
119,危急生命
120, 
121,D、
122,演变迅速
123, 
124,窗体底端
125,正确答案： C 我的答案：C
126,8
127,猝死和窒息属于高校突发事件类型的哪一种？（）
128,1.0 分
129,窗体顶端
130,A、
131,公共卫生
132, 
133,B、
134,设施安全
135, 
136,C、
137,意外事故
138, 
139,D、
140,学校管理
141, 
142,窗体底端
143,正确答案： C 我的答案：C
144,9
145,配备AED地点选取的原则（）。
146,1.0 分
147,窗体顶端
148,A、
149,五年内发生过心脏骤停事件
150, 
151,B、
152,当地急救系统能及时到达的地方
153, 
154,C、
155,低层办公楼
156, 
157,D、
158,以上都不对
159, 
160,窗体底端
161,正确答案： A 我的答案：A
162,10
163,下列事件中哪一项不属于事故灾难？（）
164,1.0 分
165,窗体顶端
166,A、
167,交通运输事故
168, 
169,B、
170,食品安全
171, 
172,C、
173,环境污染事故
174, 
175,D、
176,公共设施事故
177, 
178,窗体底端
179,正确答案： B 我的答案：B
180,11
181,头顶部受伤包扎时采用（）方法。
182,1.0 分
183,窗体顶端
184,A、
185,风帽式包扎法
186, 
187,B、
188,帽式包扎法
189, 
190,C、
191,面具式包扎法
192, 
193,D、
194,8字形包扎法
195, 
196,窗体底端
197,正确答案： B 我的答案：B
198,12
199,神经末梢分布十分密集的物质是（）。
200,1.0 分
201,窗体顶端
202,A、
203,胆碱酯酶
204, 
205,B、
206,乙酰胆硷
207, 
208,C、
209,胆硷
210, 
211,D、
212,乙酸
213, 
214,窗体底端
215,正确答案： B 我的答案：B
216,13
217,猝死和窒息属于高校突发事件类型的哪一种？（）
218,1.0 分
219,窗体顶端
220,A、
221,公共卫生
222, 
223,B、
224,设施安全
225, 
226,C、
227,意外事故
228, 
229,D、
230,学校管理
231, 
232,窗体底端
233,正确答案： C 我的答案：C
234,14
235,下列关于地震救援原则的说明错误的是（）。
236,1.0 分
237,窗体顶端
238,A、
239,先近后远
240, 
241,B、
242,先易后难
243, 
244,C、
245,先救领导
246, 
247,D、
248,要注意自身的安全
249, 
250,窗体底端
251,正确答案： C 我的答案：C
252,15
253,美国资料的显示表明，死亡的首要原因是（）
254,1.0 分
255,窗体顶端
256,A、
257,高血压
258, 
259,B、
260,脑溢血
