,题目
0,一、单选题（题数：50，共 50.0 分） 
1,1 轻度失血是指失血量在（）毫升之内。1.0 分 
2,窗体顶端
3,    A、 300ml 
4,B、 400ml 
5,C、 500ml 
6,D、 800ml 
7,窗体底端
8,我的答案：C 
9,2 下列环境中不利于破伤风杆菌生长的是（）。1.0 分 
10,窗体顶端
11,A、 腐烂的稻草堆 
12,B、 公园里 
13,C、 马粪 
14,D、 垃圾桶 
15,窗体底端
16,我的答案：B 
17,3 中度失血是指失去人体（）的血液，脉搏迅速上升到每分钟（）次。1.0 分 
18,窗体顶端
19,A、 1500ml；120 
20,B、 1200ml；80 
21,C、 900ml；80 
22,D、 1200ml；120 
23,窗体底端
24,我的答案：A 
25,4 由脑血栓形成的脑中风是（）。1.0 分 
26,窗体顶端
27,A、 出血性中风 
28,B、 缺血性中风 
29,C、 失血性中风 
30,D、 脑溢血 
31,窗体底端
32,我的答案：B 
33,5 刚刚接触毒物的病患，中毒急救时应首先考虑（）。1.0 分 
34,窗体顶端
35,A、 解毒 
36,B、 除毒 
37,C、 吸出毒物 
38,D、 送去医院 
39,窗体底端
40,我的答案：B 
41,6 下列哪一项不属于高校突发事件的特点？（）1.0 分 
42,窗体顶端
43,A、 相对性 
44,B、 突发性 
45,C、 扩散性 
46,D、主体活跃性 
47,窗体底端
48,我的答案：A 
49,7 心脏复苏术的目标是（）。1.0 分 
50,窗体顶端
51,A、 起死回生 
52,B、 逆转临床死亡 
53,C、 减少伤残 
54,D、 解除病痛 
55,窗体底端
56,我的答案：B 
57,8 2010年全国应急救护知识普及率为（）。1.0 分 
58,窗体顶端
59,A、 0.1 
60,B、 0.05 
61,C、 0.03 
62,D、 0.01 
63,窗体底端
64,我的答案：D 
65,9 胸部创伤急救时，错误的做法是（）。1.0 分 
66,窗体顶端
67,A、 开放呼吸道 
68,B、 开放性气胸，立即堵住 
69,C、 吸氧 
70,D、 胸外按压 
71,窗体底端
72,我的答案：D 
73,10 造成猝死的主要原因是（）。1.0 分 
74,窗体顶端
75,A、 心室颤动 
76,B、 心房不再供血 
77,C、 心脏不能再造血 
78,D、 心脏不再跳动 
79,窗体底端
80,我的答案：A 
81,11 病人呕血的症状中，不包含（）。1.0 分 
82,窗体顶端
83,A、 喉咙痒 
84,B、 恶心呕吐 
85,C、 吐出食物残渣 
86,D、 无痰血 
87,窗体底端
88,我的答案：A 
89,12 飞虫冲入耳道，急救方法不恰当的是（）。1.0 分 
90,窗体顶端
91,A、 用筷子深入耳朵，夹出 
92,B、 黑暗部用光引出 
93,C、 滴入花生油 
94,D、 滴乙醚 
95,窗体底端
96,我的答案：A 
97,13 造成烧烫伤的原因中不包括（）。1.0 分 
98,窗体顶端
99,A、 强酸强碱 
100,B、 热开水 
101,C、 塌方 
102,D、 爆炸 
103,窗体底端
104,我的答案：C 
105,14 下面哪种药物中毒可导致瞳孔由针头大至散大的症状？（）0.0 分 
106,窗体顶端
107,A、 安定 
108,B、 吗啡 
109,C、 速可眠 
110,D、 阿米妥 
111,窗体底端
112,我的答案：A 
113,15 下列不能判断为猝死的为（）。1.0 分 
114,窗体顶端
115,A、 病患没有意识 
116,B、 病人的颈动脉没有搏动 
117,C、 瞳孔散大 
118,D、 脸色难看 
119,窗体底端
120,我的答案：D 
121,16 需要培训急救技术的人员有（）。1.0 分 
122,窗体顶端
123,A、 警察和体育教练 
124,B、 高危心脏病人的亲属 
125,C、 滑雪场的巡查员 
126,D、 以上都选 
127,窗体底端
128,我的答案：D 
129,17 煤气中毒的缘由是（）。1.0 分 
130,窗体顶端
131,A、 煤气中的一氧化碳阻止氧气的产生 
132,B、 煤气中的一氧化碳阻止氧气与血红蛋白的结合，导致人体缺氧 
133,C、 煤气中的氧气不能正常运送到人体 
134,D、 煤气中缺少氧气，从而使得人体缺氧 
135,窗体底端
136,我的答案：B 
137,18 经过呼吸道吸收的毒物，首先要采取的急救措施是（）。1.0 分 
138,窗体顶端
139,A、 注意呼吸道开放 
140,B、 松开衣领，保持呼吸畅通 
141,C、 脱离现场，呼吸新鲜空气 
142,D、 吸氧，保证氧气供给 
143,窗体底端
144,我的答案：C 
145,19 医学上死亡的标志是（）。1.0 分 
146,窗体顶端
147,A、 呼吸、脉搏微弱 
148,B、 心脏、呼吸停止，瞳孔散大 
149,C、 心脏骤停 
150,D、 昏迷无意识 
151,窗体底端
152,我的答案：B 
153,20 下列对高空坠落伤的特征，描述正确的是（）。1.0 分 
154,窗体顶端
155,A、 坠落的起点越高越容易存活 
156,B、 双手着地，会造成胸腔损伤 
157,C、 头部、胸部着地，会造成高位截瘫 
158,D、 足先着地，可造成身体的连锁损伤 
159,窗体底端
160,我的答案：D 
161,21 用止血带止血，应该注意的是（）。1.0 分 
162,窗体顶端
