,题目
0,1
1,现代生物技术能够通过婴儿的（）培养出可移植的匹配器官。
2,1.0 分
3,窗体顶端
4,A、
5,骨髓造血细胞
6, 
7,B、
8,表皮细胞
9, 
10,C、
11,脐带血干细胞
12, 
13,D、
14,白细胞
15, 
16,窗体底端
17,正确答案： C 我的答案：C
18,2
19,从马克思主义哲学的角度来看，人是（）。
20,1.0 分
21,窗体顶端
22,A、
23,灵魂和肉体的结合
24, 
25,B、
26,猴子进化而来的
27, 
28,C、
29,一切社会关系的总和
30, 
31,D、
32,神的形象在地上的投射
33, 
34,窗体底端
35,正确答案： C 我的答案：C
36,3
37,为了验证上题中总统的绯闻是否真实，1998年有人取了（）和（）的DNA进行比对。
38,1.0 分
39,窗体顶端
40,A、
41,总统的后代和绯闻对象的后代
42, 
43,B、
44,总统兄弟的后代和绯闻对象的后代
45, 
46,C、
47,总统家族的后代和绯闻对象家族的后代
48, 
49,D、
50,总统的后代和绯闻对象家族的后代
51, 
52,窗体底端
53,正确答案： B 我的答案：B
54,4
55,从遗传学的角度上看，人类两个不同个体的基因差异大致是（）。
56,1.0 分
57,窗体顶端
58,A、
59,百分之一
60, 
61,B、
62,千分之一
63, 
64,C、
65,十分之一
66, 
67,D、
68,八分之一
69, 
70,窗体底端
71,正确答案： B 我的答案：B
72,5
73,在解释人类外貌的变化中，拉马克的理论是（）。
74,1.0 分
75,窗体顶端
76,A、
77,用进废退
78, 
79,B、
80,自然选择
81, 
82,C、
83,上帝创造
84, 
85,D、
86,基因突变
87, 
88,窗体底端
89,正确答案： A 我的答案：A
90,6
91,自然界所有的生命物体都由三类物质组成，这三类物质不包括（）。
92,1.0 分
93,窗体顶端
94,A、
95,水
96, 
97,B、
98,纤维素
99, 
100,C、
101,无机离子
102, 
103,D、
104,生物分子
105, 
106,窗体底端
107,正确答案： B 我的答案：B
108,7
109,（）是女性染色体表达式。
110,1.0 分
111,窗体顶端
112,A、
113,1p22.22
114, 
115,B、
116,3p21.23
117, 
118,C、
119,46xx
120, 
121,D、
122,2x33.23
123, 
124,窗体底端
125,正确答案： C 我的答案：C
126,8
127,现代科技的发展，使得人们可以通过多种途径来改变一个人的外貌，这些手段不包括（）。
128,1.0 分
129,窗体顶端
130,A、
131,化妆整容
132, 
133,B、
134,遗传操作
135, 
136,C、
137,饮食结构调整
138, 
139,D、
140,设计婴儿
141, 
142,窗体底端
143,正确答案： C 我的答案：C
144,9
145,（）不是猫叫综合征的临床表现。
146,1.0 分
147,窗体顶端
148,A、
149,患儿哭声似猫叫
150, 
151,B、
152,喉部畸形、松弛
153, 
154,C、
155,骨骼发育偏大
156, 
157,D、
158,手足小，肾畸形，脑积水
159, 
160,窗体底端
161,正确答案： C 我的答案：C
162,10
163,现代生物技术的发展带来了一系列的社会影响，其中（）不属于其带来的诸多影响之一。
164,1.0 分
165,窗体顶端
166,A、
167,健康问题
168, 
169,B、
170,个人发展问题
171, 
172,C、
173,生态问题
174, 
175,D、
176,经济问题
177, 
178,窗体底端
179,正确答案： B 我的答案：B
180,11
181,下列哪种情况下的遗传病，男性患者比女性多。（）
182,1.0 分
183,窗体顶端
184,A、
185,X连锁显性遗传病
186, 
187,B、
188,X连锁隐性遗传病
189, 
190,C、
191,父亲是遗传病患者
192, 
193,D、
194,X伴性显性遗传病
195, 
196,窗体底端
197,正确答案： B 我的答案：B
198,12
199,有助于解决家庭纠纷的DNA指纹应用领域是（）。
200,1.0 分
201,窗体顶端
202,A、
203,犯罪分子鉴定
204, 
205,B、
206,遗体身份鉴定
207, 
208,C、
209,亲子鉴定
210, 
211,D、
212,胎儿疾病鉴定
213, 
214,窗体底端
215,正确答案： C 我的答案：C
216,13
217,（）不是遗传疾病的特征。
218,1.0 分
219,窗体顶端
220,A、
221,垂直传播
222, 
223,B、
224,由遗传物质引起
225, 
226,C、
227,生殖细胞或受精卵突变
228, 
229,D、
230,一般可由药物治愈
231, 
232,窗体底端
233,正确答案： D 我的答案：D
234,14
235,下列哪项不是一个药物之所以能够被称之为药物的原则？（）
236,1.0 分
237,窗体顶端
238,A、
239,有效
240, 
241,B、
242,安全
243, 
244,C、
245,见效快
246, 
247,D、
248,质量可控
249, 
250,窗体底端
251,正确答案： C 我的答案：C
252,15
253,甜玉米发甜的原因在于它（）。
254,1.0 分
255,窗体顶端
256,A、
257,保留了大量单糖
258, 
259,B、
260,含有大量淀粉
261, 
262,C、
263,是转基因食品
264, 
265,D、
266,被人为添加了糖精
