,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,分书是由哪种书体演变而来的
3,1.0 分
4,窗体顶端
5,A、
6,篆书
7,B、
8,金书
9,C、
10,甲骨文
11,D、
12,楷书
13,窗体底端
14,我的答案：A
15,2
16,结字外形变化较小是下列行气风格的哪一种
17,1.0 分
18,窗体顶端
19,A、
20,欹侧一路
21,B、
22,平正一路
23,C、
24,交错一路
25,D、
26,连绵一路
27,窗体底端
28,我的答案：B
29,3
30,下列选项中不是用“L”符号代替的偏旁是
31,1.0 分
32,窗体顶端
33,A、
34,冫
35,B、
36,氵
37,C、
38,纟
39,D、
40,疒
41,窗体底端
42,我的答案：D
43,4
44,什么笔法在行书中是关键
45,1.0 分
46,窗体顶端
47,A、
48,顿笔和蹲笔
49,B、
50,挫笔
51,C、
52,提笔和按笔
53,D、
54,方笔和圆笔
55,窗体底端
56,我的答案：C
57,5
58,《九成宫》中记录了唐太宗发现了什么的故事
59,1.0 分
60,窗体顶端
61,A、
62,灵芝
63,B、
64,奇石
65,C、
66,醴泉
67,D、
68,祥云
69,窗体底端
70,我的答案：C
71,6
72,具有方圆兼备的用笔特点的是
73,1.0 分
74,窗体顶端
75,A、
76,《始平公造像记》
77,B、
78,《北海王元祥造像记》
79,C、
80,《一弗造像记》
81,D、
82,《司马解伯达造像记》
83,窗体底端
84,我的答案：D
85,7
86,虽然书法造诣极高，但是因为人品太差被排出“宋四家”的是谁
87,1.0 分
88,窗体顶端
89,A、
90,苏轼
91,B、
92,黄庭坚
93,C、
94,米芾
95,D、
96,蔡京
97,窗体底端
98,我的答案：D
99,8
100,下列书家中自称自己书法为“破体”、“一字书”的是
101,1.0 分
102,窗体顶端
103,A、
104,怀素
105,B、
106,张旭
107,C、
108,王羲之
109,D、
110,王献之
111,窗体底端
112,我的答案：D
113,9
114,曹全碑碑体是什么颜色
115,0.0 分
116,窗体顶端
117,A、
118,白
119,B、
120,灰
121,C、
122,赭
123,D、
124,黑
125,窗体底端
126,我的答案：A
127,10
128,衡方碑被列为国家几级文物藏品
129,1.0 分
130,窗体顶端
131,A、
132,三级
133,B、
134,二级
135,C、
136,一级
137,D、
