,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1
2,到了哪个朝代，隶书开始发生了很大的变化，结构向扁平方向发展
3,1.0 分
4,窗体顶端
5,A、
6,秦
7, 
8,B、
9,西汉
10, 
11,C、
12,东汉
13, 
14,D、
15,新朝
16, 
17,窗体底端
18,正确答案： C 我的答案：C
19,2
20,下列汉字不属于同一匀称类型的是（）。
21,1.0 分
22,窗体顶端
23,A、
24,非
25, 
26,B、
27,朋
28, 
29,C、
30,兆
31, 
32,D、
33,北
34, 
35,窗体底端
36,正确答案： C 我的答案：C
37,3
38,齐白石学习下列哪位书法家的行草
39,1.0 分
40,窗体顶端
41,A、
42,王文治
43, 
44,B、
45,何绍基
46, 
47,C、
48,张裕钊
49, 
50,D、
51,翁同龢
52, 
53,窗体底端
54,正确答案： B 我的答案：B
55,4
56,奇肆型甲骨文与后世的（）具有相似的特点。
57,1.0 分
58,窗体顶端
59,A、
60,石鼓文
61, 
62,B、
63,楷书
64, 
65,C、
66,篆刻
67, 
68,D、
69,金文
70, 
71,窗体底端
72,正确答案： D 我的答案：D
73,5
74,《司马悦墓志》用笔与下列选项中的哪项作品很相似
75,1.0 分
76,窗体顶端
77,A、
78,龙门造像记
79, 
80,B、
81,《张使君兄墓志》
82, 
83,C、
84,《王兴之墓志》
85, 
86,D、
87,《刁遵墓志》
88, 
89,窗体底端
90,正确答案： A 我的答案：A
91,6
92,被称为唐人楷书第一的是谁
93,1.0 分
94,窗体顶端
95,A、
96,薛稷
97, 
98,B、
99,欧阳询
100, 
101,C、
102,陈世南
103, 
104,D、
105,褚遂良
106, 
107,窗体底端
108,正确答案： B 我的答案：B
109,7
110,马王堆帛书涉及从哪个朝代到西汉初期的政治，军事，思想和文化
111,1.0 分
112,窗体顶端
113,A、
114,夏朝
115, 
116,B、
117,周朝
118, 
119,C、
120,春秋
121, 
122,D、
123,战国
124, 
125,窗体底端
126,正确答案： D 我的答案：D
127,8
128,古代启蒙教育中关于人文知识的读本是（）。
129,1.0 分
130,窗体顶端
131,A、
132,《上大人》
133, 
134,B、
135,《百家姓》
136, 
137,C、
138,《三字经》
139, 
140,D、
141,《千字文》
142, 
