,题目
0,首页戚安邦 
1, 
2,一、 单选题（题数：50，共 50.0 分）
3,1
4,下列不属于项目管理过程中的日常运营的是：
5,窗体顶端
6,ØA、
7,计划过程
8,ØB、
9,执行过程
10,ØC、
11,起始过程
12,ØD、
13,控制过程
14,窗体底端
15,正确答案： C  
16,2
17,某大厦建成后存在严重质量问题，不得不爆破拆除，这说明工程项目具有（ ）的特征。
18,窗体顶端
19,ØA、
20,一次性
21,ØB、
22,唯一性
23,ØC、
24,不确定性
25,ØD、
26,不可逆转性
27,窗体底端
28,正确答案： D  
29,3
30,十七届三中全会关于农民土地问题主要集中在：
31,窗体顶端
32,ØA、
33,一大二公
34,ØB、
35,买卖
36,ØC、
37,流转
38,ØD、
39,承包
40,窗体底端
41,正确答案： C  
42,4
43,下列各项中属于项目计划约束条件的是
44,窗体顶端
45,ØA、
46,过去业绩的纪录
47,ØB、
48,类似项目的财务报告
49,ØC、
50,事先确定的预算
51,ØD、
52,以前项目的经验
53,窗体底端
54,正确答案： C  
55,5
56,项目活动的排序最先考虑的是：
57,窗体顶端
58,ØA、
59,项目活动的外在联系
60,ØB、
61,项目活动的人为依存关系
62,ØC、
63,项目活动的必然依存关系
64,ØD、
65,项目活动的内容
66,窗体底端
67,正确答案： C  
68,6
69,管理的职能包括：
70,窗体顶端
71,ØA、
72,计划
73,ØB、
74,组织
75,ØC、
76,控制
77,ØD、
78,以上都对
79,窗体底端
80,正确答案： D  
81,7
82,目标管理不涉及下列哪些内容
83,窗体顶端
84,ØA、
85,确定明确和现实的目标
86,ØB、
87,确定明确和现实的目标
88,ØC、
89,促进合作、团队建设和对项目的投入
90,ØD、
91,为项目成员建立具体的职业途径
92,窗体底端
93,正确答案： D  
94,8
95,下列哪个不是项目风险度量的内容？
96,窗体顶端
97,ØA、
98,风险发生可能性的度量
99,ØB、
100,后果严重程度地度量
101,ØC、
102,发生地点的度量
103,ØD、
104,影响范围的度量
105,窗体底端
106,正确答案： C  
107,9
108,通过对照比较，制定质量标杆的方法称为：
109,窗体顶端
110,ØA、
111,成本收益分析法
112,ØB、
113,经济质量法
114,ØC、
115,质量标杆法
116,ØD、
