,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1下列不属于武松干过的事的是（）。1.0 分
2,A、
3,醉打蒋门神
4,B、
5,夜走蜈蚣岭
6,C、
7,斗杀西门庆
8,D、
9,倒拔垂杨柳
10,正确答案： D 我的答案：D
11,2最早提出《红楼梦》是讲顺治帝和董小宛的故事的书是（）。1.0 分
12,A、
13,《红楼索隐》
14,B、
15,《阅红楼随笔》
16,C、
17,《红楼梦魇》
18,D、
19,《红楼惊梦》
20,正确答案： A 我的答案：A
21,3下列哪一个人认为《水浒传》的作者是施耐庵？（）1.0 分
22,A、
23,郎英
24,B、
25,金圣叹
26,C、
27,田汝成
28,D、
29,冯梦龙
30,正确答案： B 我的答案：B
31,4荀彧投奔曹操时，曹操说“吾之子房也”，其中“子房”是指（）。1.0 分
32,A、
33,张良
34,B、
35,韩信
36,C、
37,许由
38,D、
39,管仲
40,正确答案： A 我的答案：A
41,5毫无疑问是“说话四家”之一的是（）。1.0 分
42,A、
43,讲史
44,B、
45,说经
46,C、
47,说铁骑儿
48,D、
49,小说
50,正确答案： A 我的答案：A
51,6梁山好汉攻打祝家庄的根本原因是（）。1.0 分
52,A、
53,个人恩怨
54,B、
55,朝廷挑拨
56,C、
57,阶级矛盾
58,D、
59,经济原因
60,正确答案： D 我的答案：D
61,7《录鬼簿续编》没有记载的是罗贯中的（）。1.0 分
62,A、
63,籍贯
64,B、
65,号
66,C、
67,性格
68,D、
69,生辰
70,正确答案： D 我的答案：D
71,8诸葛亮六出祁山所攻打的是（）。1.0 分
72,A、
73,魏国
74,B、
75,吴国
76,C、
77,南越
78,D、
79,夷越
80,正确答案： A 我的答案：A
81,9《红楼梦》中警幻仙子掌管人间什么方面？（）1.0 分
82,A、
83,功名
84,B、
85,生死
86,C、
87,情爱
88,D、
89,子嗣
90,正确答案： C 我的答案：C
91,10从史学角度讲的三国是指哪个时间段？（）1.0 分
92,A、
93,公元110年-公元180年
94,B、
95,公元180年-公元240年
96,C、
97,公元220年-公元280年
98,D、
99,公元280年-公元360年
100,正确答案： C 我的答案：C
101,11“千寻铁锁沉江底，一片降幡出石头”的作者是（）。1.0 分
102,A、
103,曹雪芹
104,B、
105,刘禹锡
106,C、
107,杜牧
108,D、
109,脂砚斋
110,正确答案： B 我的答案：B
111,12《西游记》中孙悟空属于（）。1.0 分
112,A、
113,第二主角
114,B、
115,配角
116,C、
117,第一主角
118,D、
119,反一号
120,正确答案： C 我的答案：C
121,13据《录鬼簿后续》一书，没有提到是罗贯中作品的是（）。0.0 分
122,A、
123,《赵太祖龙虎风云会》
124,B、
125,《连环柬》
126,C、
127,《三国演义》
128,D、
129,《三平章死哭蜚虎子》
130,正确答案： C 我的答案：A
131,14摩尼教中有二宗三际论，其中“中际”是指（）。1.0 分
132,A、
133,过去
134,B、
135,未来
136,C、
137,昨天
138,D、
139,现在
140,正确答案： D 我的答案：D
141,15以下哪一个不是作者虚构的？（）1.0 分
142,A、
143,空城计
144,B、
145,义释曹操
146,C、
147,三气周瑜
148,D、
149,赤壁之战
150,正确答案： D 我的答案：D
151,16“义释曹孟德”的地点是（）。1.0 分
152,A、
153,华容道
154,B、
155,街心亭
156,C、
157,鸟林
158,D、
159,麦城
160,正确答案： A 我的答案：A
161,17薛宝钗受到贬抑的原因主要出现在（）。1.0 分
162,A、
163,前八十回
164,B、
165,后四十回
166,C、
167,全书起始部分
168,D、
169,全书结尾部分
170,正确答案： B 我的答案：B
171,18“沂岭杀四虎”的人是（）。1.0 分
172,A、
173,李逵
174,B、
175,鲁智深
176,C、
177,武松
178,D、
179,秦明
180,正确答案： A 我的答案：A
181,19罗贯中在三国的蜀汉集团中寄托了他什么样的理想？（）1.0 分
182,A、
183,人人平等
184,B、
185,天下大同
186,C、
187,复归自然
188,D、
189,明君仁政
190,正确答案： D 我的答案：D
191,20高俅父子故意引林冲带刀进哪里并强加行刺长官的罪名？（）1.0 分
192,A、
193,白虎堂
194,B、
195,青龙堂
196,C、
197,朱雀堂
198,D、
199,玄武堂
200,正确答案： A 我的答案：A
201,21鲁智深和《杨家将》中的谁比较相似？（）1.0 分
202,A、
203,杨二郎
204,B、
205,杨三郎
206,C、
207,杨四郎
208,D、
209,杨五郎
210,正确答案： D 我的答案：D
211,22宋江送谁去二龙山时曾表露自己的心声？（）0.0 分
212,A、
213,李逵
214,B、
215,杨志
216,C、
217,武松
218,D、
219,鲁智深
220,正确答案： C 我的答案：D
221,23陈寿《三国志》中“形貌奇伟，骨体不恒，大贵之表”一句是描绘的谁？（）1.0 分
222,A、
223,周瑜
224,B、
225,孙策
226,C、
227,孙权
228,D、
229,陆逊
230,正确答案： C 我的答案：C
231,24曹操的父亲原来的姓氏是（）。1.0 分
232,A、
233,刘
234,B、
235,夏侯
236,C、
237,杨
238,D、
239,李
240,正确答案： B 我的答案：B
241,25没有因为后人续写而改变人物形象的是（）。1.0 分
242,A、
243,薛宝钗
244,B、
245,袭人
246,C、
247,晴雯
248,D、
249,王熙凤
250,正确答案： C 我的答案：C
251,26薛蟠的老婆是（）。1.0 分
252,A、
253,平儿
254,B、
255,金桂
256,C、
257,云儿
258,D、
259,湘莲
260,正确答案： B 我的答案：B
261,27今版的一百零八将中一共有几位没有出场诗？（）1.0 分
262,A、
263,十位
264,B、
265,十二位
266,C、
267,十五位
268,D、
269,十八位
270,正确答案： D 我的答案：D
271,28武松主要传达出的是（）。0.0 分
272,A、
273,侠义心肠
274,B、
275,忠义果断
276,C、
277,反抗精神
278,D、
279,智慧精明
280,正确答案： C 我的答案：A
281,29《红楼梦》的“自传说”最先是由谁提出的？（）1.0 分
282,A、
283,蔡元培
284,B、
285,朱自清
286,C、
287,胡适
288,D、
289,梁启超
290,正确答案： C 我的答案：C
291,30将《三国演义》、《水浒传》、《西游记》、《金瓶梅》列为四大奇书的是（）。0.0 分
292,A、
293,冯梦龙
294,B、
295,李渔
296,C、
297,王世贞
298,D、
299,王国维
300,正确答案： A 我的答案：B
301,31谢道韫的“咏絮才”在《红楼梦》里被用来形容（）。0.0 分
302,A、
303,史湘云
304,B、
305,林黛玉
306,C、
307,贾迎春
308,D、
309,薛宝钗
310,正确答案： B 我的答案：D
311,32《三国演义》中荀彧的结局是（）。1.0 分
312,A、
313,被逼自杀
314,B、
315,被曹操斩杀
316,C、
317,病死
318,D、
319,被敌军杀死
320,正确答案： A 我的答案：A
321,33历史上三国格局变化，蜀国最终被哪个国家所灭？（）1.0 分
322,A、
323,吴国
324,B、
325,魏国
326,C、
327,晋国
328,D、
329,渤海国
330,正确答案： B 我的答案：B
331,34下列哪一句不是袭人的判词？（）1.0 分
332,A、
333,心比天高
334,B、
335,温柔和顺
336,C、
337,似桂如兰
338,D、
339,优伶有福
340,正确答案： A 我的答案：A
341,35下列哪一个不符合奋斗精神的主题？（）1.0 分
342,A、
343,孙悟空大闹天宫
344,B、
345,唐僧西天取经
346,C、
347,唐僧历经磨难
348,D、
349,孙悟空保护唐僧取经
350,正确答案： A 我的答案：A
351,36最早指出《红楼梦》突破传统方法写人物的特征的是哪位作家？（）1.0 分
352,A、
353,胡适
354,B、
355,鲁迅
356,C、
357,朱自清
358,D、
359,沈从文
360,正确答案： B 我的答案：B
361,37武松被发配到孟州牢城营受到了谁的款待？（）1.0 分
362,A、
363,柴进
364,B、
365,施恩
366,C、
367,花荣
368,D、
369,燕青
370,正确答案： B 我的答案：B
371,38最初把《水浒传》定义为英雄传奇小说的是（）。1.0 分
372,A、
373,鲁迅
374,B、
375,郑振铎
376,C、
377,胡适
378,D、
379,闻一多
380,正确答案： B 我的答案：B
381,39程高刻本系统又叫（）。1.0 分
382,A、
383,脂本系统
384,B、
385,刊本系统
386,C、
387,甲寅本
388,D、
389,庚辰本
390,正确答案： B 我的答案：B
391,40之所以说历史小说久盛不衰的原因不包括（）。0.0 分
392,A、
393,数量众多
394,B、
395,促进民族交流融合
396,C、
397,有经典传世
398,D、
399,带动民族文化发展
400,正确答案： B 我的答案：C
401,41贾宝玉为晴雯写的悼词的名字是（）。1.0 分
402,A、
403,芙蓉女儿诔
404,B、
405,菡萏女儿诔
406,C、
407,茉莉女儿诔
408,D、
409,海棠女儿诔
410,正确答案： A 我的答案：A
411,42《三国演义》中描写了关羽“温酒斩（）”的故事。1.0 分
412,A、
413,马超
414,B、
415,华雄
416,C、
417,赵云
418,D、
419,张飞
420,正确答案： B 我的答案：B
421,43宝玉挨打以后让晴雯送什么给黛玉？（）1.0 分
422,A、
423,耳环
424,B、
425,胭脂
426,C、
427,手帕
428,D、
429,扇子
430,正确答案： C 我的答案：C
431,44百回本中柴进溜进皇宫看到皇帝写的四大寇中不包括哪一个？（）1.0 分
432,A、
433,梁山王伦
434,B、
435,山东宋江
436,C、
437,江南方腊
438,D、
439,河北田虎
440,正确答案： A 我的答案：A
441,45《七修类稿》指出罗贯中是（）。1.0 分
442,A、
443,杭州人
444,B、
445,苏州人
446,C、
447,应天人
448,D、
449,长安人
450,正确答案： A 我的答案：A
451,46下列不属于《三国演义》中诸葛亮北伐的原因是（）。1.0 分
452,A、
453,以攻为守
454,B、
455,司马懿被曹魏冷落
456,C、
457,南方少数民族的平定
458,D、
459,刘阿斗的猜忌
460,正确答案： D 我的答案：D
461,47《三国演义》中刘备自称是汉景帝的什么人？（）1.0 分
462,A、
463,儿子
464,B、
465,孙子
466,C、
467,玄孙
468,D、
469,皇叔
470,正确答案： C 我的答案：C
471,48林黛玉因为宝玉摔玉而哭时哪个丫鬟安慰她了？（）1.0 分
472,A、
473,麝月
474,B、
475,晴雯
476,C、
477,鸳鸯
478,D、
479,袭人
480,正确答案： D 我的答案：D
481,49百回本中一百零八将是在哪一回齐聚忠义堂的？（）1.0 分
482,A、
483,六十一回
484,B、
485,七十一回
486,C、
487,八十一回
488,D、
489,九十一回
490,正确答案： B 我的答案：B
491,50下列哪首诗不是林黛玉写的？（）1.0 分
492,A、
493,葬花吟
494,B、
495,桃花行
496,C、
497,寄生草
498,D、
499,秋窗风雨夕
500,正确答案： C 我的答案：C
501,二、 判断题（题数：50，共 50.0 分）
502,1鲁智深杀了镇关西后去自首了。（）1.0 分
503,正确答案： × 我的答案： ×
504,2“你既吃了我们家的茶，怎么还不给我们家做媳妇”是王熙凤对薛宝钗说的。（）1.0 分
505,正确答案： × 我的答案： ×
506,3后续之作中黛玉是泪尽而死。（）1.0 分
507,正确答案： × 我的答案： ×
508,4嘉靖本《三国演义》前的序是张尚德写的。（）0.0 分
509,正确答案： × 我的答案： √
510,5刘备“携民渡江”是一种作秀行为，表现了他的虚伪。（）1.0 分
511,正确答案： × 我的答案： ×
512,6《水浒传》第一人称和第三人称叙述交叉使用。（）1.0 分
513,正确答案： √ 我的答案： √
514,7后续四十回中的林黛玉曾劝贾宝玉去读八股文。（）0.0 分
515,正确答案： √ 我的答案： ×
516,8在人物塑造方面，《三国演义》对《水浒传》有较大的影响。（）1.0 分
517,正确答案： √ 我的答案： √
518,9《水浒传》是版块结构的古典小说。（）1.0 分
519,正确答案： √ 我的答案： √
520,10前十三回不是晚起情节，而是水浒故事一直都有的。（）1.0 分
521,正确答案： × 我的答案： ×
522,11宋代时说话艺术中拥刘反曹的倾向就很明显了。（）1.0 分
523,正确答案： √ 我的答案： √
524,12拥刘贬曹的后面蕴含着作者的封建正统观念。（）1.0 分
525,正确答案： √ 我的答案： √
526,13历史剧《蔡文姬》中的曹操还是一个奸雄。（）1.0 分
527,正确答案： × 我的答案： ×
528,14忠义思想，是那个时代的主流思想，即便在造反者聚集的山寨之中也不例外。这也是《水浒传》高举忠义旗帜的一个重要原因。（）1.0 分
529,正确答案： √ 我的答案： √
530,15林冲在林娘子被调戏后痛打了高衙内。（）1.0 分
531,正确答案： × 我的答案： ×
532,16裴松之按照陈寿的《三国志》又仿写了一部《三国志》。（）1.0 分
533,正确答案： × 我的答案： ×
534,17宗教家是把人变成神，《西游记》发生了一个逆向性的转化，就是将神佛从天上拉回人间来，还给他们世俗人的性情品格。（）1.0 分
535,正确答案： √ 我的答案： √
536,18清代《西游记》的注释本，大多数是由道士或者准道士们做的，他们都是根据《西游记》主体故事西天取经来提升出的解释。（）0.0 分
537,正确答案： × 我的答案： √
538,19刘备在举兵过程中打出的口号是“兴复汉室”。（）1.0 分
539,正确答案： √ 我的答案： √
540,20大多数人认为一百二十回本中后四十回是后续的。（）1.0 分
541,正确答案： √ 我的答案： √
542,21金陵十二钗又副册的第一名是晴雯。（）1.0 分
543,正确答案： √ 我的答案： √
544,22“寿夭多因诽谤生”是晴雯的判词。（）1.0 分
545,正确答案： √ 我的答案： √
546,23《红楼梦》现存的前八十回的内容是作者在写作过程中直接分好的。（）1.0 分
547,正确答案： × 我的答案： ×
548,24《三国演义》的写作有七实三虚的特点。（）1.0 分
549,正确答案： √ 我的答案： √
550,25《三国演义》的主题思想众说纷纭，只要从作品实际出发解释皆可。（）1.0 分
551,正确答案： √ 我的答案： √
552,26从《水浒传》的小说命名可以看出作者对小说持否定态度。（）1.0 分
553,正确答案： × 我的答案： ×
554,27作为《红楼梦》的编剧，周雷的思路是按照曹雪芹原来的的想法拍的。（）1.0 分
555,正确答案： √ 我的答案： √
556,28被曹操挟制的皇帝是汉哀帝。（）0.0 分
557,正确答案： × 我的答案： √
558,29《说岳全传》是在清朝完成的。（）1.0 分
559,正确答案： √ 我的答案： √
560,30佛家把一切扰乱身心妨碍修行的心理活动称之为魔。（）1.0 分
561,正确答案： √ 我的答案： √
562,31林冲在逼上梁山前是地位很高的高级军官。（）1.0 分
563,正确答案： × 我的答案： ×
564,32曹操的性格是通脱与残忍的统一。（）1.0 分
565,正确答案： √ 我的答案： √
566,33鲁迅不同意胡适对《西游记》的“游戏说”。（）1.0 分
567,正确答案： × 我的答案： ×
568,34元刊本的《三国志平话》是上文下图的形式。（）1.0 分
569,正确答案： × 我的答案： ×
570,35史湘云的原型是脂砚斋。（）0.0 分
571,正确答案： × 我的答案： √
572,36袁无涯《水浒传》百二十本并未提出人人平等的理想。（）0.0 分
573,正确答案： × 我的答案： √
574,37吴读本的《水浒传》宋江起义的时间是北宋初年。（）1.0 分
575,正确答案： × 我的答案： ×
576,38《铜雀台赋》的作者是曹植。（）1.0 分
577,正确答案： √ 我的答案： √
578,39宋哲宗给关羽的封号是“显烈王”。（）1.0 分
579,正确答案： √ 我的答案： √
580,40总体而言《三国演义》的语言通俗易懂。（）1.0 分
581,正确答案： √ 我的答案： √
582,41《大宋宣和遗事》中公孙胜是一个有名字没故事的人物。（）1.0 分
583,正确答案： √ 我的答案： √
584,42曹操行刺董卓没有成功。（）0.0 分
585,正确答案： √ 我的答案： ×
586,43李逵的小名叫铁牛。（）1.0 分
587,正确答案： √ 我的答案： √
588,44贾母称王熙凤为“凤辣子”。（）1.0 分
589,正确答案： √ 我的答案： √
590,45历史上的孙权强调“存不忘亡，安必虑危”。（）1.0 分
591,正确答案： √ 我的答案： √
592,46“寒塘渡鹤影”一句出自林黛玉之口。（）1.0 分
593,正确答案： × 我的答案： ×
594,47《大宋宣和遗事》中就是杨志押解的生辰纲。（）1.0 分
595,正确答案： × 我的答案： ×
596,48《红楼梦》的小说兼备第一人称和第三人称两种叙述方式。（）1.0 分
597,正确答案： √ 我的答案： √
598,49关羽最后的这种悲剧的结局不是性格悲剧。（）1.0 分
599,正确答案： × 我的答案： ×
600,50林冲的性格是一种善良的小人物的性格，安分守己，息事宁人。但是当欺凌超出隐忍的极限达到情不可堪的程度时，好汉林冲终于爆发。（）1.0 分
601,正确答案： √ 我的答案： √
602,           微信公众号：琢磨俗僧
603,      Copyright  © 2016~2020 超星尔雅题库 版权所有　
604,本站所有资源均来自互联网，本站只负责收集和整理，均不承担任何法律责任，如有侵权等其它行为
605,请发邮件至：cxeytk@foxmail.com
606,
