,题目
0,
1,一、 单选题（题数：50，共 50.0 分）
2,1武松主要传达出的是（）。1.0 分
3,A、侠义心肠
4,B、忠义果断
5,C、反抗精神
6,D、智慧精明
7,正确答案： C 我的答案：C
8,2作为鲁提辖拳打镇关西的原始素材的是（）。1.0 分
9,A、李存孝
10,B、韩世忠
11,C、郭威
12,D、李继韬
13,正确答案： C 我的答案：C
14,3最初把《水浒传》定义为英雄传奇小说的是（）。1.0 分
15,A、鲁迅
16,B、郑振铎
17,C、胡适
18,D、闻一多
19,正确答案： B 我的答案：B
20,4林黛玉的母亲叫（）。1.0 分
21,A、贾赦
22,B、贾珍
23,C、贾静
24,D、贾敏
25,正确答案： D 我的答案：D
26,587版红楼梦的叙事主线是（）。1.0 分
27,A、宝、黛、钗三人婚姻恋爱纠葛
28,B、120回本忠实再现
29,C、家族荣衰、兴衰、荣枯
30,D、贾宝玉的人生轨迹
31,正确答案： C 我的答案：C
32,6甄府在哪个城市？（）1.0 分
33,A、京都
34,B、南京
35,C、北京
36,D、西安
37,正确答案： B 我的答案：B
38,7历史上陈玄奘历时多久从天竺诸国取经回来？（）1.0 分
39,A、10年
40,B、15年
41,C、17年
42,D、20年
43,正确答案： C 我的答案：C
44,8下列哪个演员没有演过王熙凤？（）1.0 分
45,A、刘晓庆
46,B、邓婕
47,C、姚笛
48,D、陈晓旭
49,正确答案： D 我的答案：D
50,9神瑛侍者投胎以后变成（）。1.0 分
51,A、通灵宝玉
52,B、贾兰
53,C、林黛玉
54,D、贾宝玉
55,正确答案： D 我的答案：D
56,10给曹操出“挟天子以令诸侯”这个计策的是（）。1.0 分
57,A、郭嘉
58,B、杨修
59,C、荀彧
60,D、司马懿
61,正确答案： C 我的答案：C
62,11下列哪一项不属于关于《水浒传》现有作者的表述？（）1.0 分
63,A、罗贯中著
64,B、施耐庵著
65,C、无名氏著
66,D、金圣著叹
67,正确答案： D 我的答案：D
68,12写《三国志》的陈寿是哪个朝代的人？（）1.0 分
69,A、三国时期
70,B、西晋
71,C、东晋
72,D、南北朝
73,正确答案： B 我的答案：B
74,13现存的曹雪芹写的《红楼梦》有多少回？（）1.0 分
75,A、一百二十回
76,B、一百回
77,C、八十回
78,D、六十回
79,正确答案： C 我的答案：C
80,14目前我们能看到的三国演义的最早版本即嘉靖元年的刻本的全名是（）。1.0 分
81,A、三国志
82,B、三国志平话
83,C、三国志通俗演义
84,D、三国演义
85,正确答案： C 我的答案：C
86,15巧姐的名字是谁取的？（）1.0 分
87,A、凤姐
88,B、贾琏
89,C、平儿
90,D、刘姥姥
91,正确答案： D 我的答案：D
92,16新索隐派认为，研究《红楼梦》应该从哪个人物入手？（）1.0 分
93,A、林黛玉
94,B、贾兰
95,C、秦可卿
96,D、李纨
97,正确答案： C 我的答案：C
98,17以下哪两个不是同宋江、李逵这样的搭配相似的小说人物？（）1.0 分
99,A、刘备、张飞
100,B、秦琼、程咬金
101,C、曹操、郭嘉
102,D、岳飞、牛皋
103,正确答案： C 我的答案：C
104,18下列不属于《三国演义》中诸葛亮北伐的原因是（）。1.0 分
105,A、以攻为守
106,B、司马懿被曹魏冷落
107,C、南方少数民族的平定
108,D、刘阿斗的猜忌
109,正确答案： D 我的答案：D
110,19《三国演义》中的鲁肃最突出的特点是（）。1.0 分
111,A、和事佬
112,B、妒贤嫉能
113,C、勇敢果决
114,D、奸诈小人
115,正确答案： A 我的答案：A
116,20鲁智深的原名叫（）。1.0 分
117,A、鲁达
118,B、鲁提辖
119,C、鲁智
120,D、鲁和
121,正确答案： A 我的答案：A
122,21《中兴名将传》中没有歌颂哪一位的英雄事迹？（）1.0 分
123,A、岳飞
124,B、刘光世
125,C、宋江
126,D、韩世忠
127,正确答案： C 我的答案：C
128,22下列哪一个不是曹操手下的武将？（）1.0 分
129,A、许褚
130,B、张辽
131,C、典韦
132,D、黄盖
133,正确答案： D 我的答案：D
134,23三顾茅庐之时的诸葛亮将自己比作（）。1.0 分
135,A、管仲
136,B、晏婴
137,C、百里奚
138,D、孙武
139,正确答案： A 我的答案：A
140,24下列哪一项不属于蔡义江认为第八十一回是伪作的证据（）。1.0 分
