,题目
0,一、 单选题（题数：50，共 50.0 分）
1,1.以下人物不属于“立言”的楷模的是？
2,1.0 分
3,窗体顶端
4,A、史佚
5,B、邹仁
6,C、臧文仲
7,D、孔子
8, 
9,窗体底端
10,正确答案： D 我的答案：D
11, 
12,2.唐山大地震发生在哪一年？
13,1.0 分
14,窗体顶端
15,A、1977年
16,B、1976年
17,C、1978年
18,D、1979年
19, 
20,窗体底端
21,正确答案： B 我的答案：B
22, 
23,3.将“和谐社会”作为国家发展的基本方向而提出的是什么时候？
24,1.0 分
25,窗体顶端
26,A、2002年
27,B、2004年
28,C、2006年
29,D、2008年
30, 
31,窗体底端
32,正确答案： C 我的答案：C
33, 
34,4.“和谐世界”的理念是由哪位领导人提出的？
35,1.0 分
36,窗体顶端
37,A、邓小平
38,B、江泽民
39,C、胡锦涛
40,D、习近平
41, 
42,窗体底端
43,正确答案： C 我的答案：C
44,5.扬仁凤宽是多少?
45, 
46,1.0 分
47,窗体顶端
48,A、22米
49,B、32米
50,C、42米
51,D、52米
52, 
53,窗体底端
54,正确答案： A 我的答案：A
55, 
56,6.“己所不欲，勿施于人”是哪一学派的处事原则？
57,1.0 分
58,窗体顶端
59,A、儒家
60,B、道家
61,C、法家
62,D、墨家
63, 
64,窗体底端
65,正确答案： A 我的答案：A
66, 
67,7.“学而优则仕”思想形成的始源是？
68,1.0 分
69,窗体顶端
70,A、重本抑末
71,B、天人合一
72,C、道法思想
73,D、仁治观念
74, 
75,窗体底端
76,正确答案： A 我的答案：A
77, 
78,8.“重本抑末”中的本指的是什么？
79,1.0 分
80,窗体顶端
81,A、王朝
82,B、农业
83,C、商业
84,D、畜牧业
85, 
86,窗体底端
87,正确答案： B 我的答案：B
88, 
89,9.“扬仁风”是在北京皇家园林（）中。
90,1.0 分
91,窗体顶端
92,A、故宫
93,B、圆明园
94,C、颐和园
95,D、恭王府
96, 
97,窗体底端
98,正确答案： C 我的答案：C
99, 
100,10.科举制度在什么时候结束的？
101,1.0 分
102,窗体顶端
103,A、宣统年间
104,B、嘉庆年间
105,C、光绪年间
106,D、同治年间
107,窗体底端
108,正确答案： C 我的答案：C
109, 
110,11.英国著名的研究中国科技史的人是谁？
111,1.0 分
112,窗体顶端
113,A、李约瑟
114,B、培根
115,C、牛顿
116,D、达尔文
117, 
118,窗体底端
119,正确答案： A 我的答案：A
120, 
121,12.以下属于中国思维特征的是？
122,1.0 分
123,窗体顶端
124,A、模糊性
125,B、直观性
126,C、象形性
127,D、以上都正确
128, 
129,窗体底端
130,正确答案： D 我的答案：D
131, 
132,13.《黄帝内经》中认为人的食道和肠道的比例为？
133,1.0 分
134,窗体顶端
135,A、1:30.5
136,B、1:30
137,C、1:35.5
138,D、1:37
139, 
140,窗体底端
141,正确答案： C 我的答案：C
142, 
143,14.叶落归根的观念产生于？
144,1.0 分
145,窗体顶端
146,A、工业文明
147,B、游牧文化
148,C、海洋文明
149,D、农耕文明
150, 
151,窗体底端
152,正确答案： D 我的答案：D
153, 
154,15.与中国相比，西方的科技思维特征属于以下哪种？
155,1.0 分
156,窗体顶端
157,A、像化思维
158,B、量化思维
159,C、宗教思维
160,D、经济思维
161, 
162,窗体底端
163,正确答案： C 我的答案：C
164, 
165,16.以下西方人物，曾批评过西方对中国近代的侵略行径的是？
166,1.0 分
167,窗体顶端
168,A、雨果
169,B、富兰克林
170,C、拿破仑
171,D、俾斯麦
172, 
173,窗体底端
174,正确答案： A 我的答案：A
175, 
176,17.扇面殿建造规则是（）对称。
177,1.0 分
178,窗体顶端
179,A、左轴
180,B、中轴
181,C、右轴
182,D、前轴
183, 
184,窗体底端
185,正确答案： B 我的答案：B
186, 
187,18.“万般皆下品，惟有读书高”出自？
188,1.0 分
189,窗体顶端
190,A、神农诗
191,B、神童诗
192,C、游仙诗
193,D、神人诗
194, 
195,窗体底端
196,正确答案： B 我的答案：B
197, 
198,19.以下哪些国家也曾经在70-80年代实行过改革开放的是？
199,1.0 分
200,窗体顶端
201,A、印度
202,B、日本
203,C、韩国
204,D、新加坡
205, 
206,窗体底端
207,正确答案： A 我的答案：A
208, 
209,20.以下对中西方戏剧的说法错误的是？
210,1.0 分
211,窗体顶端
212,A、西方在古希腊时期就产生了伟大的悲剧喜剧著作。
213,B、西方的悲剧喜剧有着严格的区分。
214,C、中国的戏剧中往往呈现悲喜因素交织的情况。
215,D、戏剧是中国出现的最早的文学类型。
216, 
217,窗体底端
218,正确答案： D 我的答案：D
219, 
220,21.“厚德载物”最早出自哪本文献？
221,1.0 分
222,窗体顶端
223,A、诗经
224,B、左传
225,C、周易
226,D、尚书
227, 
228,窗体底端
229,正确答案： C 我的答案：C
230, 
231,22.“大上有立德，其次有立功，其次有立言，虽久不废，此之谓不朽”，出自哪里？
232,1.0 分
233,窗体顶端
234,A、《礼记》
235,B、《国语》
236,C、《左传》
237,D、《论语》
238, 
239,窗体底端
240,正确答案： C 我的答案：C
241, 
242,23.1949年中国文盲人数约占全国总人口的？
243,1.0 分
244,窗体顶端
245,A、0.8
246,B、0.6
247,C、0.5
248,D、0.4
249, 
250,窗体底端
251,正确答案： A 我的答案：A
252, 
253,24.因“削桐封地”而成为晋国的始祖的是？
254,1.0 分
255,窗体顶端
256,A、姬发
257,B、重耳
258,C、史佚
259,D、叔虞
260, 
261,窗体底端
262,正确答案： D 我的答案：D
263, 
264,25.“礼，王之大经也”出自？
265,1.0 分
266,窗体顶端
267,A、周易
268,B、论语
269,C、左传
270,D、吕氏春秋
271, 
272,窗体底端
273,正确答案： C 我的答案：C
274, 
275,26.“始于悲者终于欢，始于离者终于合”是谁总结的中国文学传统？
276,1.0 分
277,窗体顶端
278,A、梁启超
279,B、王国维
280,C、俞平伯
281,D、胡适
282, 
283,窗体底端
284,正确答案： B 我的答案：B
285, 
286,27.《1421年：中国发现世界》的作者是？
287,1.0 分
288,窗体顶端
289,A、加文·孟席斯
290,B、李约瑟
291,C、约翰·琼斯
292,D、加文·列侬
293, 
294,窗体底端
295,正确答案： A 我的答案：A
296, 
297,28.“子不语怪力乱神”出自？
298,1.0 分
299,窗体顶端
300,A、大学
301,B、中庸
302,C、孟子
303,D、论语
304, 
305,窗体底端
306,正确答案： D 我的答案：D
307, 
308,29.“商人对于以前一切都停滞不变、可以说由于世袭而停滞不变的社会来说，是一个革命的要素”，是谁说的？
309,1.0 分
310,窗体顶端
311,A、马克思
312,B、恩格斯
313,C、韦伯
314,D、考茨基
315, 
316,窗体底端
317,正确答案： B 我的答案：B
318, 
319,30.《三国志》的作者是？
320,1.0 分
321,窗体顶端
322,A、陈寿
323,B、诸葛亮
324,C、范晔
325,D、刘向
326, 
327,窗体底端
328,正确答案： A 我的答案：A
329, 
330,31.新闻业的早期雏形初现在那个地方？
331,1.0 分
332,窗体顶端
333,A、威尼斯
334,B、米兰
335,C、伦敦
336,D、罗马
337, 
338,窗体底端
339,正确答案： A 我的答案：A
340, 
341,32.“和谐”指的是小康社会中的哪一方面？
342,1.0 分
343,窗体顶端
344,A、社会关系
345,B、经济关系
346,C、文化状态
347,D、以上都不是
348, 
349,窗体底端
350,正确答案： A 我的答案：A
351, 
352,33.1960年五月后作为中国“左”的指导思想体现的“三面红旗”不包括？
353,1.0 分
354,窗体顶端
355,A、人民公社
356,B、大跃进
357,C、总路线
358,D、大炼钢铁
359, 
360,窗体底端
361,正确答案： D 我的答案：D
362, 
363,34.“章台柳”的典故出自哪位诗人？
364,1.0 分
365,窗体顶端
366,A、苏轼
367,B、白居易
368,C、元稹
369,D、韩翃
370, 
371,窗体底端
372,正确答案： D 我的答案：D
373, 
374,35.“学而优则仕”出自于哪部经典？
375,1.0 分
376,窗体顶端
377,A、《左传》
378,B、《论语》
379,C、《大学》
380,D、《孟子》
381, 
382,窗体底端
383,正确答案： B 我的答案：B
384, 
385,36.下列属于物态文化层的文化是？
386,1.0 分
387,窗体顶端
388,A、拜金主义
389,B、青铜器
390,C、见面握手言好
391,D、社会主义制度
392, 
393,窗体底端
394,正确答案： B 我的答案：B
395, 
396,37.科举制在中国存在了多长时间？
397,1.0 分
398,窗体顶端
399,A、1283年
400,B、1284年
401,C、1285年
402,D、1282年
403, 
404,窗体底端
405,正确答案： A 我的答案：A
406, 
407,38.华佗是哪个时代的人？
408,1.0 分
409,窗体顶端
410,A、东汉
411,B、西汉
412,C、三国
413,D、秦汉
414, 
415,窗体底端
416,正确答案： A 我的答案：A
417, 
418,39.在六书中具有基础地位的是？
419,1.0 分
420,窗体顶端
421,A、象形
422,B、指事
423,C、假借
424,D、转注
425, 
426,窗体底端
427,正确答案： A 我的答案：A
428, 
429,40.“和实生物，同则不继。”这句话出自于？
430,1.0 分
431,窗体顶端
432,A、《左传》
433,B、《国语》
434,C、《论语》
435,D、《春秋》
436, 
437,窗体底端
438,正确答案： B 我的答案：B
439, 
440,41.普林策是哪个国家的新闻学家？
441,1.0 分
442,窗体顶端
443,A、美国
444,B、英国
445,C、法国
446,D、德国
447, 
448,窗体底端
449,正确答案： A 我的答案：A
450, 
451,42.被称为“杂交水稻之父”的是谁？
452,1.0 分
453,窗体顶端
454,A、吴文俊
455,B、袁隆平
456,C、王选
457,D、黄昆
458, 
459,窗体底端
460,正确答案： B 我的答案：B
461, 
462,43.《殷墟甲骨文实用字典》是以下谁的著作？
463,1.0 分
464,窗体顶端
465,A、陈济
466,B、马如森
467,C、王本兴
468,D、徐宗元
469, 
470,窗体底端
471,正确答案： B 我的答案：B
472, 
473,44.晏子探讨“和”与“同”时拿什么做比喻？
474,0.0 分
475,窗体顶端
476,A、战争
477,B、动物
478,C、狩猎
479,D、食物
480, 
481,窗体底端
482,正确答案： D 我的答案：C
483, 
484,45.中国的五行观念，体现了事物之间的什么关系？
485,1.0 分
486,窗体顶端
487,A、和谐
488,B、对立
489,C、矛盾
490,D、转化
491, 
492,窗体底端
493,正确答案： A 我的答案：A
494, 
495,46.《乐府指迷》的作者是？
496,1.0 分
497,窗体顶端
498,A、沈义父
499,B、钱钟书
500,C、王国维
501,D、宋之问
502, 
503,窗体底端
504,正确答案： A 我的答案：A
505, 
506,47.“单边主义”思想可以追溯到西方以下哪种行为？
507,1.0 分
508,窗体顶端
509,A、殖民主义
510,B、文化扩张主义
511,C、白银主义
512,D、种族灭绝
513, 
514,窗体底端
515,正确答案： A 我的答案：A
516, 
517,48.被誉为“东方的巴黎”的是我国的哪个城市？
518,1.0 分
519,窗体顶端
520,A、上海
521,B、深圳
522,C、香港
523,D、北京
524, 
525,窗体底端
526,正确答案： A 我的答案：A
527, 
528,49.中国古代最重要的祭祀是什么？
529,1.0 分
530,窗体顶端
531,A、社稷
532,B、傩
533,C、五祀
534,D、祀先代帝王
535, 
536,窗体底端
537,正确答案： A 我的答案：A
538, 
539,50.科举考试中进士是通过了什么考试？
540,0.0 分
541,窗体顶端
542,A、乡试
543,B、县试
544,C、会试
545,D、殿试
546, 
547,窗体底端
548,正确答案： C 我的答案：D
549, 
550,二、 判断题（题数：50，共 50.0 分）
551,1
552,江南贡院是中国古代最大的科举考场。
553,1.0 分
554,窗体顶端
555,正确答案： √ 我的答案： √
556,窗体底端
557,2
558,“孝”也是中国长期小农经济基础孕育出来的观念吗？
559,1.0 分
560,窗体顶端
561,正确答案： √ 我的答案： √
562,窗体底端
563,3
564,颐和园长廊末端有石丈亭。
565,1.0 分
566,窗体顶端
567,正确答案： √ 我的答案： √
568,窗体底端
569,4
570,邓小平首先提出要“全面建设小康社会”？
571,0.0 分
572,窗体顶端
573,正确答案： × 我的答案： √
574,窗体底端
575,5
576,农业经济是整个亚洲的主流经济。
577,1.0 分
578,窗体顶端
579,正确答案： √ 我的答案： √
580,窗体底端
581,6
582,我国现在高等教育院校的数量少于中等职业教育学校？
583,1.0 分
584,窗体顶端
585,正确答案： √ 我的答案： √
586,窗体底端
587,7
588,文化会铸就民族的性格、民族的精神。
589,1.0 分
590,窗体顶端
591,正确答案： √ 我的答案： √
592,窗体底端
593,8
594,人文的“文”原意就是纹理的“纹”。
595,1.0 分
596,窗体顶端
597,正确答案： √ 我的答案： √
598,窗体底端
599,9
600,古代“万般皆下品，唯有读书高”中读的“书”包含了所有的书。
601,1.0 分
602,窗体顶端
603,正确答案： × 我的答案： ×
604,窗体底端
605,10
606,自然规律就是一种“中和”的规律，这种说法正确吗？
607,1.0 分
608,窗体顶端
609,正确答案： √ 我的答案： √
610,窗体底端
611,11
612,西方文化中主客体之间总是一种对峙的状态。
613,1.0 分
614,窗体顶端
615,正确答案： √ 我的答案： √
616,窗体底端
617,12
618,在中国识字在2000以下的被认为是文盲？
619,1.0 分
620,窗体顶端
621,正确答案： × 我的答案： ×
622,窗体底端
623,13
624,中国早期引进外国汽车生产线的时候，要引进的是日本的吗？
625,1.0 分
626,窗体顶端
627,正确答案： √ 我的答案： √
628,窗体底端
629,14
630,新闻业的工作是一个每时每刻都在影响社会的工作，这种说法正确吗？
631,1.0 分
632,窗体顶端
633,正确答案： √ 我的答案： √
634,窗体底端
635,15
636,法律解决的是外在的问题，道德解决的是人内在的问题。
637,1.0 分
638,窗体顶端
639,正确答案： √ 我的答案： √
640,窗体底端
641,16
642,温婉含蓄及讲究蕴藉深厚是中国文学与西方文学最典型的区别。
643,1.0 分
644,窗体顶端
645,正确答案： √ 我的答案： √
646,窗体底端
647,17
648,立德、立功、立言都有着很大的社会政治作用。
649,1.0 分
650,窗体顶端
651,正确答案： √ 我的答案： √
652,窗体底端
653,18
654,中和的哲学思想更强调事物相互之间的一种协调。
655,1.0 分
656,窗体顶端
657,正确答案： √ 我的答案： √
658,窗体底端
659,19
660,“己之所欲，施之与人”要讲究分寸，否者会带来相反的效果，这种说法是否正确？
661,1.0 分
662,窗体顶端
663,正确答案： √ 我的答案： √
664,窗体底端
665,20
666,古代历朝历代商人都不能为官？
667,1.0 分
668,窗体顶端
669,正确答案： × 我的答案： ×
670,窗体底端
671,21
672,郑和下西洋过程中有军事冲突。
673,1.0 分
674,窗体顶端
675,正确答案： √ 我的答案： √
676,窗体底端
677,22
678,阴阳是中国哲学思想中最核心的观点之一，这种说法正确吗？
679,1.0 分
680,窗体顶端
681,正确答案： √ 我的答案： √
682,窗体底端
683,23
684,建国以来我国的义务教育做的很好。
685,1.0 分
686,窗体顶端
687,正确答案： √ 我的答案： √
688,窗体底端
689,24
690,古代的“小康社会”的概念比改革开放之初所提的“小康社会”要相对全面均衡？
691,1.0 分
692,窗体顶端
693,正确答案： √ 我的答案： √
694,窗体底端
695,25
696,《俄狄浦斯王》是古希腊的悲剧？
697,1.0 分
698,窗体顶端
699,正确答案： √ 我的答案： √
700,窗体底端
701,26
