,题目
0,(文字标注为红色的题目答案是错误的)
1, 
2,一、单选题
3, 
4,1
5,“镜子说”是文艺复兴时代的产物，它的明确提出者是（）。
6,A、
7,拉斐尔
8,B、
9,米开朗基罗
10,C、
11,达·芬奇
12,D、
13,但丁
14,我的答案：C
15,2
16,下面哪一项不属于对于身体的审美塑造？（）
17,A、
18,美体
19,B、
20,美容
21,C、
22,美发
23,D、
24,美心
25,我的答案：D
26,3
27,古印度文明是（）的发源之处。
28,A、
29,味觉美学
30,B、
31,视觉美学
32,C、
33,肉身美学
34,D、
35,触觉美学
36,我的答案：C
37,4
38,德国哲学家阿佩尔认为古代哲学是（）。
39,A、
40,意识分析
41,B、
42,精神分析
43,C、
44,语言分析
45,D、
46,物的分析
47,我的答案：B
48,5
49,根据欧洲艺术史的观念，艺术内涵的发展可以归纳为（）。
50,A、
51,“艺术的全面划分”阶段
52,B、
53,“自由的艺术”阶段
54,C、
55,“美的艺术”阶段
56,D、
57,以上都对
58,我的答案：D
59,6
60,《钦差大臣》是俄国作家（）的代表作品。
61,A、
62,普希金
63,B、
64,卡夫卡
65,C、
66,果戈里
67,D、
68,裴多菲
69,我的答案：C
70,7
71,谁最早提出了“艺术终结”论？（）
72,A、
73,费希特
74,B、
75,康德
76,C、
77,黑格尔
78,D、
79,谢林
80,我的答案：C
81,8
82,《浮士德》是哪位作家的作品？（）
83,A、
84,雨果
85,B、
86,黑格尔
87,C、
88,勃朗特
89,D、
90,歌德
91,我的答案：D
92,9
93,哪位心理学家提出了人的需求层次的“金字塔”理论？（）
94,A、
95,佛洛依德
96,B、
97,荣格
98,C、
99,马斯洛
100,D、
101,拉康
102,我的答案：C
103,10
104,以下不属于艺术摹仿论的是哪一项？（）
105,A、
106,情感主义
107,B、
108,镜子说
109,C、
110,自然主义
111,D、
112,古希腊模仿论
113,我的答案：A
114,11
115,审美当中最高的境界是什么？（）
116,A、
117,养心
118,B、
119,养身
120,C、
121,养眼
122,D、
123,养神
124,我的答案：D
125,12
126,下面哪一项没有体现“正价值”的审美形态？（）
127,A、
128,优美
129,B、
130,荒芜
131,C、
132,悲
133,D、
134,崇高
135,我的答案：B
136,13
137,以下哪位哲学家是存在主义哲学的代表人物？（）
138,A、
139,杜威
140,B、
141,维特根斯坦
142,C、
143,黑格尔
144,D、
145,海德格尔
146,我的答案：D
147,14
148,文化工业在制作大众文化时，可以分为（）两个步骤。
149,A、
150,消费需求和广告宣传
151,B、
152,原本创作和广告宣传
153,C、
154,原本创作和复制生产
155,D、
156,消费需求和复制生产
157,我的答案：C
158,15
159,威廉·莫里斯是19世纪（）的设计师、诗人、早期社会主义活动家及自学成才的工匠。
160,A、
161,美国
162,B、
163,法国
164,C、
165,德国
166,D、
167,英国
168,我的答案：D
169,16
170,以下哪一项体现了儒家的审美理想？（）
171,A、
172,法贵天真
173,B、
174,尽善尽美
175,C、
176,先质后文
177,D、
178,非乐
179,我的答案：B
180,17
181,《艺术即经验》是哪位哲学家的作品？（）
182,A、
183,杜威
184,B、
185,海德格尔
186,C、
187,维特根斯坦
188,D、
189,康德
190,我的答案：A
191,18
192,下列哪一项不属于全球三大审美文化类型之一？（）
193,A、
194,欧洲文化
195,B、
196,中国文化
197,C、
198,印度文化
199,D、
200,非洲文化
201,我的答案：D
202,19
203,以下哪项不属于现代商业设计中“买”的系列？（）
204,A、
205,室内设计
206,B、
207,广告设计
208,C、
209,服装设计
210,D、
211,装饰设计
212,我的答案：C
213,20
214,以下哪项可以用来描述“大众文化”的特质？（）
215,A、
216,生产工业化
217,B、
218,传播媒介化
219,C、
220,高度商品化
221,D、
222,以上都对
223,我的答案：D
224,21
225,下面哪部作品没有体现喜剧性？（）
226,A、
227,《王子复仇记》
228,B、
229,《摩登时代》
230,C、
231,《伪君子》
232,D、
233,《威尼斯商人》
234,我的答案：A
235,22
236,《立法者与阐释者》是当代社会学家（）的专著。
237,A、
238,马克思·韦伯
239,B、
240,哈贝马斯
241,C、
242,齐格蒙特·鲍曼
243,D、
244,鲍德里亚
245,我的答案：C
246,23
247,下面哪个字与《说文解字》里面论“美”的词源无关？（）
248,A、
249,大
250,B、
251,甘
252,C、
253,天
254,D、
255,善
256,我的答案：C
257,24
258,下面哪项是用来描述音乐的“民文化”审美特征？（）
259,A、
260,民俗风格
261,B、
262,俗声俗韵
263,C、
264,艳俗之丽
265,D、
266,俗而容晓
267,我的答案：B
268,25
269,莱辛在其美学名著（）中认为“自然中的最丑东西也能转化为一种艺术美”。
270,A、
271,《恶之花》
272,B、
273,《丑的美学》
274,C、
275,《拉奥孔》
276,D、
277,《美的历程》
278,我的答案：D
279,26
280,在反思审美与批判启蒙之间走的新路不包括下面哪一项？（）
281,A、
282,以“审美”中和“主体性”
283,B、
284,以“审美”中介“纵向理性”
285,C、
286,以“审美”平和“自然失衡”
287,D、
288,以“审美”平衡“文化分化”
289,我的答案：C
290,27
291,以下哪部作品不属于悲剧范畴？（）
292,A、
293,《被缚的普罗米修斯》
294,B、
295,《美狄亚》
296,C、
297,《威尼斯商人》
298,D、
299,《哈姆雷特》
300,我的答案：C
301,28
302,以下哪一项不是中国传统自然美学基本结构的要素之一？（）
303,A、
304,天
305,B、
306,地
307,C、
308,人
309,D、
310,神
311,我的答案：A
312,29
313,艺术中“审美的丑”的价值主要表现哪些方面？（）
314,A、
315,以丑衬美
316,B、
317,化丑为美
318,C、
319,以丑为美
320,D、
321,以上都对
322,我的答案：D
323,30
324,按需求层次理论，下面哪一项不属于“匮乏需求”？（）
325,A、
326,生理需求
327,B、
328,安全需求
329,C、
330,尊重需求
331,D、
332,自我实现需求
333,我的答案：D
334,31
335,哪位哲学家提出了“日神冲动”与“酒神冲动”的二元冲动假说？（）
336,A、
337,黑格尔
338,B、
339,杜威
340,C、
341,尼采
342,D、
343,朱光潜
344,我的答案：C
345,32
346,以下哪一项不属于道家的审美境界？（）
347,A、
348,涤除玄览
349,B、
350,心斋
351,C、
352,坐忘
353,D、
354,礼乐相济
355,我的答案：D
356,33
357,以下哪位著名学者不是法国人？（）
358,A、
359,福柯
360,B、
361,波德莱尔
362,C、
363,齐美儿
364,D、
365,鲍德里亚
366,我的答案：C
367,34
368,以下哪项是关于“艺术是什么”的学说？（）
369,A、
370,模仿说
371,B、
372,表现说
373,C、
374,形式说
375,D、
376,以上都对
377,我的答案：D
378,35
379,下面哪一项不属于世界三大菜系之一？（）
380,A、
381,中国菜系
382,B、
383,法国菜系
384,C、
385,土耳其菜系
386,D、
387,泰国菜系
388,我的答案：D
389,36
390,审美心理活动的三个类型不包括下面哪一项？（）
391,A、
392,审美幻想
393,B、
394,审美创生
395,C、
396,审美观照
397,D、
398,审美参与
399,我的答案：A
400,37
401,抽象就其本义而言，不包含哪个等级？（）
402,A、
403,物理抽象
404,B、
405,数理抽象
406,C、
407,形上抽象
408,D、
409,抽象思维
410,我的答案：D
411,38
412,以下哪位哲学家没有论述过“启蒙”概念？（）
413,A、
414,康德
415,B、
416,福柯
417,C、
418,阿多诺
419,D、
420,柏拉图
421,我的答案：B
422,39
423,《红楼梦》中“两弯似蹙非蹙罥烟眉，一双似喜非喜含情目”形容的是谁？（）
424,A、
425,贾宝玉
426,B、
427,薛宝钗
428,C、
429,林黛玉
430,D、
431,王熙凤
432,我的答案：C
433,40
434,下面哪一项不属于美的日常用语分类？（）
435,A、
436,美人
437,B、
438,美食
439,C、
440,美丽
441,D、
442,美德
443,我的答案：C
444,41
445,下面哪位哲学家特别关注到了“美的”这些语汇在日常生活中是如何被使用的？（）
446,A、
447,柏拉图
448,B、
449,苏格拉底
450,C、
451,维特根斯坦
452,D、
453,奥古斯丁
454,我的答案：C
455,42
456,谁被称为“美学之父”？（）
457,A、
458,苏格拉底
459,B、
460,黑格尔
461,C、
462,鲍姆加敦
463,D、
464,维特根斯坦
465,我的答案：C
466,43
467,“语言说人”的思想是哪位哲学家提出来的？（）
468,A、
469,维特根斯坦
470,B、
471,黑格尔
472,C、
473,杜威
474,D、
475,海德格尔
476,我的答案：D
477,44
478,下面哪个词语不是用来形容美丽的衣裳？（）
479,A、
480,美裘
481,B、
482,美珥
483,C、
484,黼黻之美
485,D、
486,霓裳
487,我的答案：B
488,45
489,以下哪一项不属于前卫艺术的种类？（）
490,A、
491,哥特艺术
492,B、
493,大地艺术
494,C、
495,观念艺术
496,D、
497,行为艺术
498,我的答案：A
499,46
500,审美最主要的器官是什么？（）
501,A、
502,味觉
503,B、
504,触觉
505,C、
506,视听
507,D、
508,动觉
509,我的答案：C
510,47
511,下面哪项不属于描述“四大美女”之美的典故？（）
512,A、
513,昭君出塞
514,B、
515,貂蝉拜月
516,C、
517,东施效颦
518,D、
519,贵妃观花
520,我的答案：C
521,48
522,《等待戈多》是爱尔兰作家（）的代表作品。
523,A、
524,赛缪尔·贝克特
525,B、
526,尤奈斯库
527,C、
528,萨特
529,D、
530,加缪
531,我的答案：A
532,49
533,下面哪项是中国传统审美文化中对文学的审美描述？（）
534,A、
535,声无哀乐
536,B、
537,皇家气派
538,C、
539,道根文枝
540,D、
541,艳俗之丽
542,我的答案：C
543,50
544,“镜子说”是文艺复兴时代的产物，它的明确提出者是（）。
545,A、
546,拉斐尔
547,B、
548,米开朗基罗
549,C、
550,达·芬奇
551,D、
552,但丁
553,我的答案：C
554, 
555,二、判断题
556, 
557,1
558,王国维是中国近现代美学的最早的启蒙者和奠基者。（）
559,我的答案： √
560,2
561,只有士文化才是雅文化。（）
562,我的答案： ×
563,3
564,“审美麻木化”就是指对“审美现象”的麻木，对“审美对象”的非关注。（）
565,我的答案： √
566,4
567,在中国传统文化语境中，不存在“丑”的概念。（）
568,我的答案： ×
569,5
570,所谓“黄家富贵，徐熙野逸”说得是官文化与士文化的对立。（）
571,我的答案： √
572,6
573,美的活动，其实是“回到事物本身”的人类本真活动之一。（）
574,我的答案： √
575,7
576,参与自然审美只需要视觉和听觉就足够了。（）
577,我的答案： ×
578,8
579,齐美儿是“泛审美现代性”观点的代表人物。（）
580,我的答案： √
581,9
582,“内模仿学说”的提出者是费希纳。（）
583,我的答案： ×
584,10
585,正如美与丑相对，悲与喜悲相对，崇高与荒诞也是大致相对的。（）
586,我的答案： √
587,11
588,“镜子说”仅仅是一种造型艺术理论。（）
589,我的答案： ×
590,12
591,《新科学》的作者是意大利人克罗齐。（）
592,我的答案： ×
593,13
594,所谓文化产业就是“创意产业”与“内容产业”。（）
595,我的答案： ×
596,14
597,《美食家》是当代作家陆文夫的著名小说。（）
598,我的答案： √
599,15
600,《悲剧的诞生》是德国现代哲学家尼采的一部美学和哲学著作。（）
601,我的答案： √
602,16
603,崇高只存在于艺术作品之中。（）
604,我的答案： ×
605,17
606,“有意味的形式”论在意味与形式之间形成了循环论证。（）
607,我的答案： √
608,18
609,在当代，学者普遍认为现代性已经完成了。（）
610,我的答案： ×
611,19
612,我们可以形容桂林山水是壮美、泰山是奇美、黄山是秀美。（）
613,我的答案： ×
614,20
615,《向日葵》是著名画家莫奈的作品。（）
616,我的答案： ×
617,21
618,工业设计属于现代商业设计中“卖”的系列。（）
619,我的答案： √
620,22
621,在审美心理的发生过程中，人的听、视、触、动、言语等器官和感觉，总是单独分别去感受。（）
622,我的答案： ×
623,23
624,《文字源流浅说》为当代古文字学家康殷所著。（）
625,我的答案： √
626,24
627,克莱夫·贝尔是英国形式主义美学家，当代西方形式主义艺术的理论代言人。（）
628,我的答案： √
629,25
630,《丑的美学》是一本专门论“丑之美”的著作，出版于1853年。（）
631,我的答案： √
632,26
